GeneType,GenomicEndPosition,GeneDbId,GeneLabel,EncodedProtein,OrthologousGene,ChromosomeId,GenomicStartPosition,StrandOrientation
0,742418,37,37,17,53,22,741516,1
0,1277102,65,65,24,37,20,1275858,0
0,308539,81,81,15,51,18,307640,0
1,52782,135,135,2,31,48,51379,1
1,852,47,47,2,43,30,1,0
0,233697,2,2,0,81,11,233434,1
0,1572694,69,69,17,7,20,1571525,1
1,2053277,19,19,27,44,22,2051877,1
1,597683,128,128,2,64,10,596868,1
1,23787,25,25,2,24,37,22417,0
0,494627,39,39,23,61,1,493452,0
0,1587887,120,120,10,37,21,1586445,1
1,169772,31,31,2,9,13,168840,1
0,1404649,106,106,12,15,22,1403372,0
0,54854,27,27,0,4,38,53844,0
0,2157389,42,42,10,26,22,2156019,0
0,6378,58,58,17,4,43,4900,1
0,439354,102,102,17,42,12,437786,0
1,1072628,132,132,27,22,18,1071504,0
0,211328,151,151,19,47,8,209856,1
0,59441,100,100,19,75,3,58461,0
1,1789020,71,71,2,20,21,1787623,1
0,1506761,118,118,24,45,20,1505442,1
1,1143832,133,133,2,22,18,1142492,0
1,6733,24,24,2,65,36,6122,0
0,12244,28,28,17,4,39,11150,0
0,1420721,68,68,25,82,20,1419405,0
0,67849,99,99,19,49,3,66767,0
0,340851,8,8,0,50,4,340480,0
0,298468,78,78,17,12,15,296987,0
0,586,0,0,1,6,32,2,0
1,1386264,104,104,2,44,22,1384861,0
0,458510,16,16,0,30,4,457881,1
0,899374,76,76,3,55,17,898190,0
0,13267,22,22,0,4,35,11954,0
0,1413484,11,11,25,53,22,1412150,0
0,7956,32,32,22,41,29,6742,1
1,162444,139,139,27,31,48,161326,0
0,484137,80,80,17,12,15,482659,0
1,262696,59,59,2,63,13,261617,0
0,1672453,14,14,5,37,21,1671053,0
0,497535,155,155,0,23,12,496600,0
1,114367,137,137,2,32,48,112967,0
0,799780,140,140,0,40,14,799199,0
1,417432,103,103,2,54,12,415855,0
0,1370954,67,67,19,82,20,1369569,1
0,318880,147,147,17,14,5,317777,1
0,799094,54,54,1,39,14,798498,0
0,8841,17,17,19,24,27,7366,1
0,37052,129,129,26,80,47,35940,0
0,1287718,60,60,10,53,22,1286318,1
0,174865,131,131,12,24,9,173582,1
0,485,3,3,1,62,24,3,1
0,27971,84,84,6,4,45,26910,1
0,403184,98,98,23,69,1,402012,0
0,85134,89,89,14,48,13,83866,1
0,1951553,123,123,16,19,22,1950669,0
0,1361937,105,105,17,15,22,1361035,1
1,2074708,18,18,2,27,22,2073437,1
0,1065367,142,142,13,83,21,1064159,1
1,924253,86,86,2,20,21,923378,1
0,332931,63,63,1,15,22,332233,1
1,1365596,66,66,27,18,20,1364481,0
0,936561,77,77,0,67,17,935551,0
1,1015761,62,62,2,27,22,1014583,0
0,24760,144,144,17,17,49,23234,1
0,304330,146,146,19,46,5,303281,1
0,17944,130,130,17,16,47,16457,1
1,813285,53,53,2,41,17,812281,0
0,1622991,121,121,0,37,21,1622125,1
0,349644,9,9,23,30,4,348280,0
0,1547471,119,119,21,35,20,1546002,1
0,6048,41,41,11,4,41,4708,0
0,1047742,141,141,19,52,21,1046660,1
