EntityType,OrthologId,GenomicEndPosition,GeneId,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition,StrandOrientation
0,27,13009,152,152,0,68,11804,0
1,67,3587,161,161,1,71,2544,0
1,4,1152958,193,193,1,14,1151783,1
0,73,1694274,68,68,0,20,1693627,0
0,0,1863,103,103,0,57,1015,0
0,72,247509,144,144,0,15,246700,0
0,96,684782,57,57,0,20,683826,0
0,8,1070767,194,194,0,14,1069991,0
1,25,137805,157,157,1,12,136807,0
0,8,461022,201,201,0,14,460051,1
0,46,1577124,187,187,0,19,1576114,0
0,27,614,51,51,0,46,222,1
0,101,5008,9,9,0,26,4142,0
0,0,31139,61,61,0,48,29922,0
0,5,375903,35,35,0,4,374896,1
0,91,12268,236,236,0,80,10958,0
0,80,2029082,21,21,0,20,2027874,1
0,27,13418,150,150,0,67,12669,0
0,89,550504,49,49,0,7,549704,0
0,66,7162,223,223,0,37,6368,1
1,34,556235,168,168,1,1,555144,0
0,72,1148502,228,228,0,15,1147669,0
1,76,381597,15,15,1,10,380962,0
0,56,36628,46,46,0,29,35402,1
0,48,2155792,183,183,0,19,2155145,0
0,18,9178,74,74,0,30,8375,1
1,100,26635,162,162,1,72,25832,0
0,98,1648331,124,124,0,18,1647294,0
0,63,492438,202,202,0,14,491209,0
1,53,23852,33,33,1,28,23046,0
0,98,1522877,178,178,0,18,1521903,1
0,47,178084,111,111,0,17,176870,1
0,84,15379,219,219,0,77,14528,0
0,82,77977,41,41,0,3,77144,0
0,5,617253,207,207,0,14,616495,0
0,44,12388,136,136,0,64,11468,0
0,8,537352,88,88,0,14,536177,1
1,60,35179,44,44,1,13,34406,1
0,27,81801,40,40,0,45,80905,1
0,95,1912694,127,127,0,19,1911738,1
1,25,287088,99,99,1,12,285889,1
0,58,1165493,229,229,0,15,1164663,0
1,74,29968,163,163,1,72,28721,0
0,97,37518,31,31,0,28,36670,0
0,55,1783506,129,129,0,19,1782673,1
0,24,432927,247,247,0,5,431740,0
1,10,2102,112,112,1,59,1101,1
0,92,320234,146,146,0,15,319014,0
1,4,827468,209,209,1,14,826311,1
1,11,4723,24,24,1,39,4340,1
0,77,3769,1,1,0,22,3023,1
0,52,335,10,10,0,26,3,0
0,32,227094,20,20,0,12,226831,1
0,27,23810,60,60,0,47,22572,1
0,13,1026,225,225,0,78,841,1
1,36,13592,101,101,1,56,12324,1
0,60,1989097,189,189,0,20,1988282,1
1,7,445921,19,19,1,4,445157,0
0,5,247162,12,12,0,14,246347,0
0,5,1018268,212,212,0,14,1017216,1
0,27,2879,134,134,0,62,2091,1
0,70,1338,195,195,0,34,835,1
0,0,19059,165,165,0,72,18244,0
0,60,2097143,188,188,0,20,2096334,1
0,28,2142542,184,184,0,19,2141583,0
0,30,392050,86,86,0,12,391007,0
1,53,55904,32,32,1,28,55386,1
0,54,1679298,71,71,0,20,1678525,0
1,79,17599,77,77,1,51,16553,0
0,45,255296,142,142,0,15,254511,0
0,8,305564,84,84,0,14,304740,0
0,26,486743,58,58,0,1,485586,0
0,5,277578,82,82,0,14,276769,0
0,63,822069,208,208,0,14,821287,0
1,38,177073,105,105,1,21,175745,0
0,51,265814,200,200,0,11,265029,1
1,99,5205,97,97,1,54,4201,1
0,8,992655,211,211,0,14,991897,1
0,8,297062,79,79,0,14,295851,0
0,27,18784,98,98,0,55,18002,0
0,0,26139,27,27,0,42,25351,1
0,5,422034,18,18,0,4,420934,0
0,63,907521,139,139,0,14,906301,0
0,27,23025,135,135,0,63,22318,0
0,95,2202884,181,181,0,19,2202237,1
0,31,65754,233,233,0,79,64810,1
0,98,1487286,177,177,0,18,1486264,1
0,9,17173,217,217,0,76,16040,1
0,0,61556,28,28,0,42,60249,0
0,8,313431,83,83,0,14,312547,0
0,8,285745,81,81,0,14,284939,0
0,73,970864,118,118,0,20,969914,1
0,73,1631767,70,70,0,20,1631120,0
1,42,6002,241,241,1,81,5043,0
0,35,1564778,72,72,0,20,1564014,1
0,80,643595,16,16,0,20,642765,1
0,8,407549,137,137,0,14,406749,1
0,5,251858,22,22,0,14,251211,0
1,86,15410,226,226,1,38,14340,1
0,0,18582,59,59,0,47,17713,0
0,76,231201,246,246,0,5,230431,0
0,55,2089274,125,125,0,19,2088630,1
0,27,9985,149,149,0,66,9303,0
0,54,1687805,69,69,0,20,1687044,0
1,16,25842,199,199,1,74,24370,0
0,44,1677,75,75,0,49,712,1
0,52,1153229,240,240,0,19,1151997,0
0,98,1221966,174,174,0,18,1220947,0
0,15,1604402,186,186,0,19,1603254,0
0,5,1075329,3,3,0,14,1075195,1
1,65,884301,138,138,1,14,883339,1
1,71,13960,14,14,1,27,13361,1
0,92,1106541,227,227,0,15,1105297,0
1,21,655,0,0,1,82,2,1
1,33,223492,245,245,1,5,222386,0
1,13,1592913,73,73,1,20,1591840,1
0,8,658646,90,90,0,14,657867,0
0,72,266241,143,143,0,15,265438,0
0,27,13082,113,113,0,60,12327,1
0,14,1207750,192,192,0,14,1206605,0
