GeneSubclass,GeneDescription,GenomicEndPosition,GeneDbId,GeneLabel,EncodedProtein,OrthologousGene,GenomicStartPosition,StrandOrientation,HostTaxon
0,0,970358,98,91,15,52,968556,1,6
0,0,15188591,188,181,7,24,15186471,1,7
0,0,95588,132,125,32,29,91746,0,8
0,0,933349,96,89,19,14,929525,0,6
0,0,329342,69,64,19,10,325611,0,5
0,0,333473,24,27,0,11,329763,1,5
0,0,2401,141,134,6,10,65,1,7
0,0,9578594,175,168,7,24,9577091,1,7
0,0,3049087,150,143,7,24,3047831,0,7
0,0,1021293,48,48,19,6,1017589,1,5
0,0,50499,8,13,32,19,46531,1,2
0,0,660379,139,132,32,28,656534,1,8
0,0,75831,60,55,19,10,72196,1,5
0,0,7120666,165,158,6,24,7119032,0,7
0,0,64291,12,14,32,21,60047,1,3
0,0,128558,117,110,22,23,125670,0,6
0,0,166154,65,60,19,10,162348,0,5
0,0,3579565,152,145,7,24,3578197,1,7
0,0,820521,146,139,6,24,819496,1,7
0,0,4285337,157,150,6,24,4284348,1,7
0,0,36414,5,10,28,7,33385,1,1
0,0,577054,90,83,19,36,573326,1,6
0,0,388457,25,28,19,11,386850,1,5
0,0,2071573,128,121,23,21,2069770,0,6
0,0,1705473,121,114,19,34,1701874,1,6
0,0,53020,4,22,29,27,48803,1,0
1,0,431084,201,194,25,1,427217,1,9
0,0,1849714,31,34,19,11,1845908,1,5
0,0,2296751,218,211,9,49,2295359,0,9
0,0,1309324,27,30,19,11,1307483,0,5
0,0,2151123,76,1,11,6,2147506,1,5
0,0,9462057,174,167,6,35,9458497,1,7
0,0,972317,197,190,6,46,970326,1,7
0,1,1637142,73,68,19,6,1633333,1,5
0,0,132277,118,111,19,53,129494,0,6
0,0,15710916,192,185,6,24,15707113,0,7
0,0,4312155,142,135,6,37,4308352,0,7
0,0,1402028,57,52,19,9,1398297,0,5
0,0,1049774,215,208,22,15,1047327,1,9
0,0,15790203,193,186,6,35,15786472,0,7
0,0,35572,45,46,19,12,31850,1,5
0,0,1630586,72,67,19,6,1626783,1,5
0,0,10005750,178,171,6,35,10002838,0,7
0,0,7732801,209,202,19,5,7728989,0,9
0,0,2191903,77,71,19,11,2188100,0,5
0,0,63847,16,15,32,6,59612,1,4
0,0,2186645,217,210,6,49,2182830,0,9
0,0,2804198,205,198,22,5,2802744,1,9
0,0,726058,145,138,6,24,722345,1,7
0,0,1657273,75,70,19,6,1653761,1,5
0,0,431513,93,86,15,38,427800,0,6
0,0,7783560,170,163,7,24,7780308,0,7
0,0,9357129,210,203,19,18,9353467,0,9
0,0,52090,13,20,27,6,47957,1,3
0,0,1124935,102,95,15,52,1121207,1,6
0,0,2332044,83,77,19,10,2328241,0,5
0,0,2065035,126,119,19,21,2061388,0,6
0,0,53721,22,25,19,11,49990,0,5
0,0,652903,133,126,32,29,648881,1,8
0,0,985033,100,93,24,52,981335,1,6
0,0,2307206,79,73,19,9,2303436,0,5
0,0,1908029,147,140,7,24,1905427,0,7
0,0,28839,43,44,14,12,25132,1,5
0,0,11959711,183,176,7,35,11956169,0,7
0,0,319829,67,62,19,10,316098,0,5
0,0,4004773,206,199,20,5,4003152,0,9
0,0,91293,15,23,29,31,86278,1,3
0,0,3620418,153,146,6,35,3616747,1,7
0,0,9779285,177,170,6,24,9775560,0,7
0,0,9382536,211,204,10,5,9381414,1,9
0,0,1145528,107,100,26,14,1144470,1,6
1,0,5331246,38,41,17,51,5328981,0,5
0,0,447807,44,45,20,12,446937,0,5
0,0,2191719,122,115,15,39,2188102,1,6
0,0,2327068,82,76,19,11,2323274,0,5
1,0,159443,64,59,18,45,155850,0,5
0,0,977090,47,47,11,6,973266,0,5
0,0,1181603,51,5,1,8,1177872,1,5
0,0,3942314,40,42,19,9,3938604,0,5
1,0,1176752,50,49,2,26,1173039,1,5
0,0,1957169,124,117,19,55,1953366,0,6
0,0,1200116,54,5,1,8,1196301,1,5
1,0,2449393,149,142,8,43,2446677,1,7
0,0,1966167,33,36,19,11,1963411,1,5
0,0,62145,7,12,29,47,61864,1,1
0,0,2069666,127,120,22,55,2066351,0,6
0,0,2308247,204,197,7,18,2307577,0,9
0,0,765769,140,133,32,41,764270,0,8
0,0,37767,1,7,32,20,34525,1,0
0,0,603897,26,29,19,11,600274,1,5
0,0,2336954,84,78,19,12,2333202,0,5
1,0,1134638,104,97,21,48,1130899,1,6
0,0,2313444,80,74,19,10,2309641,0,5
0,0,5098514,207,200,22,18,5096660,1,9
0,0,4283484,156,149,6,24,4279741,1,7
0,0,7542966,208,201,24,18,7539256,0,9
0,0,7777943,169,162,6,24,7774500,0,7
0,0,1186466,52,5,1,8,1182723,1,5
0,0,12019079,185,178,6,35,12015300,1,7
0,0,7376461,167,160,7,35,7374150,0,7
0,0,15685855,191,184,7,24,15683891,0,7
0,0,3501676,151,144,6,24,3498395,0,7
0,0,3175883,39,2,11,11,3172254,0,5
0,0,15650717,190,183,6,35,15648225,1,7
0,0,2302259,78,72,19,11,2298363,0,5
0,0,4041319,220,213,31,22,4037516,0,9
0,0,10051797,212,205,24,5,10048057,1,9
0,0,284585,58,53,19,9,280740,0,5
0,0,2364879,200,193,6,25,2363188,0,7
0,0,7801604,171,164,6,24,7797783,1,7
0,0,576555,134,127,32,37,575134,0,8
0,0,629638,196,189,6,42,626021,1,7
0,0,2224448,123,116,23,34,2222719,0,6
0,0,3332,144,137,6,10,2571,1,7
1,0,967249,97,90,16,33,963552,1,6
1,0,72858,11,21,29,28,68880,1,3
0,0,14275183,187,180,6,24,14273723,0,7
0,0,123502,115,108,19,53,119669,0,6
0,0,65003,10,21,30,28,62277,1,2
0,0,145983,56,51,3,9,142360,1,5
0,0,7772134,168,161,6,24,7771136,0,7
0,0,1910918,32,35,19,11,1908330,1,5
0,0,1129781,103,96,19,52,1126050,1,6
0,0,59232,6,11,30,7,57178,1,1
0,0,979875,99,92,19,52,976177,1,6
