Strand_Orientation,Genomic_Start_Position,Genomic_End_Position,Gene_Db_Id
0,1609563,1610144,113
1,225092,225709,67
1,262,873,4
1,503911,504309,425
0,1054,1707,376
0,569783,570400,73
0,896894,897457,270
1,528356,528985,290
1,929947,930600,240
0,459083,459742,247
0,8245,8892,374
0,409799,410431,179
1,95094,95645,62
1,296102,296809,419
1,438168,438791,31
0,302005,302673,242
0,331510,332148,409
0,22523,22912,56
1,19953,20624,72
0,275592,276224,133
1,605367,605996,236
1,630704,631273,155
1,892445,893116,237
1,9376,9993,32
1,1447573,1448091,87
1,11959,12594,195
0,388676,389569,245
0,27344,28027,42
1,426186,426818,134
0,31979,32545,260
0,10828,11424,39
0,473496,474095,352
1,891058,891600,269
1,1570405,1570983,119
1,486679,487260,199
0,27985,28680,127
0,478315,478938,100
0,1108595,1109266,396
0,21193,21792,343
1,651543,652493,234
1,537880,538452,143
0,21079,21840,227
0,567485,567898,122
0,52718,53116,395
0,308044,308712,368
1,640657,641268,232
0,1590720,1591262,329
0,558976,559332,141
0,642618,643220,197
1,587969,588625,154
0,268954,269583,418
0,1590901,1591401,209
1,1059636,1060193,187
0,271798,272757,178
0,21179,21892,337
1,400036,400683,54
0,11139,11825,43
1,610288,610947,365
0,1182499,1183104,323
0,1870641,1871216,107
1,1099440,1100102,405
0,222562,223254,287
1,2130250,2130876,103
1,4696,5418,228
1,273715,274287,170
1,211887,212591,428
0,252897,253619,168
1,190256,190891,64
1,32910,33533,389
0,65685,66227,299
1,1037734,1038285,188
0,1298663,1299223,183
0,554104,555039,76
1,1789544,1790185,216
1,110344,110877,152
0,69732,70385,296
0,406078,406686,135
1,1893637,1894275,109
0,48349,48963,356
0,62859,63431,61
0,563114,563485,92
1,1330,1947,14
1,849029,849658,22
0,16593,17246,264
1,10975,11667,257
1,1191744,1192370,312
1,789061,789660,147
0,484143,484940,353
0,550740,551183,223
0,1664528,1665163,28
0,15231,15815,359
0,422700,423275,201
0,49587,50225,394
0,23259,23909,360
0,1934724,1935320,212
1,1439215,1439745,88
0,1646206,1646736,210
1,4736,5356,348
0,281250,281837,177
0,216745,217404,21
0,462006,462632,136
0,564760,565167,380
1,4241,4939,6
0,496699,497547,249
0,2159390,2159962,324
1,1721857,1722444,336
1,626559,627125,83
0,509916,510533,430
1,2102468,2103139,217
0,211245,211634,417
1,34262,34921,265
0,1578312,1578872,118
0,601444,602022,158
1,8904,9539,194
1,497083,497850,293
0,464038,465000,351
0,282588,283286,423
0,1279,1863,41
0,1337152,1337715,207
1,10110,10499,37
0,5888,6256,128
0,76545,77237,58
0,1685527,1685667,115
1,583626,584282,131
0,1211533,1212108,309
1,7124,8071,391
1,636250,636879,156
1,1356881,1357417,308
1,1412725,1413348,206
0,897068,897652,238
1,101630,102031,0
0,459570,460277,280
1,550314,550961,288
1,2081918,2082607,34
1,672981,673589,182
0,261997,262590,284
0,1069351,1069989,191
1,53294,54130,398
1,237978,238595,169
1,2039173,2039757,326
0,54300,55031,263
1,42403,42738,390
1,698387,698962,95
1,1037092,1037760,367
0,522157,522585,431
1,1652444,1653046,111
0,610333,610905,153
0,9067,9693,358
0,331098,331967,150
1,57381,57983,60
0,487683,488252,248
0,151562,152203,400
1,6941,7816,166
0,472107,473006,250
1,8412,8984,253
0,295724,296422,241
0,88,786,371
0,540331,541203,101
1,1198,1896,252
0,432955,433446,202
0,296609,297265,220
0,420860,421453,415
1,10142,10738,161
0,422386,422988,180
0,738989,739582,268
0,741234,741926,198
1,2020752,2021354,35
0,21845,22510,52
0,12349,12963,339
1,1279111,1279824,186
0,2140400,2141017,325
1,212727,213605,69
1,648745,649380,233
1,1772775,1773473,332
1,542232,542828,289
1,2544,3185,159
1,1093786,1094415,316
0,547909,548259,140
0,4066,4704,225
0,67067,67780,413
0,287768,288418,219
1,497556,498188,427
1,632488,633393,80
0,606242,606832,84
1,10641,11303,48
1,666332,667099,3
