SocialMediaFollowers,CommonsCategory,FirstName,FirstCyclingRiderId,FreebaseId,CqRankingMaleCyclistId,ProfileImage,HeightCm,MemoireDuCyclismeCyclistId,SportCountry,ProCyclingStatsCyclistId,BirthDate,InstagramUsername,TwitterUsername,UciRiderId,CycleBaseCyclistId,WeightKg,LastName,CyclingArchivesCyclistId,OlympediaPeopleId,BirthPlace
101538.0,45,39,4669.0,12,3348.0,42,183.0,18902.0,4,140665.0,11,28,43,27822.0,15477.0,68.0,41,13279.0,133422.0,26
47028.0,29,26,89540.0,28,,26,,65024.0,10,138497.0,24,19,6,66298.0,39004.0,,10,60878.0,125024.0,27
20811.0,16,13,27121.0,34,23558.0,14,192.0,,5,181257.0,35,12,31,97437.0,62729.0,75.0,2,101407.0,142164.0,17
160840.0,25,21,35077.0,4,23334.0,21,170.0,,3,185156.0,30,17,19,97634.0,61866.0,65.0,21,100717.0,133265.0,24
21399.0,24,20,6309.0,1,18123.0,2,179.0,55661.0,5,139801.0,23,30,12,68832.0,47885.0,71.0,35,58401.0,1303133.0,40
465450.0,10,7,58275.0,34,24926.0,10,175.0,,3,198937.0,38,9,4,95844.0,65688.0,60.0,5,100412.0,,39
41367.0,8,5,706.0,18,1237.0,0,183.0,6404.0,13,140800.0,8,6,27,29164.0,7764.0,70.0,17,10911.0,120395.0,14
10861.0,20,17,547.0,10,544.0,16,190.0,11845.0,0,140516.0,1,0,10,12974.0,7153.0,81.0,15,7364.0,,5
3825.0,19,16,6246.0,29,15281.0,19,178.0,28743.0,1,140722.0,21,16,34,64941.0,43345.0,72.0,14,32784.0,,30
120359.0,1,25,,34,,23,,,10,,41,3,0,,,,24,,,23
66281.0,11,8,1310.0,23,13240.0,15,178.0,10495.0,7,140835.0,15,10,28,55029.0,39287.0,67.0,36,21075.0,122451.0,12
1529344.0,7,4,713.0,13,5789.0,7,186.0,12014.0,8,140869.0,10,5,26,43936.0,22663.0,69.0,11,22017.0,126950.0,22
3077244.0,17,14,2.0,26,7.0,17,177.0,390.0,10,126972.0,0,0,32,,505.0,71.0,1,300.0,13434.0,25
65423.0,14,11,264.0,14,3828.0,13,182.0,5609.0,5,140870.0,9,11,30,34012.0,19558.0,69.0,12,21215.0,113255.0,8
23650.0,18,15,16793.0,7,21992.0,18,179.0,,5,168776.0,36,20,9,86895.0,58428.0,,25,77835.0,,33
120333.0,0,25,,34,,37,,,10,,41,0,0,,,,24,,,23
29588.0,12,9,37748.0,34,23426.0,39,181.0,,9,177246.0,37,7,29,87061.0,49495.0,,18,88470.0,,9
