GeneInstanceType,OrthologId,GenomicEndPosition,GeneLabel,GeneDbId,EncodedProtein,ChromosomeId,GenomicStartPosition,StrandOrientation
0,8,3076129,99,99,1,0,3075227,0
0,8,3654541,124,124,1,0,3653626,0
0,0,3130797,232,232,1,10,3129888,0
0,8,3178574,102,102,1,0,3177557,1
0,0,35088,222,222,1,10,34091,1
0,0,3096667,225,225,1,10,3095699,0
0,8,3293385,107,107,1,0,3292469,1
0,8,2379851,67,67,1,0,2378994,1
0,8,1218576,30,30,1,0,1217713,1
0,0,3100508,226,226,1,10,3099590,0
0,2,1606577,202,202,1,5,1605587,1
0,8,2949277,94,94,0,0,2948707,1
0,8,3635309,123,123,1,0,3634361,1
0,8,3791837,126,126,1,0,3791328,0
0,3,1722743,211,211,1,6,1721734,0
0,8,4396545,156,156,1,0,4395898,1
0,11,38718,180,180,1,3,37728,1
0,8,2321136,58,58,1,0,2320393,1
0,8,4674500,162,162,1,0,4674023,1
0,8,2564895,74,74,1,0,2563960,0
0,2,1569787,200,200,1,5,1568882,1
0,8,870727,11,11,1,0,869853,1
0,8,1251779,34,34,1,0,1250937,1
0,8,1214186,29,29,1,0,1213213,1
0,8,3630502,122,122,1,0,3629473,1
0,8,4423505,157,157,1,0,4422687,0
0,3,1730683,213,213,1,6,1729945,0
0,8,3946818,138,138,1,0,3946348,0
0,8,1799441,47,47,1,0,1798627,1
0,8,2819209,82,82,1,0,2818421,1
0,1,813663,172,172,1,2,812738,0
0,11,54050,183,183,1,3,53050,1
0,8,1474816,40,40,1,0,1474233,0
0,8,2723923,78,78,1,0,2723008,0
0,2,1630504,206,206,1,5,1629542,1
0,8,3487893,117,117,1,0,3486897,1
0,8,1198292,26,26,1,0,1197318,1
1,14,886301,179,179,2,2,885423,0
0,8,3605579,121,121,1,0,3604775,0
1,6,37246,191,191,2,4,36216,1
0,8,706356,1,1,1,0,705402,0
0,0,3166097,234,234,1,10,3165117,0
0,8,2837856,87,87,1,0,2836889,1
0,13,1527077,218,218,1,8,1526144,0
1,3,3289870,106,106,2,0,3288906,1
0,9,3289,221,221,1,9,2476,1
0,8,2831118,85,85,1,0,2830191,1
0,8,1289899,35,35,1,0,1288988,0
0,8,2277459,55,55,1,0,2276564,1
0,8,3856099,128,128,1,0,3855436,1
0,2,1535834,197,197,1,5,1534863,1
0,2,1623017,205,205,1,5,1622000,1
0,2,1599674,201,201,1,5,1598787,1
0,8,867371,10,10,1,0,866391,1
1,12,1610485,203,203,2,5,1609781,1
0,0,3162441,233,233,1,10,3161514,0
0,8,1209985,28,28,1,0,1208980,1
0,10,33815,190,190,1,4,32835,1
0,8,750322,5,5,1,0,749314,1
0,8,3202332,104,104,1,0,3201416,1
0,8,1238650,32,32,1,0,1237682,1
0,5,41331,168,168,1,1,40400,1
0,8,3958817,141,141,1,0,3957831,0
0,1,817549,173,173,1,2,817059,0
0,4,2228516,216,216,1,7,2227599,0
0,8,3598785,119,119,1,0,3598376,0
0,8,2292995,56,56,1,0,2292070,1
0,8,3484725,116,116,1,0,3483913,1
0,8,3337829,108,108,1,0,3336940,0
1,3,4392476,155,155,2,0,4391482,1
0,8,817233,8,8,1,0,816237,1
0,8,2363229,63,63,1,0,2362303,1
0,0,3126460,231,231,1,10,3125490,0
0,8,2318302,57,57,1,0,2317439,1
0,8,1487516,42,42,1,0,1486532,0
0,2,1531659,196,196,1,5,1530673,1
0,8,3925106,134,134,1,0,3924162,1
0,8,1470924,39,39,1,0,1470038,0
0,8,3253701,105,105,1,0,3252689,1
0,0,3089002,223,223,1,10,3088123,0
0,8,3879177,131,131,1,0,3878232,0
0,8,1135405,23,23,1,0,1134492,1
0,0,3116397,228,228,1,10,3115586,0
1,3,2127533,52,52,2,0,2126698,0
0,8,2517420,72,72,1,0,2516791,0
0,11,50281,182,182,1,3,49319,1
0,11,125238,186,186,1,3,124273,1
0,8,1382865,38,38,1,0,1381870,0
0,2,1566639,199,199,1,5,1565667,1
1,16,1009605,170,170,2,1,1008886,0
0,13,1525569,217,217,1,8,1524684,0
0,1,826843,175,175,1,2,825971,0
0,8,967539,15,15,1,0,966566,0
0,8,1605990,43,43,1,0,1605094,1
0,8,2815583,81,81,1,0,2814647,1
0,0,3121885,230,230,1,10,3121014,0
1,3,1040606,18,18,2,0,1039800,0
0,1,838943,177,177,1,2,837978,0
0,8,3954615,140,140,1,0,3953625,0
0,8,1483126,41,41,1,0,1482386,0
0,10,63777,193,193,1,4,62796,1
0,8,3658680,125,125,1,0,3657775,0
0,8,4769513,166,166,1,0,4768631,0
0,10,1515860,194,194,1,4,1514896,0
0,3,1718127,210,210,1,6,1717211,0
0,8,745630,4,4,1,0,744707,0
0,8,2883682,92,92,1,0,2882695,1
0,8,1860672,49,49,1,0,1859648,1
0,8,3471297,113,113,1,0,3470331,0
0,8,710413,2,2,1,0,709282,0
0,8,3391129,111,111,1,0,3390208,0
0,8,2876969,90,90,1,0,2875871,1
0,8,1612962,45,45,1,0,1612027,1
0,8,3963135,142,142,1,0,3962225,0
0,8,2503866,70,70,1,0,2502987,0
0,11,41910,181,181,1,3,40986,1
0,8,1247370,33,33,1,0,1246604,1
1,3,963298,14,14,2,0,962347,0
0,8,813072,7,7,1,0,812093,1
0,8,4054409,149,149,1,0,4053370,1
0,1,822698,174,174,1,2,821677,0
1,3,1164370,24,24,2,0,1163401,1
0,8,2971478,95,95,1,0,2970900,0
0,8,2732709,79,79,1,0,2731745,0
0,8,2557700,73,73,1,0,2556763,0
0,8,3341774,109,109,1,0,3340903,0
0,8,1856079,48,48,1,0,1855124,1
0,4,1564,214,214,1,7,573,1
0,8,874894,12,12,1,0,873910,1
0,8,2719470,77,77,1,0,2718746,0
0,8,3983006,144,144,1,0,3982127,0
1,6,4163,189,189,2,4,3357,1
0,8,3475811,114,114,1,0,3474883,0
1,3,3883348,132,132,2,0,3882399,0
0,4,16470,215,215,1,7,15481,1
0,8,2121499,50,50,1,0,2120598,0
0,8,1649617,46,46,1,0,1648674,1
0,8,4266476,151,151,1,0,4265571,1
0,8,4739055,165,165,1,0,4738454,1
0,8,4685863,163,163,1,0,4685216,1
0,8,4045564,147,147,1,0,4044548,1
0,8,2241711,54,54,1,0,2240825,1
0,8,1609685,44,44,1,0,1608659,1
0,2,1643801,208,208,1,5,1642894,1
0,0,3092504,224,224,1,10,3091527,0
0,8,1084006,22,22,1,0,1083168,0
0,8,3949671,139,139,1,0,3948636,0
1,3,2510002,71,71,2,0,2509226,0
0,5,38255,167,167,1,1,37374,1
0,0,3120182,229,229,1,10,3119289,0
0,8,3851936,127,127,1,0,3851292,1
0,8,3344923,110,110,1,0,3344054,0
0,8,3871709,129,129,1,0,3870942,0
0,8,2834062,86,86,1,0,2833074,1
0,8,2604167,76,76,1,0,2603329,0
0,10,1066,188,188,1,4,97,1
0,8,3193314,103,103,1,0,3192405,1
1,15,1531532,219,219,2,8,1530570,0
0,8,1080374,21,21,1,0,1079384,0
0,8,4698031,164,164,1,0,4697363,1
0,8,2368035,64,64,1,0,2367171,1
0,8,2930278,93,93,1,0,2929420,1
1,3,1195244,25,25,2,0,1194248,1
0,8,2844528,89,89,1,0,2843538,1
