GeneInstanceType,OrthologId,GenomicEndPosition,GeneLabel,GeneDbId,EncodedProtein,ChromosomeId,GenomicStartPosition,StrandOrientation,GeneSubclassType
0,9,1369830,36,36,1,0,1368947,0,0
0,9,4562145,160,160,1,0,4561270,0,0
0,12,125238,186,186,1,3,124273,1,0
0,9,2237284,52,52,1,0,2236253,1,0
0,9,4507129,159,159,1,0,4506258,0,0
0,9,3938451,136,136,1,0,3937813,0,0
0,9,2879567,90,90,1,0,2878703,1,0
0,11,1515860,194,194,1,4,1514896,0,0
0,9,3928035,135,135,1,0,3927312,1,0
0,9,1234293,30,30,1,0,1233356,1,0
1,4,1195244,25,25,2,0,1194248,1,1
0,8,2480301,69,69,1,0,2479394,0,0
0,12,61219,184,184,1,3,60328,1,0
0,9,3604682,120,120,1,0,3604001,0,0
0,3,1643801,208,208,1,5,1642894,1,0
1,4,702779,0,0,2,0,701800,0,1
0,9,2823781,82,82,1,0,2822807,1,0
0,9,4281472,154,154,1,0,4280290,1,0
0,3,1615156,203,203,1,5,1614144,1,0
0,2,826843,175,175,1,2,825971,0,0
0,9,3392268,112,112,1,0,3391673,0,0
0,9,4574073,161,161,1,0,4573255,1,0
0,9,2360029,61,61,1,0,2359047,1,0
0,9,3986597,145,145,1,0,3986148,0,0
0,9,713930,3,3,1,0,712959,0,0
0,9,3076129,98,98,1,0,3075227,0,0
0,9,3654541,124,124,1,0,3653626,0,0
0,0,3126460,231,231,1,10,3125490,0,0
0,9,3178574,101,101,1,0,3177557,1,0
0,10,3289,221,221,1,9,2476,1,0
0,0,3092504,224,224,1,10,3091527,0,0
0,9,3293385,107,107,1,0,3292469,1,0
0,9,2379851,66,66,1,0,2378994,1,0
0,9,1218576,29,29,1,0,1217713,1,0
0,0,3096667,225,225,1,10,3095699,0,0
0,3,1599674,201,201,1,5,1598787,1,0
0,9,2949277,93,93,0,0,2948707,1,0
0,9,3635309,123,123,1,0,3634361,1,0
0,9,3791837,126,126,1,0,3791328,0,0
0,4,1718127,210,210,1,6,1717211,0,0
0,9,4357200,155,155,1,0,4356532,1,0
0,2,889564,179,179,1,2,888848,0,0
0,9,2321136,57,57,1,0,2320393,1,0
0,9,4672465,162,162,1,0,4671570,1,0
0,9,2564895,73,73,1,0,2563960,0,0
0,3,1566639,199,199,1,5,1565667,1,0
0,9,870727,11,11,1,0,869853,1,0
0,9,1251779,33,33,1,0,1250937,1,0
0,9,1214186,28,28,1,0,1213213,1,0
0,9,3630502,122,122,1,0,3629473,1,0
0,9,4396545,157,157,1,0,4395898,1,0
0,4,1726768,212,212,1,6,1725811,0,0
0,9,3946818,138,138,1,0,3946348,0,0
0,9,1799441,47,47,1,0,1798627,1,0
0,9,2819209,81,81,1,0,2818421,1,0
0,2,810302,171,171,1,2,809406,0,0
0,12,50281,182,182,1,3,49319,1,0
0,9,1474816,39,39,1,0,1474233,0,0
0,9,2723923,77,77,1,0,2723008,0,0
0,3,1623017,205,205,1,5,1622000,1,0
0,9,3487893,117,117,1,0,3486897,1,0
0,9,1198292,26,26,1,0,1197318,1,0
1,15,886301,178,178,2,2,885423,0,1
0,9,3605579,121,121,1,0,3604775,0,0
1,7,37246,191,191,2,4,36216,1,1
0,9,706356,1,1,1,0,705402,0,0
0,0,3162441,233,233,1,10,3161514,0,0
0,9,2837856,86,86,1,0,2836889,1,0
0,14,1525569,217,217,1,8,1524684,0,0
1,4,3257865,105,105,2,0,3256854,1,1
0,14,1543004,220,220,1,8,1542125,0,0
0,9,2831118,84,84,1,0,2830191,1,0
0,9,1289899,34,34,1,0,1288988,0,0
0,9,2277459,54,54,1,0,2276564,1,0
0,9,3856099,128,128,1,0,3855436,1,0
0,3,1531659,196,196,1,5,1530673,1,0
0,3,1618754,204,204,1,5,1617789,1,0
0,3,1569787,200,200,1,5,1568882,1,0
0,9,867371,10,10,1,0,866391,1,0
1,13,1610485,202,202,2,5,1609781,1,1
0,0,3134255,232,232,1,10,3133635,0,0
0,9,1209985,27,27,1,0,1208980,1,0
0,11,1066,188,188,1,4,97,1,0
0,9,750322,5,5,1,0,749314,1,0
0,9,3202332,103,103,1,0,3201416,1,0
0,9,1238650,31,31,1,0,1237682,1,0
0,6,38255,168,168,1,1,37374,1,0
0,9,3958817,141,141,1,0,3957831,0,0
0,2,813663,172,172,1,2,812738,0,0
0,5,16470,215,215,1,7,15481,1,0
0,9,3598785,119,119,1,0,3598376,0,0
0,9,2292995,55,55,1,0,2292070,1,0
0,9,3484725,116,116,1,0,3483913,1,0
0,9,3337829,108,108,1,0,3336940,0,0
1,4,3942505,137,137,2,0,3941590,0,1
0,9,817233,8,8,1,0,816237,1,0
0,9,2363229,62,62,1,0,2362303,1,0
0,0,3121885,230,230,1,10,3121014,0,0
0,9,2318302,56,56,1,0,2317439,1,0
0,9,1487516,41,41,1,0,1486532,0,0
0,11,1520249,195,195,1,4,1519281,0,0
0,9,3925106,134,134,1,0,3924162,1,0
0,9,1470924,38,38,1,0,1470038,0,0
0,9,3253701,104,104,1,0,3252689,1,0
0,0,35088,222,222,1,10,34091,1,0
0,9,3879177,131,131,1,0,3878232,0,0
0,9,1135405,23,23,1,0,1134492,1,0
0,0,3111097,227,227,1,10,3110193,0,0
1,4,1540655,42,42,2,0,1539695,0,1
0,9,2517420,71,71,1,0,2516791,0,0
0,12,46423,181,181,1,3,45432,1,0
0,12,121633,185,185,1,3,120728,1,0
0,9,1382865,37,37,1,0,1381870,0,0
0,3,1544825,198,198,1,5,1543914,1,0
1,4,4392476,156,156,2,0,4391482,1,1
0,5,2228516,216,216,1,7,2227599,0,0
0,2,822698,174,174,1,2,821677,0,0
0,9,967539,15,15,1,0,966566,0,0
0,9,1605990,43,43,1,0,1605094,1,0
0,9,2815583,80,80,1,0,2814647,1,0
0,0,3120182,229,229,1,10,3119289,0,0
1,4,963298,14,14,2,0,962347,0,1
0,2,835336,176,176,1,2,834360,0,0
0,9,3954615,140,140,1,0,3953625,0,0
0,9,1483126,40,40,1,0,1482386,0,0
0,11,59994,192,192,1,4,59019,1,0
0,9,3658680,125,125,1,0,3657775,0,0
0,9,4739055,166,166,1,0,4738454,1,0
0,11,1512439,193,193,1,4,1511545,0,0
0,4,1713820,209,209,1,6,1712806,0,0
0,9,745630,4,4,1,0,744707,0,0
0,9,2883682,91,91,1,0,2882695,1,0
0,9,1860672,49,49,1,0,1859648,1,0
0,9,3471297,113,113,1,0,3470331,0,0
0,9,710413,2,2,1,0,709282,0,0
0,9,3391129,111,111,1,0,3390208,0,0
0,9,2876969,89,89,1,0,2875871,1,0
0,9,1612962,45,45,1,0,1612027,1,0
0,9,3963135,142,142,1,0,3962225,0,0
0,9,2503866,70,70,1,0,2502987,0,0
0,12,38718,180,180,1,3,37728,1,0
0,9,1247370,32,32,1,0,1246604,1,0
1,4,959824,13,13,2,0,958735,0,1
0,9,813072,7,7,1,0,812093,1,0
0,9,4054409,149,149,1,0,4053370,1,0
0,2,817549,173,173,1,2,817059,0,0
1,4,1040606,18,18,2,0,1039800,0,1
0,9,2971478,94,94,1,0,2970900,0,0
0,9,2732709,78,78,1,0,2731745,0,0
0,9,2557700,72,72,1,0,2556763,0,0
0,9,3341774,109,109,1,0,3340903,0,0
0,9,1856079,48,48,1,0,1855124,1,0
0,4,1730683,213,213,1,6,1729945,0,0
0,9,874894,12,12,1,0,873910,1,0
0,9,2719470,76,76,1,0,2718746,0,0
0,9,3983006,144,144,1,0,3982127,0,0
1,7,4163,189,189,2,4,3357,1,1
0,9,3475811,114,114,1,0,3474883,0,0
1,4,3479864,115,115,2,0,3478912,0,1
0,5,5403,214,214,1,7,4422,1,0
0,9,2121499,50,50,1,0,2120598,0,0
0,9,1649617,46,46,1,0,1648674,1,0
0,9,4092305,151,151,1,0,4092003,1,0
0,9,4698031,165,165,1,0,4697363,1,0
0,9,4674500,163,163,1,0,4674023,1,0
0,9,4045564,147,147,1,0,4044548,1,0
0,9,2241711,53,53,1,0,2240825,1,0
0,9,1609685,44,44,1,0,1608659,1,0
0,3,1639490,207,207,1,5,1638522,1,0
0,0,3089002,223,223,1,10,3088123,0,0
0,9,1084006,22,22,1,0,1083168,0,0
0,9,3949671,139,139,1,0,3948636,0,0
1,4,2386953,67,67,2,0,2386083,1,1
0,9,4769513,167,167,1,0,4768631,0,0
0,0,3116397,228,228,1,10,3115586,0,0
0,9,3851936,127,127,1,0,3851292,1,0
0,9,3344923,110,110,1,0,3344054,0,0
0,9,3871709,129,129,1,0,3870942,0,0
0,9,2834062,85,85,1,0,2833074,1,0
0,9,2604167,75,75,1,0,2603329,0,0
0,12,128626,187,187,1,3,127746,1,0
0,9,3193314,102,102,1,0,3192405,1,0
1,16,1531532,219,219,2,8,1530570,0,1
0,9,1080374,21,21,1,0,1079384,0,0
0,9,4685863,164,164,1,0,4685216,1,0
0,9,2368035,63,63,1,0,2367171,1,0
0,9,2930278,92,92,1,0,2929420,1,0
1,4,1164370,24,24,2,0,1163401,1,1
0,9,2844528,88,88,1,0,2843538,1,0
