Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position
1,0,930600,238,4,929947
0,0,459742,245,4,459083
0,0,8892,373,4,8245
0,0,410431,178,4,409799
1,0,95645,62,4,95094
1,0,311313,420,4,310645
0,0,444695,30,4,444042
0,0,302673,240,4,302005
0,0,332148,408,4,331510
0,0,22912,56,2,22523
1,0,20624,72,4,19953
0,0,276224,133,4,275592
1,0,605996,234,4,605367
1,0,631273,155,4,630704
1,0,893116,235,3,892445
1,0,9993,32,4,9376
1,0,1448091,87,4,1447573
1,0,12594,194,4,11959
0,0,389569,243,4,388676
0,0,28027,42,4,27344
1,0,426818,134,4,426186
0,0,32545,258,4,31979
0,0,11424,39,3,10828
0,0,474095,351,4,473496
1,0,891600,267,1,891058
1,0,1570983,119,4,1570405
1,0,487260,198,4,486679
0,0,28680,127,3,27985
0,0,478938,100,4,478315
0,0,1109266,395,4,1108595
0,0,21792,342,4,21193
1,0,652493,232,4,651543
1,0,538452,143,4,537880
0,0,21840,225,4,21079
0,0,567898,122,2,567485
0,0,53116,394,5,52718
0,0,308712,367,4,308044
1,0,641268,230,4,640657
0,0,1591262,328,4,1590720
0,0,559332,141,2,558976
0,0,643220,196,4,642618
1,0,588625,154,3,587969
0,0,277659,419,4,277030
0,0,1591401,208,3,1590901
1,0,1060193,186,4,1059636
0,0,272757,177,4,271798
0,0,21892,336,4,21179
1,0,438791,31,4,438168
0,0,11825,43,4,11139
1,0,610947,364,4,610288
0,0,1183104,322,4,1182499
0,0,1871216,107,4,1870641
1,0,1100102,404,4,1099440
0,0,223254,285,4,222562
1,0,2130876,103,4,2130250
1,0,5418,226,4,4696
1,0,274287,169,4,273715
1,0,212591,428,4,211887
0,0,253619,167,4,252897
1,0,190891,64,4,190256
1,0,33533,388,4,32910
0,0,66227,298,4,65685
1,0,1038285,187,4,1037734
0,0,1299223,182,4,1298663
0,0,555039,76,4,554104
1,0,1790185,215,4,1789544
1,0,110877,152,5,110344
0,0,70385,295,4,69732
0,0,406686,135,4,406078
1,1,1894275,109,4,1893637
0,0,48963,355,4,48349
0,0,63431,61,4,62859
0,0,563485,92,2,563114
1,0,1947,14,3,1330
1,1,849658,22,4,849029
0,0,17246,262,4,16593
1,0,11667,255,4,10975
1,0,1192370,311,4,1191744
1,0,789660,147,4,789061
0,0,484940,352,4,484143
0,0,551183,221,2,550740
0,0,1665163,28,4,1664528
0,0,15815,358,4,15231
0,0,423275,200,4,422700
0,0,50225,393,4,49587
0,0,23909,359,4,23259
0,0,1935320,211,4,1934724
1,0,1439745,88,4,1439215
0,0,1646736,209,4,1646206
1,0,5356,347,4,4736
0,0,281837,176,4,281250
0,0,217404,21,4,216745
0,0,462632,136,4,462006
0,0,565167,379,2,564760
1,0,4939,6,4,4241
0,0,497547,247,4,496699
0,0,2159962,323,4,2159390
1,0,1722444,335,4,1721857
1,0,627125,83,4,626559
0,0,510533,430,4,509916
1,0,2103139,216,4,2102468
0,0,211634,416,5,211245
1,0,34921,263,4,34262
0,0,1578872,118,4,1578312
0,0,602022,158,4,601444
1,0,9539,193,4,8904
1,0,497850,291,4,497083
0,0,465000,350,4,464038
1,0,296809,418,4,296102
0,0,1863,41,4,1279
0,0,1337715,206,3,1337152
1,0,10499,37,2,10110
0,0,6256,128,2,5888
0,0,77237,58,4,76545
0,0,1685667,115,0,1685527
1,0,584282,131,4,583626
0,0,1212108,308,4,1211533
1,0,8071,390,4,7124
1,0,636879,156,4,636250
1,0,1357417,307,4,1356881
1,0,1413348,205,4,1412725
0,0,897652,236,4,897068
1,0,102031,0,4,101630
0,0,460277,278,4,459570
1,0,550961,286,4,550314
1,0,2082607,34,4,2081918
1,0,673589,181,4,672981
0,0,262590,282,4,261997
0,0,1069989,190,4,1069351
1,0,54130,397,4,53294
1,0,238595,168,4,237978
1,0,2039757,325,4,2039173
0,0,55031,261,4,54300
1,0,42738,389,4,42403
1,0,698962,95,4,698387
1,0,1037760,366,4,1037092
0,0,522585,431,4,522157
1,0,1653046,111,4,1652444
0,0,610905,153,4,610333
0,0,9693,357,4,9067
0,0,331967,150,4,331098
1,0,57983,60,4,57381
0,0,488252,246,4,487683
0,0,152203,399,4,151562
1,0,7816,166,4,6941
0,0,473006,248,4,472107
1,0,8984,251,4,8412
0,0,296422,239,4,295724
0,0,786,370,4,88
0,0,541203,101,4,540331
1,0,1896,250,4,1198
0,0,433446,201,4,432955
0,0,297265,219,4,296609
0,0,421453,414,4,420860
1,0,10738,161,4,10142
0,0,422988,179,4,422386
0,0,739582,266,4,738989
0,0,741926,197,4,741234
1,0,2021354,35,4,2020752
0,0,22510,52,3,21845
0,0,12963,338,4,12349
1,0,1279824,185,4,1279111
0,0,2141017,324,4,2140400
1,0,213605,69,4,212727
1,0,649380,231,4,648745
1,0,1773473,331,3,1772775
1,0,542828,287,4,542232
1,0,3185,159,4,2544
1,0,1094415,315,4,1093786
0,0,548259,140,2,547909
0,0,4704,223,4,4066
0,0,67780,412,4,67067
0,0,288418,218,4,287768
1,0,498188,427,4,497556
1,0,633393,80,4,632488
0,0,606832,84,4,606242
1,0,11303,48,4,10641
1,0,667099,3,4,666332
