GeneInstanceType,GeneDbId,GeneLabel,ChromosomeLocation,GeneSubclass,EncodedProtein,GenomicEndPosition,OrthologousGene,GenomicStartPosition,StrandOrientation
1,60,60,12,1,25,954065,17,950709,1
0,32,32,1,0,11,7485958,23,7483058,0
0,80,80,12,0,19,5310760,8,5309435,1
0,115,115,12,0,38,11930294,8,11928846,1
0,62,62,12,0,20,1163943,11,1162260,1
0,111,111,12,0,20,11141122,8,11139777,0
0,18,18,1,0,12,3552202,7,3549812,0
0,123,123,12,0,38,14297622,8,14294152,1
0,139,139,12,0,35,16271105,8,16270171,1
0,156,156,12,0,19,19098062,12,19092804,1
0,8,8,3,0,18,1488889,2,1488146,1
0,1,1,0,0,18,720767,4,720270,1
0,61,61,12,0,20,1138017,8,1136944,0
0,36,36,1,0,10,8446783,7,8444390,0
0,79,79,12,0,20,4986283,11,4984864,1
0,92,92,12,0,19,6830368,11,6828929,0
0,113,113,12,0,20,11411332,11,11410333,0
0,133,133,12,0,19,15699505,8,15698438,1
0,71,71,12,0,23,3320883,6,3319447,0
0,67,67,12,0,31,1981630,8,1980224,1
0,130,130,12,0,19,15368259,11,15366826,0
0,124,124,12,0,37,14309948,8,14308893,0
0,77,77,12,0,19,4787700,8,4786735,1
0,27,27,1,0,1,7223642,23,7222040,1
0,110,110,12,0,38,10863636,8,10862464,0
0,49,49,1,0,9,13113318,23,13110727,0
0,16,16,1,0,6,1537359,7,1535937,0
0,94,94,12,0,20,6917763,11,6916226,1
0,121,121,12,0,19,14082326,11,14081394,1
0,105,105,12,0,20,9633706,11,9632528,0
0,24,24,1,0,0,5758988,23,5757861,1
0,9,9,6,0,18,81654,20,80512,1
0,181,181,12,0,38,23853903,12,23852545,1
0,145,145,12,0,19,16962662,12,16961430,1
1,4,4,2,1,34,174089,21,167799,1
0,19,19,1,0,43,3888303,23,3887290,1
0,116,116,12,0,20,12055523,8,12054483,1
1,2,2,2,1,34,99081,0,91365,1
0,98,98,12,0,19,7438734,8,7437391,1
0,23,23,1,0,17,4822884,23,4821965,0
0,132,132,12,0,19,15575248,11,15573908,0
1,50,50,1,1,30,13184258,19,13181388,1
0,108,108,12,0,20,9950434,8,9949362,1
0,101,101,12,0,23,8353309,11,8351207,1
0,168,168,12,0,23,21338975,12,21337707,1
1,140,140,12,1,40,16290323,24,16287284,1
0,54,54,12,0,20,39504,11,38457,0
0,184,184,12,0,19,24325727,5,24324600,1
0,52,52,1,0,0,15525233,23,15523344,0
1,35,35,1,1,30,8123260,19,8119900,0
0,173,173,12,0,20,22034406,5,22033199,0
0,31,31,1,0,0,7470439,7,7468958,0
1,99,99,12,1,25,8082833,17,8078484,1
0,17,17,1,0,7,1555909,7,1553879,1
0,152,152,12,0,20,18805214,12,18803756,0
0,135,135,12,0,38,16044124,11,16042352,0
0,65,65,12,0,20,1384983,8,1383800,0
0,30,30,1,0,5,7409936,16,7408131,1
0,155,155,12,0,19,19092299,12,19091385,1
0,37,37,1,0,16,8477276,23,8475756,0
0,74,74,12,0,23,4054701,11,4053424,1
0,141,141,12,0,20,16306157,8,16305157,1
0,34,34,1,0,43,7726763,7,7725846,1
0,117,117,12,0,20,12245091,11,12243976,0
0,162,162,12,0,19,20537413,12,20536571,0
0,6,6,4,0,2,3991758,1,3988690,0
0,84,84,12,0,23,5631591,8,5630353,0
0,43,43,1,0,0,11528056,7,11526539,1
0,106,106,12,0,20,9713721,8,9711766,1
0,169,169,12,0,19,21494170,12,21492995,0
0,143,143,12,0,39,16917457,12,16914834,0
0,174,174,12,0,39,22370663,5,22368995,0
0,39,39,1,0,0,9818594,23,9817575,1
0,129,129,12,0,42,15205645,11,15204587,1
0,64,64,12,0,43,1377494,8,1376007,1
0,25,25,1,0,44,6206204,7,6205003,1
1,5,5,2,1,34,196430,10,190759,0
0,88,88,12,0,19,6407978,11,6406782,1
1,72,72,12,1,45,3668916,17,3665455,0
0,66,66,12,0,38,1619516,11,1618005,0
0,166,166,12,0,39,20921047,12,20919837,0
0,179,179,12,0,20,23094018,12,23092635,0
1,70,70,12,1,41,2395872,17,2393881,0
1,7,7,5,1,34,5133342,15,5130638,1
0,12,12,8,0,20,1681418,14,1679283,0
0,48,48,1,0,2,13088563,23,13085495,0
1,159,159,12,1,21,19533804,17,19532201,0
1,104,104,12,1,27,9534947,13,9531795,0
0,10,10,9,0,20,1115867,9,1114074,1
0,131,131,12,0,20,15572469,8,15571309,1
0,56,56,12,0,38,189059,8,186996,1
0,163,163,12,0,19,20629260,12,20624929,0
1,107,107,12,1,21,9897110,13,9895189,0
0,165,165,12,0,20,20644984,12,20643740,0
0,172,172,12,0,39,21910490,12,21909174,0
0,51,51,1,0,14,14737741,7,14736827,1
0,44,44,1,0,0,12043902,23,12042832,0
0,86,86,12,0,38,5694837,8,5693386,0
0,40,40,1,0,3,10166666,23,10162488,1
0,153,153,12,0,20,18902845,5,18901746,1
0,138,138,12,0,38,16194865,11,16193285,1
0,154,154,12,0,19,19068634,5,19067516,1
0,150,150,12,0,19,17510816,5,17509830,1
0,182,182,12,0,19,24166126,5,24164795,1
1,164,164,12,1,25,20643501,13,20641411,1
0,134,134,12,0,38,15718387,8,15717122,1
0,47,47,1,0,13,13085487,7,13081270,0
1,38,38,1,1,30,9281160,19,9279771,1
1,69,69,12,1,32,2196289,13,2194207,1
0,15,15,1,0,43,1535813,7,1533903,0
1,46,46,1,1,30,12991286,19,12990102,0
0,161,161,12,0,19,20186152,12,20185019,0
0,128,128,12,0,38,14784791,11,14783577,1
0,180,180,12,0,19,23555821,5,23554982,1
0,148,148,12,0,31,17302256,12,17300595,0
0,151,151,12,0,20,17931183,5,17930112,0
0,102,102,12,0,20,8501731,11,8500823,1
1,28,28,1,1,15,7252507,19,7251456,0
0,125,125,12,0,37,14313028,8,14311819,0
1,177,177,12,1,21,22703905,13,22702368,1
0,0,0,0,0,18,690524,3,690027,1
0,42,42,1,0,8,11526257,7,11525184,1
0,119,119,12,0,20,13564907,11,13563621,0
0,103,103,12,0,19,9395484,11,9394522,1
1,120,120,12,1,28,13800591,17,13799374,1
0,82,82,12,0,38,5535594,8,5533789,1
0,78,78,12,0,20,4961093,11,4960051,0
0,93,93,12,0,20,6835055,8,6834118,1
0,68,68,12,0,19,2148612,11,2147431,0
0,160,160,12,0,39,19933346,12,19929547,0
0,58,58,12,0,38,740910,11,739147,1
0,170,170,12,0,38,21500635,12,21499448,1
0,167,167,12,0,19,21207146,5,21206232,0
1,97,97,12,1,29,7436601,13,7431780,0
0,185,185,12,0,38,24417944,5,24416316,1
0,14,14,1,0,13,990467,23,986793,1
0,149,149,12,0,36,17430624,12,17429500,1
0,55,55,12,0,19,157156,11,156131,1
1,85,85,12,1,21,5654798,17,5652840,1
0,13,13,8,0,20,1988897,14,1987326,0
0,73,73,12,0,23,3723203,8,3721833,1
0,142,142,12,0,19,16629275,12,16628019,1
0,81,81,12,0,33,5418484,11,5417666,1
