ViafId,GndId,OfficialWebsite,FreebaseId,LibraryOfCongressAuthorityId,CommonsCategory,IsniIdentifier,WorldCatIdentitiesIdSuperseded,IdRefId,MainCategory,NationalLibraryOfIsraelJ9uId,QuoraTopicId
147610271.0,42,95,24,14,8,419371370.0,17,67250823.0,9,9.870072580886052e+17,5
129582224.0,56,81,104,33,86,419368956.0,36,26637251.0,73,9.870072683257052e+17,62
159033739.0,57,130,99,146,135,121947787.0,10,26583836.0,15,9.870074148476051e+17,11
126282670.0,73,98,147,52,113,419367988.0,53,,97,9.870072692130052e+17,84
148625294.0,93,164,119,53,147,,54,,135,9.870073078408051e+17,113
169160101.0,96,99,33,88,19,,85,33520348.0,20,,17
124469989.0,113,0,157,124,64,,118,,139,9.870074035606052e+17,46
153568718.0,108,97,112,27,107,121885934.0,30,27706338.0,91,9.870075263845052e+17,78
127559410.0,113,61,141,104,96,121543053.0,102,,83,9.870073155214052e+17,46
134409977.0,14,157,114,25,142,419369457.0,28,26431661.0,130,9.870072694505052e+17,109
262278305.0,78,108,64,90,45,106687884.0,88,26458632.0,40,9.870073112453052e+17,32
140364544.0,99,59,136,129,64,122922899.0,124,,4,,1
128638237.0,79,75,5,9,47,123226764.0,9,28090624.0,42,9.870072639313052e+17,35
123126640.0,101,56,85,154,89,107196681.0,16,,76,9.870074564179052e+17,64
131237411.0,95,161,26,93,145,121585974.0,90,33565066.0,133,9.870072698877052e+17,46
124469989.0,113,0,157,124,64,,118,,139,9.870074035606052e+17,46
134587283.0,113,66,127,0,56,,151,,139,,46
133395389.0,8,43,100,96,59,122894349.0,94,118267493.0,52,9.870076050488051e+17,46
132565078.0,58,76,53,105,46,417735396.0,103,26636514.0,41,9.870072633293052e+17,34
248753693.0,34,119,48,110,79,406451099.0,107,196722233.0,66,,36
156242131.0,90,135,103,153,85,107085391.0,143,29152798.0,72,9.870073022865052e+17,46
126344972.0,54,19,79,155,16,121085830.0,144,,139,,15
149568785.0,89,21,21,0,149,121167043.0,12,26374943.0,137,9.870076037566052e+17,114
193053676.0,63,82,74,147,122,110169625.0,0,151309841.0,115,9.870112574928051e+17,99
139007816.0,5,148,38,85,127,123697670.0,82,26430843.0,120,9.870072694772051e+17,46
134855926.0,55,112,80,42,55,419368649.0,44,27921026.0,50,9.870072651187052e+17,41
132225788.0,110,67,70,82,148,404705454.0,79,76004457.0,136,9.870072701642052e+17,46
124127252.0,107,110,148,58,49,459033130.0,58,32150547.0,45,9.870072646220051e+17,38
134443728.0,113,79,145,150,38,122888774.0,141,,35,,46
137080884.0,66,141,42,65,44,121658627.0,65,148421784.0,98,9.870072634976051e+17,85
149991997.0,113,114,149,157,52,,146,139981403.0,48,,46
153631751.0,113,84,94,64,101,121887235.0,64,,23,9.870073526543052e+17,70
129809767.0,48,80,65,94,64,121566060.0,91,114534942.0,71,9.870073979268051e+17,60
126006107.0,113,26,130,8,31,,8,,28,9.870122892598052e+17,24
284129244.0,113,60,128,3,64,404949619.0,3,,87,,46
124469989.0,113,0,157,124,64,,118,,139,9.870074035606052e+17,46
149568785.0,89,21,21,0,149,121167043.0,12,26374943.0,137,9.870076037566052e+17,114
313138723.0,47,137,56,81,115,121814263.0,0,26430398.0,103,9.870075765020051e+17,89
153568718.0,108,97,112,27,107,121885934.0,30,27706338.0,91,9.870075263845052e+17,78
131403626.0,113,0,157,136,15,,130,50659286.0,139,,46
129553616.0,82,126,105,26,88,121891568.0,29,34281290.0,75,9.870075117609052e+17,63
312905953.0,113,100,106,0,25,417563635.0,0,,139,,19
128987800.0,51,74,69,24,35,121095844.0,27,26453169.0,32,9.870072624714052e+17,27
147610271.0,42,95,24,14,8,419371370.0,17,67250823.0,9,9.870072580886052e+17,5
138323566.0,91,128,37,87,91,120346082.0,84,,78,9.870073010915052e+17,66
148625294.0,93,164,119,53,147,,54,,135,9.870073078408051e+17,113
124469989.0,113,0,157,124,64,,118,,139,9.870074035606052e+17,46
311473249.0,113,30,84,144,34,,137,,31,9.870075878217052e+17,26
129827210.0,49,151,82,35,131,89145257.0,38,28653270.0,124,9.870074407237052e+17,104
146264344.0,113,0,157,125,23,119415837.0,119,,22,9.870075899032051e+17,46
149131869.0,70,163,121,30,146,419368710.0,33,73277886.0,134,9.870072701842052e+17,112
265545951.0,113,3,54,15,54,,18,,139,,46
124031228.0,9,132,73,37,100,419370706.0,40,50448854.0,95,9.870073086149052e+17,82
313138723.0,47,137,56,81,115,121814263.0,0,26430398.0,103,9.870075765020051e+17,89
284976748.0,25,140,2,45,60,121590001.0,47,27627063.0,53,9.870074406488051e+17,46
145844349.0,19,134,113,29,102,419368921.0,32,28101138.0,112,9.870072690968051e+17,96
134409977.0,14,157,114,25,142,419369457.0,28,26431661.0,130,9.870072694505052e+17,109
157729206.0,1,22,140,18,20,,21,29974119.0,21,9.870075262166052e+17,18
146084247.0,64,88,107,16,99,120973940.0,19,32127901.0,54,9.870072692385052e+17,43
129017410.0,3,10,17,91,4,121556022.0,89,27786951.0,6,9.870072633365052e+17,3
141829836.0,40,57,102,49,126,123694728.0,51,28099923.0,119,9.870072691864051e+17,46
132142553.0,113,159,18,41,143,122647217.0,43,84697962.0,131,9.870072694250052e+17,110
145844349.0,19,134,113,29,102,419368921.0,32,28101138.0,112,9.870072690968051e+17,96
147263964.0,83,0,89,6,130,108068235.0,6,26404095.0,123,9.870074057935052e+17,46
124127252.0,107,110,148,58,49,459033130.0,58,32150547.0,45,9.870072646220051e+17,38
140757625.0,20,15,154,103,13,123242350.0,101,32246609.0,16,9.870072597320051e+17,12
153568718.0,108,97,112,27,107,121885934.0,30,27706338.0,91,9.870075263845052e+17,78
159121440.0,43,94,12,114,78,,109,,67,9.870074618060051e+17,55
131602626.0,113,68,110,140,7,90155153.0,0,,8,,46
128987800.0,51,74,69,24,35,121095844.0,27,26453169.0,32,9.870072624714052e+17,27
157813765.0,76,44,61,97,150,120976957.0,95,26375249.0,138,9.870073260129052e+17,39
129736338.0,21,102,30,60,114,406400021.0,60,26453177.0,102,9.870074541353052e+17,88
156242131.0,90,135,103,153,85,107085391.0,143,29152798.0,72,9.870073022865052e+17,46
135762705.0,113,2,157,0,43,,121,,139,,46
145844349.0,19,134,113,29,102,419368921.0,32,28101138.0,112,9.870072690968051e+17,96
129553616.0,82,126,105,26,88,121891568.0,29,34281290.0,75,9.870075117609052e+17,63
145023311.0,36,121,72,17,42,121532557.0,20,27918459.0,70,9.870075839249052e+17,31
140902903.0,98,123,45,128,87,95534320.0,123,,74,9.870073144164051e+17,46
127559410.0,113,61,141,104,96,121543053.0,102,,83,9.870073155214052e+17,46
134651615.0,113,124,118,141,64,107411142.0,134,,111,9.870073115675052e+17,95
125327305.0,17,156,57,47,125,,49,,118,9.870075991134052e+17,101
146316977.0,26,146,11,32,119,,35,30053196.0,109,9.870072692068051e+17,93
156242131.0,90,135,103,153,85,107085391.0,143,29152798.0,72,9.870073022865052e+17,46
146041435.0,28,133,108,55,112,406480244.0,55,30820758.0,96,,83
132683760.0,62,109,143,38,117,121612573.0,41,26431939.0,105,9.870072693890052e+17,90
157695433.0,100,78,151,71,118,121662407.0,0,30575923.0,106,9.870072693864051e+17,91
123126640.0,101,56,85,154,89,107196681.0,16,,76,9.870074564179052e+17,64
89586342.0,80,96,32,73,1,119562722.0,72,26461307.0,1,9.870072572137052e+17,0
231832651.0,113,11,96,4,64,404525023.0,4,,11,,7
3.4971593375658127e+21,15,131,138,51,103,121901201.0,0,29789753.0,85,9.870072692218052e+17,73
127434267.0,71,101,152,34,28,119551644.0,37,34759182.0,25,9.870072615042052e+17,21
159447334.0,113,13,67,67,11,106264689.0,67,,13,9.870074619542052e+17,46
128035475.0,38,90,144,12,128,88091613.0,14,30684595.0,121,9.870072694878052e+17,102
150022947.0,13,160,29,56,144,122908069.0,56,26432838.0,132,9.870076043577052e+17,111
153872312.0,113,37,87,132,64,,0,,139,,33
161523607.0,41,158,77,21,129,111181335.0,24,179917129.0,122,9.870112573853052e+17,103
138923714.0,94,91,28,152,0,,142,254778186.0,0,9.870072572147052e+17,46
136514983.0,69,107,7,23,110,,26,26458748.0,94,9.870073084116051e+17,81
127434267.0,71,101,152,34,28,119551644.0,37,34759182.0,25,9.870072615042052e+17,21
134355515.0,113,32,157,115,64,119563530.0,110,,139,9.870074381641052e+17,46
129827210.0,49,151,82,35,131,89145257.0,38,28653270.0,124,9.870074407237052e+17,104
134409977.0,14,157,114,25,142,419369457.0,28,26431661.0,130,9.870072694505052e+17,109
265019383.0,12,83,31,92,138,,0,29115930.0,127,9.870072693673052e+17,9
149011192.0,102,25,13,119,29,100229145.0,0,,139,,22
148091513.0,113,86,135,137,105,99719023.0,131,,88,,75
134911720.0,97,115,139,106,61,123240259.0,104,181575612.0,55,9.870112575266052e+17,44
159121440.0,43,94,12,114,78,,109,,67,9.870074618060051e+17,55
137991167.0,74,125,115,28,121,,31,,114,9.870072691913052e+17,98
156242131.0,90,135,103,153,85,107085391.0,143,29152798.0,72,9.870073022865052e+17,46
140656686.0,113,35,76,0,24,,0,,89,9.870074380237052e+17,76
149519357.0,105,58,83,79,92,107261826.0,77,,79,,67
137430799.0,24,152,124,78,63,121550800.0,76,180690493.0,57,9.870072662015052e+17,115
133396889.0,113,162,117,39,95,122872270.0,42,32222998.0,82,9.870072691371052e+17,46
134355515.0,113,32,157,115,64,119563530.0,110,,139,9.870074381641052e+17,46
149568785.0,89,21,21,0,149,121167043.0,12,26374943.0,137,9.870076037566052e+17,114
132451424.0,60,71,126,57,12,119574408.0,57,69566992.0,14,9.870072692312051e+17,10
158812595.0,113,4,35,80,81,122994112.0,78,,68,9.870075857734052e+17,57
125487104.0,72,118,55,62,77,,62,,65,9.870072669124051e+17,54
138334548.0,10,129,63,36,108,95114342.0,39,26430339.0,92,9.870072691210052e+17,79
134409977.0,14,157,114,25,142,419369457.0,28,26431661.0,130,9.870072694505052e+17,109
134355515.0,113,32,157,115,64,119563530.0,110,,139,9.870074381641052e+17,46
128922850.0,35,33,123,75,39,404133089.0,73,26453797.0,36,9.870072627986052e+17,28
133659704.0,0,120,88,13,120,404517306.0,15,,113,,53
313138723.0,47,137,56,81,115,121814263.0,0,26430398.0,103,9.870075765020051e+17,89
136514983.0,69,107,7,23,110,,26,26458748.0,94,9.870073084116051e+17,81
124127252.0,107,110,148,58,49,459033130.0,58,32150547.0,45,9.870072646220051e+17,38
265559785.0,113,106,157,0,64,,154,,27,,46
132544298.0,75,153,27,54,141,90646198.0,150,26431475.0,129,9.870074618644051e+17,108
136608671.0,113,40,131,76,64,121837510.0,74,,139,9.870073276409052e+17,42
138054525.0,113,39,122,84,64,112403921.0,81,,44,9.870072633303052e+17,37
134409977.0,14,157,114,25,142,419369457.0,28,26431661.0,130,9.870072694505052e+17,109
152055933.0,113,53,36,156,80,113648832.0,145,,139,,56
181230204.0,30,9,39,0,9,405160767.0,127,,139,,6
129730783.0,67,73,116,61,18,87000572.0,61,26431815.0,19,9.870072692134052e+17,16
138923714.0,94,91,28,152,0,,142,254778186.0,0,9.870072572147052e+17,46
129553616.0,82,126,105,26,88,121891568.0,29,34281290.0,75,9.870075117609052e+17,63
150695858.0,112,72,111,95,111,123533326.0,92,150194080.0,18,9.870075856587052e+17,14
169604735.0,113,34,66,116,64,123430490.0,111,,39,9.870073501995052e+17,46
129582224.0,56,81,104,33,86,419368956.0,36,26637251.0,73,9.870072683257052e+17,62
157738780.0,33,150,50,83,26,123254458.0,80,172331781.0,24,9.870072614049052e+17,20
149719022.0,88,16,86,108,109,121828067.0,106,27924254.0,93,9.870075923276051e+17,80
153568718.0,108,97,112,27,107,121885934.0,30,27706338.0,91,9.870075263845052e+17,78
123126640.0,101,56,85,154,89,107196681.0,16,,76,9.870074564179052e+17,64
159447334.0,113,13,67,67,11,106264689.0,67,,13,9.870074619542052e+17,46
130943651.0,18,111,101,31,53,406200548.0,34,,49,9.870073774987052e+17,40
135801795.0,113,46,155,109,68,123044186.0,125,34602089.0,60,9.870076042641052e+17,49
159121440.0,43,94,12,114,78,,109,,67,9.870074618060051e+17,55
134409977.0,14,157,114,25,142,419369457.0,28,26431661.0,130,9.870072694505052e+17,109
134855926.0,55,112,80,42,55,419368649.0,44,27921026.0,50,9.870072651187052e+17,41
145844349.0,19,134,113,29,102,419368921.0,32,28101138.0,112,9.870072690968051e+17,96
136514983.0,69,107,7,23,110,,26,26458748.0,94,9.870073084116051e+17,81
155975267.0,113,0,51,102,132,,100,,139,9.870073277411052e+17,105
138319002.0,11,154,46,50,123,419370722.0,52,26606585.0,116,9.870072691204051e+17,97
133411557.0,61,85,95,48,133,122872617.0,50,29966477.0,100,9.870072693799052e+17,87
155739406.0,31,92,22,131,2,121682483.0,126,31741878.0,2,9.870075839200051e+17,46
313138723.0,47,137,56,81,115,121814263.0,0,26430398.0,103,9.870075765020051e+17,89
284976748.0,25,140,2,45,60,121590001.0,47,27627063.0,53,9.870074406488051e+17,46
156108598.0,113,51,47,127,71,104343906.0,122,,61,,50
129736338.0,21,102,30,60,114,406400021.0,60,26453177.0,102,9.870074541353052e+17,88
284976748.0,25,140,2,45,60,121590001.0,47,27627063.0,53,9.870074406488051e+17,46
126231312.0,113,47,92,101,73,406341084.0,99,,63,9.870075132521052e+17,51
154205442.0,52,142,8,70,27,123644210.0,70,26581698.0,99,9.870072694725052e+17,86
156108598.0,113,51,47,127,71,104343906.0,122,,61,,50
143759573.0,37,147,78,107,82,121747048.0,105,26430711.0,69,9.870073102611052e+17,58
157729247.0,2,117,91,43,65,121935532.0,45,28891597.0,58,9.870072661666052e+17,47
147726875.0,4,62,52,149,136,122956052.0,140,,139,,46
151130293.0,86,127,150,69,93,123535022.0,69,152824111.0,80,9.870074391612051e+17,68
167609216.0,113,24,71,2,30,122337083.0,2,,26,,23
138323566.0,91,128,37,87,91,120346082.0,84,,78,9.870073010915052e+17,66
284976748.0,25,140,2,45,60,121590001.0,47,27627063.0,53,9.870074406488051e+17,46
158301808.0,65,136,25,40,137,419368390.0,0,28035747.0,126,9.870073192662052e+17,106
138297968.0,32,149,133,143,139,121764817.0,86,,5,9.870112467233052e+17,2
145023311.0,36,121,72,17,42,121532557.0,20,27918459.0,70,9.870075839249052e+17,31
181230204.0,30,9,39,0,9,405160767.0,127,,139,,6
164513884.0,113,41,60,1,50,112801647.0,1,130711551.0,46,,46
149568785.0,89,21,21,0,149,121167043.0,12,26374943.0,137,9.870076037566052e+17,114
132005805.0,87,1,157,20,22,121596243.0,23,88372286.0,139,,46
159033739.0,57,130,99,146,135,121947787.0,10,26583836.0,15,9.870074148476051e+17,11
1.1881529325365098e+21,113,50,157,134,64,449118595.0,0,,139,,46
150382964.0,113,55,75,148,64,,139,,139,,61
128987800.0,51,74,69,24,35,121095844.0,27,26453169.0,32,9.870072624714052e+17,27
157518001.0,113,28,146,142,74,,135,,139,,46
129553616.0,82,126,105,26,88,121891568.0,29,34281290.0,75,9.870075117609052e+17,63
131476374.0,113,89,43,122,83,417635731.0,116,,139,,46
145023311.0,36,121,72,17,42,121532557.0,20,27918459.0,70,9.870075839249052e+17,31
284129244.0,113,60,128,3,64,404949619.0,3,,87,,46
128990586.0,109,64,34,66,57,121684024.0,66,26404591.0,51,9.870072633370052e+17,46
124469989.0,113,0,157,124,64,,118,,139,9.870074035606052e+17,46
124031228.0,9,132,73,37,100,419370706.0,40,50448854.0,95,9.870073086149052e+17,82
140819272.0,27,29,10,86,33,405461279.0,83,,30,9.870072635682052e+17,25
126523066.0,22,70,58,77,10,406399286.0,75,,12,9.870075687883052e+17,8
124031228.0,9,132,73,37,100,419370706.0,40,50448854.0,95,9.870073086149052e+17,82
152551352.0,113,12,137,120,64,,114,,10,9.870075810887052e+17,46
234270464.0,113,54,129,0,84,,152,,139,,46
123126640.0,101,56,85,154,89,107196681.0,16,,76,9.870074564179052e+17,64
121893957.0,77,139,3,46,140,122923357.0,48,26431467.0,128,9.870072974568051e+17,107
128556028.0,45,87,44,72,106,,71,26431157.0,90,9.870072691099052e+17,77
135589622.0,50,144,40,44,70,122903970.0,46,27559572.0,107,9.870072665692051e+17,92
127559410.0,113,61,141,104,96,121543053.0,102,,83,9.870073155214052e+17,46
140902903.0,98,123,45,128,87,95534320.0,123,,74,9.870073144164051e+17,46
137834188.0,23,48,16,11,75,121668315.0,13,28176545.0,64,9.870072668199052e+17,52
125411121.0,113,0,157,89,64,122161161.0,87,73313866.0,139,9.870073001635052e+17,46
123315351.0,113,17,90,126,14,121502649.0,120,,17,9.870074589296051e+17,13
9.89114929617978e+21,113,6,157,135,69,106091343.0,0,,139,9.870074014998052e+17,46
133382129.0,113,5,157,160,64,,149,146527593.0,139,,46
151130293.0,86,127,150,69,93,123535022.0,69,152824111.0,80,9.870074391612051e+17,68
138054525.0,113,39,122,84,64,112403921.0,81,,44,9.870072633303052e+17,37
132544298.0,75,153,27,54,141,90646198.0,150,26431475.0,129,9.870074618644051e+17,108
131237411.0,95,161,26,93,145,121585974.0,90,33565066.0,133,9.870072698877052e+17,46
139058582.0,81,145,14,10,72,121689431.0,11,26418436.0,62,9.870072666190052e+17,46
159121440.0,43,94,12,114,78,,109,,67,9.870074618060051e+17,55
146875214.0,92,49,132,151,64,121797942.0,136,161183972.0,139,,46
145499425.0,113,63,68,117,98,122938305.0,112,,84,9.870073525797052e+17,72
156963164.0,113,18,49,0,17,109463405.0,0,,139,,46
156242131.0,90,135,103,153,85,107085391.0,143,29152798.0,72,9.870073022865052e+17,46
159504309.0,84,8,81,113,6,106299814.0,108,27750647.0,125,9.870073114145052e+17,46
131698021.0,113,31,142,138,97,90226409.0,132,,139,,71
128987800.0,51,74,69,24,35,121095844.0,27,26453169.0,32,9.870072624714052e+17,27
6.814766285956055e+19,113,69,157,145,64,404669510.0,138,,139,,46
158009703.0,113,7,134,158,76,,147,122824849.0,139,,46
126752257.0,29,14,23,100,94,121092379.0,98,122268415.0,81,9.870072691745052e+17,69
129736338.0,21,102,30,60,114,406400021.0,60,26453177.0,102,9.870074541353052e+17,88
152531118.0,6,27,9,118,32,122293922.0,113,,29,9.870075112907052e+17,46
243885290.0,113,0,157,0,66,,0,,139,,46
140879866.0,7,36,120,139,5,88875266.0,133,,7,9.870073086678052e+17,4
1.5114478298500265e+20,113,38,1,133,48,,128,,43,,46
133395389.0,8,43,100,96,59,122894349.0,94,118267493.0,52,9.870076050488051e+17,46
127872247.0,113,122,125,99,64,121094825.0,97,34473033.0,139,9.870074231616051e+17,59
132501376.0,111,93,97,22,104,112037853.0,25,,86,9.870072633376051e+17,74
169165874.0,113,20,0,121,3,120363165.0,115,,3,,46
