StrandOrientation,GeneDescription,GeneType,GenomicStartPosition,ChromosomeId,GeneLabel,EncodedProtein,GeneDbId,GenomicEndPosition
0,0,0,629461,19,50,6,50,632799
0,0,1,1015075,34,49,2,49,1017672
1,0,0,11,56,14,8,14,1291
1,0,0,52233,0,130,6,130,55385
0,0,1,5450,79,105,2,105,6751
1,0,1,855,84,118,2,118,3425
1,0,0,65097,23,98,6,98,68231
0,0,0,748432,38,9,7,9,750258
1,0,0,151067,21,102,5,102,153763
0,0,0,304756,14,152,8,152,307836
1,0,0,11467,44,62,5,62,13944
1,0,0,40663,9,71,6,71,43791
0,0,1,98009,13,54,2,54,100486
1,0,0,1124243,39,132,5,132,1126783
1,0,0,1644,63,125,6,125,4790
0,0,0,2,64,129,7,129,304
1,0,0,29548,9,114,7,114,30678
0,0,0,639173,8,107,6,107,642289
1,0,0,38468,82,110,7,110,40231
1,0,0,18,57,15,3,15,704
0,0,1,698580,26,69,2,69,701522
1,0,0,30504,38,86,6,86,33620
0,0,1,670661,26,83,2,83,673825
0,0,1,781378,26,63,2,63,782421
0,0,0,99663,12,34,7,34,100844
1,0,1,504186,19,72,2,72,506465
0,0,0,556483,40,82,6,82,559272
1,0,0,1799,42,37,5,37,4270
0,0,1,670680,27,75,2,75,673601
0,0,0,425925,25,84,6,84,429068
1,0,0,2,91,140,8,140,484
1,0,1,6076,72,68,2,68,7065
0,0,0,503742,14,100,0,100,506906
1,0,1,27503,31,2,2,2,28960
1,0,1,830,62,94,2,94,1651
0,0,0,301802,14,60,8,60,302755
0,0,0,2,50,12,8,12,1330
0,0,1,489726,1,23,2,23,492209
0,0,0,703461,36,17,8,17,704396
1,0,1,6842,16,67,2,67,7840
1,0,0,21059,47,38,6,38,24175
0,0,1,1,80,106,2,106,1482
0,0,1,861,65,32,2,32,3560
1,0,0,37199,84,119,6,119,40333
1,0,0,3197,15,45,6,45,6322
0,0,1,691713,26,135,2,135,694715
0,0,1,197949,10,147,2,147,201983
0,0,1,230508,3,155,2,155,232598
1,0,0,48939,38,85,6,85,52289
0,0,1,794730,29,61,2,61,796646
0,0,1,760413,26,103,2,103,762911
0,0,1,1,78,93,2,93,1815
1,0,0,9091,95,144,7,144,11460
0,0,1,766105,29,95,2,95,767496
1,0,1,338881,3,156,2,156,341160
0,0,0,132644,5,157,6,157,135805
0,0,0,323962,18,33,6,33,326955
1,0,1,246,74,79,2,79,2735
1,0,1,1753,46,51,2,51,4884
0,0,0,559651,6,59,6,59,562767
0,0,0,717008,23,29,6,29,720169
1,0,0,8184,77,91,6,91,11360
0,0,0,1,48,8,8,8,1011
0,0,0,4595,71,65,6,65,7732
0,0,0,1,83,115,7,115,696
1,0,1,550361,20,117,2,117,552643
0,0,0,222980,17,92,6,92,225838
1,0,0,2545,38,56,5,56,5115
0,0,0,293633,15,25,6,25,296392
1,0,1,34218,93,142,2,142,36371
0,0,0,217744,18,116,5,116,220362
0,0,1,531252,14,154,2,154,532553
0,0,0,769737,28,150,6,150,772874
0,0,1,636579,7,73,2,73,638513
0,0,1,683131,17,70,2,70,685611
1,0,1,38379,68,42,2,42,40751
1,0,0,3198,90,139,7,139,5438
1,0,0,5315,45,123,6,123,8449
1,0,0,34755,11,136,6,136,37772
0,0,1,9641,66,39,2,39,11809
0,0,1,5834,87,134,2,134,8362
1,0,0,92984,1,113,6,113,96112
1,0,1,5257,16,66,2,66,6579
1,0,1,13156,60,36,2,36,16287
1,0,1,371065,45,4,9,4,371763
1,0,0,982,61,90,7,90,3141
1,0,1,2433,36,40,2,40,5564
0,0,0,567123,33,26,1,26,567659
0,0,0,633441,39,31,8,31,634208
1,0,0,34431,28,88,1,88,34862
0,0,1,741965,23,101,2,101,742903
1,0,1,8075,41,44,2,44,11203
0,0,1,10430,96,145,2,145,12199
0,0,1,630235,7,74,2,74,631461
1,0,0,1,88,137,7,137,2165
0,0,1,675068,23,30,2,30,676357
1,0,0,43491,37,76,5,76,46094
1,0,1,298548,5,22,2,22,301337
1,0,0,47690,30,3,4,3,48145
1,0,0,8902,81,108,5,108,11508
0,0,0,1014604,35,35,6,35,1015710
