Sport_Type,Stage_Label,Stage_Distance_Km,Pro_Cycling_Stats_Race_Id,Start_Location,Stage_Type,Stage_Winner,Race_Event,Next_Stage,Stage_Date,Previous_Stage,Stage_Number,Stage_Description,End_Location
1,88,174.0,268399.0,15,23,7,36,82,74,88,5.0,14,44
1,59,131.8,247116.0,87,21,41,28,51,36,62,3.0,9,59
1,6,170.5,,10,21,32,4,3,1,10,4.0,9,71
1,24,90.0,163239.0,0,23,10,12,96,8,26,6.0,9,0
1,22,1122.1,163638.0,21,7,20,14,26,77,17,,10,54
1,61,149.1,247118.0,33,21,21,28,53,38,64,5.0,9,80
1,10,833.1,116788.0,25,16,35,5,10,77,8,,10,5
1,101,148.5,170973.0,82,19,41,15,97,16,0,2.0,9,59
1,104,173.9,181010.0,23,21,49,20,100,21,102,2.0,16,86
1,48,200.0,210019.0,66,19,31,23,41,34,54,17.0,9,25
1,85,201.1,255572.0,38,21,26,35,79,56,85,5.0,9,39
1,94,,268290.0,46,9,48,39,92,77,77,,10,72
1,9,761.9,116919.0,44,12,11,5,9,77,7,,11,26
1,18,785.6,,40,18,20,8,24,77,15,,10,81
1,60,152.8,247117.0,59,19,10,28,52,37,63,4.0,9,52
1,0,1220.5,108279.0,81,0,51,0,0,77,1,,10,27
1,19,,,90,25,51,10,15,7,24,3.0,9,10
0,21,3.9,163694.0,45,24,2,11,16,9,99,0.0,9,37
1,106,149.2,181012.0,80,22,24,20,102,23,104,4.0,16,74
1,77,4.05,255760.0,63,24,42,33,70,58,99,0.0,9,58
1,4,1174.0,116758.0,36,7,41,5,7,77,5,,10,14
1,70,36.2,247299.0,48,27,43,29,62,50,72,20.0,15,62
1,73,16.53,256065.0,28,20,4,32,63,63,74,4.0,9,68
1,84,166.5,255571.0,70,22,18,35,78,55,84,4.0,9,64
1,37,181.0,181538.0,24,23,15,19,32,29,42,8.0,15,1
1,7,176.0,,17,22,41,4,4,2,11,5.0,9,46
1,96,154.6,269896.0,41,22,26,38,90,71,95,3.0,9,55
1,102,151.5,170976.0,51,19,41,15,98,17,100,5.0,9,85
1,107,44.2,256841.0,31,2,39,41,103,66,105,,12,24
1,42,189.2,181398.0,32,21,12,21,36,26,44,4.0,17,31
1,95,154.1,269895.0,78,22,37,38,89,70,94,2.0,9,35
1,49,89.0,210021.0,74,22,17,23,42,35,55,19.0,9,16
1,83,203.1,255570.0,12,22,1,35,77,54,83,3.0,9,78
1,68,175.0,247297.0,54,22,40,29,60,48,70,18.0,15,34
1,34,213.5,171073.0,85,23,29,16,29,19,36,7.0,13,56
1,40,18.3,181395.0,29,26,0,21,34,24,99,1.0,17,22
1,69,166.5,247298.0,9,23,40,29,61,49,71,19.0,15,12
1,5,170.5,,18,19,5,4,2,0,9,3.0,9,9
1,71,122.0,247300.0,50,23,48,29,96,51,73,21.0,15,60
1,81,161.3,255764.0,80,22,33,33,74,62,81,4.0,9,76
1,62,3484.2,247301.0,56,11,27,31,69,77,52,,4,60
1,50,1253.0,209980.0,71,15,48,26,96,77,47,,10,61
1,29,146.5,163734.0,52,22,22,13,22,14,31,20.0,9,47
1,92,155.0,268287.0,79,22,52,37,86,68,92,5.0,9,20
1,41,155.0,181396.0,29,19,38,21,35,25,43,2.0,17,22
1,43,186.0,181400.0,27,22,47,21,37,27,45,6.0,17,28
1,79,165.7,255762.0,37,21,45,33,72,60,79,2.0,9,69
1,31,1219.6,163654.0,11,17,35,14,30,77,23,,10,4
1,27,184.5,163731.0,7,22,54,13,20,12,29,17.0,9,21
1,82,18.5,255569.0,5,20,42,35,76,53,82,2.0,9,3
1,87,172.0,268398.0,4,22,26,36,81,73,87,4.0,14,50
1,1,3485.3,,2,3,23,1,1,77,2,,10,79
1,32,1151.5,171056.0,76,1,24,17,31,77,25,,8,63
1,14,144.5,,33,23,46,7,13,4,20,4.0,9,49
1,8,3403.5,113678.0,68,11,11,5,8,77,6,,10,60
1,16,90.0,,0,23,53,7,96,6,22,6.0,9,0
1,54,173.0,247235.0,86,22,26,27,48,42,61,4.0,9,42
1,56,182.0,248177.0,88,6,3,30,67,39,49,,10,45
1,80,168.7,255763.0,26,19,28,33,73,61,80,3.0,9,19
1,66,164.0,247295.0,39,22,43,29,58,46,68,16.0,15,82
1,89,192.0,268400.0,64,23,7,36,83,75,89,6.0,14,73
1,45,857.8,209890.0,0,10,13,26,50,77,40,,10,85
1,65,174.5,247293.0,49,22,48,29,57,45,67,15.0,15,29
1,100,128.8,218464.0,13,21,36,40,95,31,98,4.0,9,2
1,75,171.53,256068.0,75,22,30,32,65,65,76,7.0,9,33
1,97,142.4,269897.0,57,22,34,38,91,72,96,4.0,9,32
1,13,143.2,,59,21,42,7,12,3,19,3.0,9,59
1,105,9.9,181011.0,61,27,17,20,101,22,103,3.0,16,83
1,76,684.04,255766.0,63,12,20,34,88,77,56,,10,23
1,17,1238.1,149876.0,11,17,41,9,23,77,14,,10,4
1,67,170.0,247296.0,34,22,43,29,59,47,69,17.0,15,17
1,53,175.5,247234.0,22,22,14,27,47,41,60,3.0,9,70
