StrandOrientation,GeneDescription,GenomicEndPosition,GeneDbId,GeneLabel,EncodedProtein,OrthologousGene,GenomicStartPosition
0,0,758419,45,45,2,21,756089
0,0,12594,150,150,2,46,9967
1,0,9089,217,217,2,23,6579
0,0,45075,124,124,1,25,42286
1,0,1611964,100,100,1,81,1609262
0,0,1828534,107,107,2,85,1825916
1,0,483376,96,96,2,108,480707
0,0,1865809,105,105,2,73,1862957
0,0,139709,253,253,2,90,138117
0,0,290907,117,117,1,17,288478
0,0,1731005,190,190,3,7,1728183
1,0,2060220,183,183,2,101,2057611
0,0,800723,164,164,2,3,798375
1,0,12158,11,11,2,54,9363
0,0,21771,83,83,2,46,19363
0,0,488327,203,203,3,22,485541
0,0,454333,157,157,2,107,451748
0,0,262330,243,243,2,83,259847
0,0,568854,259,259,2,106,566233
1,0,16377,144,144,2,46,13513
1,0,180486,35,35,2,42,177754
0,0,1633076,186,186,1,28,1630521
0,0,602587,42,42,2,85,600077
0,0,736453,78,78,3,71,733583
1,0,1129346,168,168,2,61,1126764
0,0,20976,57,57,2,8,18310
0,0,5331,149,149,2,98,2932
1,0,629809,112,112,3,5,627020
0,0,1825289,187,187,2,61,1822929
0,0,590672,258,258,1,61,588504
1,0,6553,120,120,2,62,4166
0,0,1169591,223,223,3,108,1166769
1,0,13678,155,155,2,15,10931
0,0,468388,67,67,3,79,465485
0,0,476059,148,148,1,104,473501
0,0,1251196,180,180,2,121,1248512
1,0,1007699,206,206,2,71,1005114
1,0,1147282,167,167,2,61,1144757
0,0,696919,72,72,2,22,694046
0,0,1582479,185,185,1,96,1579936
1,0,221070,140,140,2,85,218443
0,0,463778,79,79,2,35,460986
0,0,11062,5,5,2,36,8450
1,0,1570228,99,99,5,41,1568267
0,0,280853,63,63,2,129,278046
0,0,546370,46,46,2,95,543824
0,0,399549,238,238,2,53,396772
0,0,57145,56,56,3,91,54284
0,0,817323,77,77,2,71,814468
0,0,408107,17,17,1,23,405750
1,0,60414,227,227,2,12,57859
1,0,988200,207,207,2,34,985546
1,0,7898,10,10,2,63,5274
0,0,245264,48,48,2,2,242583
0,0,4732,123,123,2,98,2051
0,0,21506,58,58,2,98,18858
1,0,23129,126,126,3,98,20358
0,0,428401,68,68,2,75,425663
0,0,1014233,134,134,1,28,1011738
0,0,34218,59,59,2,98,31414
1,0,2102129,102,102,2,101,2099463
0,0,15093,156,156,3,130,12226
0,0,1317329,98,98,2,86,1314768
1,0,352788,249,249,2,111,350182
1,0,565683,139,139,2,117,563344
1,0,10603,7,7,3,1,7772
1,0,212927,0,0,5,24,211077
0,0,276688,210,210,1,96,274223
0,0,652210,95,95,2,11,649424
1,0,10893,90,90,2,59,8359
1,0,4709,31,31,2,50,2067
0,0,119436,255,255,2,13,116878
1,0,14331,230,230,2,24,11776
1,0,1650945,12,12,2,127,1648582
0,0,7054,122,122,2,50,4541
1,0,456596,16,16,2,37,453903
1,0,3590,211,211,2,29,942
0,0,1816759,189,189,2,112,1814429
1,0,2010450,109,109,2,113,2008033
1,0,529696,175,175,2,65,526820
0,0,272153,64,64,2,71,269451
1,0,423886,65,65,2,117,421607
1,0,408724,138,138,1,31,406415
0,0,1036042,116,116,2,124,1033382
0,0,25731,9,9,3,57,22858
0,0,35248,51,51,2,98,32438
1,0,2099,3,3,5,126,3
0,0,867065,114,114,2,71,864531
1,0,460231,147,147,2,24,457457
1,0,2171498,182,182,2,101,2169063
0,0,783613,76,76,2,34,780839
1,0,35322,191,191,2,62,32611
0,0,506933,19,19,3,71,504105
1,0,41459,219,219,3,108,38613
0,0,584285,174,174,0,21,581721
0,0,404953,160,160,2,87,402317
0,0,16042,111,111,3,50,13142
1,0,574686,146,146,1,92,571897
1,0,596823,94,94,2,119,594229
0,0,71558,153,153,1,76,69066
0,0,1115182,220,220,2,77,1112378
0,0,556640,252,252,2,97,553878
0,0,22835,145,145,2,98,20457
0,0,65602,25,25,2,46,62846
0,0,321121,170,170,2,96,318503
1,0,3099,84,84,2,50,313
1,0,2201057,54,54,2,112,2198634
0,0,1882048,104,104,1,118,1879670
0,0,2065088,101,101,1,28,2062416
1,0,8030,143,143,2,50,5538
1,0,54570,28,28,3,55,51787
1,0,12466,229,229,2,102,9926
0,0,1745786,13,13,2,73,1743231
0,0,1189938,225,225,2,109,1187140
1,0,580806,93,93,5,84,578836
1,0,565358,82,82,2,112,563163
1,0,935144,131,131,2,85,932427
1,0,7331,91,91,3,60,4482
1,0,156435,34,34,3,85,153649
1,0,249052,71,71,2,3,246272
1,0,344245,14,14,2,99,341906
1,0,194602,248,248,3,85,191840
0,0,536061,256,256,2,87,533287
0,0,1851640,106,106,2,80,1848668
1,0,450835,66,66,2,117,448496
0,0,14547,21,21,2,46,12235
0,0,417885,136,136,2,52,415123
1,0,237391,70,70,2,20,234584
0,0,7271,23,23,2,98,4884
0,0,3982,2,2,2,69,1541
1,0,21057,154,154,2,43,18763
0,0,388287,239,239,2,116,385492
0,0,11601,40,40,2,50,9187
1,0,175571,92,92,2,103,172800
0,0,110238,228,228,3,100,107374
0,0,768058,75,75,2,71,765323
1,0,8573,215,215,2,64,6039
1,0,7513,4,4,2,125,4757
1,0,191757,113,113,2,58,188965
1,0,205713,246,246,2,19,202903
1,0,1484951,181,181,3,45,1482129
1,0,880730,133,133,2,40,877992
1,0,12861,240,240,2,109,10087
0,0,763632,129,129,2,73,761305
1,0,1152001,179,179,1,110,1149578
0,0,171302,231,231,4,11,169443
1,0,187696,247,247,2,14,185057
1,0,2180588,53,53,2,56,2178147
1,0,17047,38,38,2,105,14579
0,0,222070,177,177,2,66,219359
0,0,1181628,224,224,2,77,1179322
1,0,2776,49,49,1,10,113
1,0,950785,132,132,2,40,948302
0,0,8596,125,125,2,50,5819
0,0,24923,61,61,2,18,22032
0,0,42017,199,199,1,49,39222
0,0,1200167,193,193,2,34,1197396
1,0,665447,73,73,3,22,662586
0,0,316755,119,119,1,94,314314
1,0,396615,250,250,1,9,394090
0,0,381075,237,237,2,16,378301
0,0,2113696,52,52,1,28,2111357
0,0,255561,18,18,1,39,253126
1,0,22052,241,241,2,7,19278
0,0,198843,127,127,2,78,196225
1,0,775880,130,130,2,80,773208
0,0,421319,159,159,2,128,418704
1,0,167573,37,37,3,27,164778
1,0,11536,33,33,2,50,9554
1,0,597333,1,1,1,9,595705
