StrandOrientation,GeneDescription,GenomicEndPosition,GeneDbId,GeneLabel,ChromosomeLocation,EncodedProtein,OrthologousGene,GenomicStartPosition,HostTaxon
0,0,45538,59,54,17,18,10,41732,5
1,0,62173,9,22,3,28,0,61124,2
0,0,3879497,89,82,30,6,55,3875733,6
0,0,3998549,219,212,43,8,22,3996303,9
0,0,47179,21,24,0,18,11,43448,5
1,0,651422,202,195,44,18,18,647718,9
1,0,970358,98,91,24,14,51,968556,6
1,0,15188591,188,181,13,7,24,15186471,7
0,0,95588,132,125,33,31,29,91746,8
0,0,933349,96,89,24,18,14,929525,6
0,0,329342,69,64,17,18,10,325611,5
1,0,333473,24,27,22,0,11,329763,5
1,0,2401,141,134,8,6,10,65,7
1,0,9582610,175,168,13,6,35,9579467,7
0,0,3501676,150,143,13,6,24,3498395,7
1,0,1021293,48,48,15,18,6,1017589,5
1,0,50499,8,13,3,31,19,46531,2
1,0,660379,139,132,36,31,28,656534,8
1,0,75831,60,55,17,18,10,72196,5
0,0,7124284,165,158,13,7,24,7121353,7
1,0,64291,12,14,4,31,21,60047,3
0,0,128558,117,110,26,21,23,125670,6
0,0,166154,65,60,17,18,10,162348,5
1,0,3620418,152,145,13,6,35,3616747,7
1,0,820521,146,139,13,6,24,819496,7
1,0,4935371,157,150,13,6,24,4931952,7
1,0,36414,5,10,2,27,7,33385,1
1,0,577054,90,83,30,18,36,573326,6
1,0,388457,25,28,22,18,11,386850,5
0,0,2071573,128,121,28,22,21,2069770,6
1,0,1705473,121,114,27,18,34,1701874,6
1,0,53020,4,22,1,28,27,48803,0
1,0,431084,201,194,44,24,1,427217,9
1,0,1849714,31,34,22,18,11,1845908,5
0,0,2296751,218,211,42,8,48,2295359,9
0,0,1309324,27,30,22,18,11,1307483,5
1,0,2151123,76,1,18,10,6,2147506,5
1,0,9578594,174,167,13,7,24,9577091,7
1,0,972317,197,190,9,6,45,970326,7
1,1,1637142,73,68,18,18,6,1633333,5
0,0,132277,118,111,26,18,52,129494,6
0,0,15710916,192,185,13,6,24,15707113,7
0,0,4312155,142,135,8,6,37,4308352,7
0,0,1402028,57,52,16,18,9,1398297,5
1,0,1049774,215,208,41,21,15,1047327,9
0,0,15790203,193,186,13,6,35,15786472,7
1,0,35572,45,46,23,18,12,31850,5
1,0,1630586,72,67,18,18,6,1626783,5
0,0,10008881,178,171,13,7,24,10006623,7
0,0,7732801,209,202,44,18,5,7728989,9
0,0,2191903,77,71,19,18,11,2188100,5
1,0,63847,16,15,6,31,6,59612,4
0,0,2186645,217,210,42,6,48,2182830,9
1,0,2804198,205,198,44,21,5,2802744,9
1,0,726058,145,138,13,6,24,722345,7
1,0,1657273,75,70,18,18,6,1653761,5
0,0,431513,93,86,31,14,38,427800,6
1,0,7801604,170,163,13,6,24,7797783,7
0,0,9357129,210,203,44,18,18,9353467,9
1,0,52090,13,20,4,26,6,47957,3
1,0,1124935,102,95,24,14,51,1121207,6
0,0,2332044,83,77,19,18,10,2328241,5
0,0,2065035,126,119,28,18,21,2061388,6
0,0,53721,22,25,0,18,11,49990,5
1,0,652903,133,126,35,31,29,648881,8
1,0,985033,100,93,24,23,51,981335,6
0,0,2307206,79,73,19,18,9,2303436,5
0,0,2385281,147,140,13,7,24,2382667,7
1,0,28839,43,44,23,13,12,25132,5
0,0,11959711,183,176,13,7,35,11956169,7
0,0,319829,67,62,17,18,10,316098,5
0,0,4004773,206,199,44,19,5,4003152,9
1,0,91293,15,23,4,28,31,86278,3
1,0,4000548,153,146,13,6,24,3997084,7
0,0,10005750,177,170,13,6,35,10002838,7
1,0,9382536,211,204,44,9,5,9381414,9
1,0,1145528,107,100,24,25,14,1144470,6
0,0,5331246,38,41,22,16,50,5328981,5
0,0,447807,44,45,23,19,12,446937,5
1,0,2191719,122,115,27,14,39,2188102,6
0,0,2327068,82,76,19,18,11,2323274,5
0,0,159443,64,59,17,17,44,155850,5
0,0,977090,47,47,15,10,6,973266,5
1,0,1181603,51,5,15,1,8,1177872,5
0,0,3942314,40,42,21,18,9,3938604,5
1,0,1176752,50,49,15,2,26,1173039,5
0,0,1957169,124,117,28,18,54,1953366,6
1,0,1200116,54,5,15,1,8,1196301,5
0,0,2572317,149,142,13,6,24,2568583,7
1,0,1966167,33,36,22,18,11,1963411,5
1,0,62145,7,12,2,28,46,61864,1
0,0,2069666,127,120,28,21,54,2066351,6
0,0,2308247,204,197,44,7,18,2307577,9
0,0,765769,140,133,34,31,41,764270,8
1,0,37767,1,7,1,31,20,34525,0
1,0,603897,26,29,22,18,11,600274,5
0,0,2336954,84,78,19,18,12,2333202,5
1,0,1134638,104,97,24,20,47,1130899,6
0,0,2313444,80,74,19,18,10,2309641,5
1,0,5098514,207,200,44,21,18,5096660,9
1,0,4285337,156,149,13,6,24,4284348,7
0,0,7542966,208,201,44,23,18,7539256,9
0,0,7783560,169,162,13,7,24,7780308,7
1,0,1186466,52,5,15,1,8,1182723,5
1,0,12019079,185,178,13,6,35,12015300,7
0,0,7772134,167,160,13,6,24,7771136,7
0,0,15685855,191,184,13,7,24,15683891,7
1,0,3579565,151,144,13,7,24,3578197,7
0,0,3175883,39,2,21,10,11,3172254,5
1,0,15650717,190,183,13,6,35,15648225,7
0,0,2302259,78,72,19,18,11,2298363,5
0,0,4041319,220,213,43,30,22,4037516,9
1,0,10051797,212,205,44,23,5,10048057,9
0,0,284585,58,53,16,18,9,280740,5
0,0,2364879,200,193,12,6,25,2363188,7
0,0,8313586,171,164,13,6,24,8309909,7
0,0,576555,134,127,40,31,37,575134,8
1,0,629638,196,189,7,6,42,626021,7
0,0,2224448,123,116,27,22,34,2222719,6
1,0,3332,144,137,8,6,10,2571,7
1,0,967249,97,90,24,15,33,963552,6
1,0,72858,11,21,4,28,28,68880,3
0,0,14275183,187,180,13,6,24,14273723,7
0,0,123502,115,108,26,18,52,119669,6
1,0,65003,10,21,3,29,28,62277,2
1,0,145983,56,51,16,3,9,142360,5
0,0,7777943,168,161,13,6,24,7774500,7
1,0,1910918,32,35,22,18,11,1908330,5
1,0,1129781,103,96,24,18,51,1126050,6
1,0,59232,6,11,2,29,7,57178,1
1,0,979875,99,92,24,18,51,976177,6
