StrandOrientation,GeneDescription,GenomicEndPosition,GeneDbId,GeneLabel,ChromosomeLocation,EncodedProtein,OrthologousGene,GenomicStartPosition,HostTaxon
1,0,1966167,33,36,22,19,11,1963411,5
1,0,62145,7,12,2,29,47,61864,1
0,0,2069666,127,120,28,22,55,2066351,6
0,0,2308247,204,197,43,7,18,2307577,9
0,0,765769,139,132,33,32,41,764270,8
1,0,37767,1,7,1,32,20,34525,0
1,0,603897,26,29,22,19,11,600274,5
0,0,2336954,84,78,19,19,12,2333202,5
1,0,1134638,104,97,24,21,48,1130899,6
0,0,2313444,80,74,19,19,10,2309641,5
1,0,5098514,207,200,43,22,18,5096660,9
1,0,4283484,155,148,13,6,24,4279741,7
0,0,7542966,208,201,43,24,18,7539256,9
0,0,7777943,168,161,13,6,24,7774500,7
1,0,1186466,52,5,15,1,8,1182723,5
1,0,12013049,184,177,13,6,35,12009273,7
0,0,7376461,166,159,13,7,35,7374150,7
0,0,15685855,191,184,13,7,24,15683891,7
0,0,3501676,150,143,13,6,24,3498395,7
0,0,3175883,39,2,21,11,11,3172254,5
0,0,15575977,190,183,13,6,24,15572300,7
0,0,2302259,78,72,19,19,11,2298363,5
0,0,4041319,220,213,42,31,22,4037516,9
1,0,10051797,212,205,43,24,5,10048057,9
0,0,284585,58,53,16,19,9,280740,5
0,0,2364879,200,193,12,6,25,2363188,7
1,0,7801604,170,163,13,6,24,7797783,7
0,0,576555,133,126,39,32,37,575134,8
1,0,629638,196,189,7,6,42,626021,7
0,0,2224448,123,116,27,23,34,2222719,6
1,0,3332,143,136,8,6,10,2571,7
1,0,967249,97,90,24,16,33,963552,6
1,0,72858,11,21,4,29,28,68880,3
0,0,14058896,187,180,13,6,24,14056908,7
0,0,123502,115,108,26,19,53,119669,6
1,0,65003,10,21,3,30,28,62277,2
1,0,145983,56,51,16,3,9,142360,5
0,0,7772134,167,160,13,6,24,7771136,7
1,0,1910918,32,35,22,19,11,1908330,5
1,0,1129781,103,96,24,19,52,1126050,6
1,0,59232,6,11,2,30,7,57178,1
1,0,979875,99,92,24,19,52,976177,6
