Gene_Classification,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,450835,71,71,2,0,116,448496,1
0,14547,24,24,2,0,45,12235,0
0,417885,138,138,2,0,52,415123,0
0,237391,75,75,2,0,21,234584,1
0,7271,26,26,2,0,98,4884,0
0,1983,1,1,5,0,4,1,1
0,21057,155,155,2,0,42,18763,1
0,388287,239,239,2,0,115,385492,0
0,11601,44,44,2,0,50,9187,0
0,185153,27,27,2,0,127,182502,0
0,110238,228,228,3,0,100,107374,0
0,768058,80,80,2,0,71,765323,0
0,8573,215,215,2,0,64,6039,1
0,2099,5,5,5,0,123,3,1
0,191757,116,116,2,0,58,188965,1
0,205713,246,246,2,0,20,202903,1
0,1409461,102,102,3,0,34,1406588,1
0,775880,132,132,2,0,80,773208,1
0,12861,240,240,2,0,108,10087,1
0,735391,130,130,2,0,73,733043,0
0,1731005,190,190,3,0,8,1728183,0
0,171302,231,231,4,0,12,169443,0
0,187696,247,247,2,0,15,185057,1
0,2050620,20,20,2,0,111,2048281,1
0,17047,41,41,2,0,104,14579,1
0,222070,177,177,2,0,66,219359,0
0,1169591,223,223,3,0,107,1166769,0
1,2776,53,53,1,1,11,113,1
0,935144,133,133,2,0,85,932427,1
0,8596,127,127,2,0,50,5819,0
0,24923,66,66,2,0,19,22032,0
1,42017,199,199,1,1,48,39222,0
1,1150558,192,192,1,1,88,1147775,1
0,665447,78,78,3,0,23,662586,1
1,276688,210,210,1,1,96,274223,0
1,396615,250,250,1,1,10,394090,1
0,381075,237,237,2,0,17,378301,0
0,2102129,105,105,2,0,101,2099463,1
1,255561,21,21,1,1,38,253126,0
0,22052,241,241,2,0,8,19278,1
0,198843,129,129,2,0,78,196225,0
0,763632,131,131,2,0,73,761305,0
0,421319,160,160,2,0,125,418704,0
0,167573,40,40,3,0,28,164778,1
0,11536,36,36,2,0,50,9554,1
1,597333,3,3,1,1,10,595705,1
