GeneClassification,GenomicEndPosition,GeneDbId,EncodedProtein,GeneType,GenomicStartPosition,StrandOrientation
1,35179,44,2,1,34406,1
0,614,51,0,0,222,1
1,1921338,128,2,1,1920505,1
1,287088,101,2,1,285889,1
0,1173402,231,18,0,1172566,0
0,37248,168,23,0,35989,1
1,55904,32,2,1,55386,1
1,1887968,130,2,1,1886823,0
0,432927,247,14,0,431740,0
0,13082,114,0,0,12327,1
0,386514,176,22,0,385279,0
1,827468,210,2,1,826311,1
0,28969,25,1,0,28568,0
0,738,2,0,0,1,0
0,5008,9,11,0,4142,0
0,227094,19,1,0,226831,1
0,14090,64,22,0,12945,0
0,1026,225,0,0,841,1
0,1863,105,18,0,1015,0
0,2029082,20,22,0,2027874,1
1,445921,18,2,1,445157,0
0,247162,12,11,0,246347,0
0,1018268,213,7,0,1017216,1
0,23025,137,0,0,22318,0
0,1675,215,11,0,854,1
1,26635,166,34,1,25832,0
0,2151652,67,9,0,2150759,1
0,2155792,188,24,0,2155145,0
0,392050,88,0,0,391007,0
0,19523,47,23,0,18321,1
0,1687805,71,4,0,1687044,0
0,10624,97,32,0,9845,0
0,266241,145,11,0,265438,0
0,305564,86,8,0,304740,0
0,486743,59,14,0,485586,0
0,277578,84,11,0,276769,0
0,822069,209,18,0,821287,0
0,1047,1,25,0,259,0
0,265814,201,25,0,265029,1
0,18784,100,18,0,18002,0
0,992655,212,11,0,991897,1
0,297062,81,22,0,295851,0
1,13592,103,2,1,12324,1
0,30765,28,11,0,29968,1
0,422034,17,14,0,420934,0
0,907521,142,22,0,906301,0
0,12388,139,0,0,11468,0
1,269718,150,2,1,269074,1
0,65754,234,28,0,64810,1
0,1522877,183,25,0,1521903,1
0,17173,217,23,0,16040,1
0,13948,30,10,0,13148,0
0,313431,85,11,0,312547,0
0,285745,83,11,0,284939,0
0,975187,118,30,0,974237,1
0,1679298,73,25,0,1678525,0
1,6002,241,2,1,5043,0
1,1592913,75,34,1,1591840,1
1,663114,16,2,1,662260,0
0,407549,140,11,0,406749,1
0,251858,21,0,0,251211,0
1,4723,24,2,1,4340,1
0,23810,60,22,0,22572,1
0,231201,246,27,0,230431,0
0,2142542,189,25,0,2141583,0
0,13418,153,16,0,12669,0
0,1694274,70,24,0,1693627,0
1,25842,200,2,1,24370,0
1,9998,78,2,1,9753,0
0,1577124,191,12,0,1576114,0
0,1229889,180,20,0,1228786,0
0,1778534,132,13,0,1777443,0
1,1152958,196,2,1,1151783,1
1,884301,141,2,1,883339,1
1,23852,33,34,1,23046,0
0,1148502,229,11,0,1147669,0
1,655,0,2,1,2,1
1,223492,245,34,1,222386,0
0,1631767,72,24,0,1631120,0
0,658646,92,11,0,657867,0
0,272963,214,16,0,272211,0
1,11872,133,2,1,11348,0
0,247509,146,11,0,246700,0
