GeneSubclass,OrthologId,GenomicEndPosition,GeneId,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition,StrandOrientation
1,14,2735,215,215,1,136,1362,1
1,32,4117,224,224,1,47,1346,1
1,36,6226,11,11,1,68,4295,0
1,81,481120,107,107,1,0,478592,0
1,39,215,5,5,1,117,3,0
1,68,2208,143,143,1,121,1,1
1,93,15743,205,205,1,31,15195,1
1,2,4959,99,99,1,109,2632,0
1,38,38673,89,89,1,105,38134,1
1,1,2184398,85,85,1,54,2181870,1
1,6,781276,167,167,1,30,779186,0
1,53,46181,183,183,1,14,45609,1
1,18,703894,113,113,1,22,701207,0
0,82,2029693,139,139,0,51,2028950,0
1,0,4564,43,43,1,92,2810,1
1,13,1582,12,12,1,70,692,1
1,65,3052,54,54,1,95,605,0
1,3,498493,235,235,1,5,497942,0
1,75,6017,220,220,1,138,3066,0
1,131,4965,124,124,1,116,2173,1
1,91,585603,189,189,1,12,583600,0
1,83,2706,87,87,1,82,1,1
1,15,89160,182,182,1,3,86623,1
1,8,88412,94,94,1,42,86619,1
1,84,101201,24,24,1,13,100433,1
1,119,6087,15,15,1,71,4936,1
1,76,1639600,197,197,1,53,1637255,0
1,130,1686,2,2,1,75,1,1
1,22,10351,177,177,1,131,7736,1
1,109,1338938,193,193,1,46,1337487,0
1,139,699100,70,70,1,23,696140,0
1,21,16367,30,30,1,46,13620,1
1,122,1153652,147,147,1,42,1152030,0
1,43,32383,201,201,1,133,29822,0
1,85,69602,82,82,1,4,68706,1
1,7,71222,126,126,1,25,69540,1
1,12,18217,117,117,1,114,15659,0
1,64,57820,32,32,1,24,56951,0
1,77,73875,210,210,1,17,71692,1
1,127,5666,169,169,1,127,3972,0
1,4,267665,225,225,1,53,267153,0
1,29,578251,163,163,1,16,576644,0
1,122,475584,95,95,1,42,473026,0
1,107,583,159,159,1,124,2,0
1,98,2783,37,37,1,80,909,1
1,6,67398,221,221,1,52,66466,1
1,16,453362,130,130,1,11,452610,0
1,28,11981,103,103,1,111,9216,0
1,100,915785,191,191,1,36,913926,0
1,132,772241,46,46,1,26,769332,0
1,49,228,18,18,1,74,1,0
0,34,2248,20,20,0,77,1520,1
1,30,74451,228,228,1,15,72187,1
1,128,3080,52,52,1,93,735,1
1,97,45115,202,202,1,134,42281,0
1,57,2190,97,97,1,108,1,1
1,19,922,9,9,1,67,412,0
1,127,521339,133,133,1,6,518895,0
1,135,612431,131,131,1,17,611934,0
1,1,750468,65,65,1,29,747616,0
1,80,24991,114,114,1,113,22313,0
0,75,1238,212,212,0,87,288,1
1,13,4197,148,148,1,122,3526,1
0,102,1066,0,0,0,69,947,1
1,76,1161359,92,92,1,53,1159086,0
1,135,63967,209,209,1,17,63425,1
1,15,8168,47,47,1,81,5343,0
1,70,1842055,208,208,1,49,1840004,0
1,108,40883,49,49,1,63,38052,1
1,25,9729,88,88,1,82,7402,1
1,2,17064,76,76,1,101,15238,0
1,59,521580,38,38,1,2,519241,0
1,105,814312,219,219,1,34,811961,0
1,67,34273,7,7,1,20,33176,1
1,107,58454,112,112,1,45,55821,1
1,29,504842,71,71,1,1,502038,0
1,107,26773,110,110,1,45,26201,1
1,17,856711,128,128,1,33,855554,0
1,143,112160,84,84,1,18,109194,0
1,132,752571,45,45,1,26,750136,0
0,118,1411,1,1,0,72,1097,0
1,84,630925,171,171,1,13,630173,0
0,121,795045,190,190,0,28,794215,0
0,72,587282,67,67,0,19,586959,0
1,5,617,53,53,1,94,1,0
1,127,478396,134,134,1,6,477242,0
1,121,822273,211,211,1,27,821002,0
1,114,28437,217,217,1,54,25624,1
1,123,4194,216,216,1,137,3232,0
1,21,957,168,168,1,46,103,1
1,88,13228,194,194,1,132,10472,1
1,48,1874,55,55,1,96,3,1
1,95,640440,115,115,1,20,637990,0
1,113,963,74,74,1,19,103,1
1,48,184333,73,73,1,56,183608,0
1,51,382722,100,100,1,62,380155,0
1,31,9773,226,226,1,139,7086,0
1,51,10829,79,79,1,62,8487,1
1,1,281858,153,153,1,54,279111,0
1,18,23155,185,185,1,22,22973,1
1,135,663276,132,132,1,17,662509,0
1,142,563,42,42,1,91,3,1
1,135,8610,77,77,1,102,7165,0
1,78,250640,173,173,1,9,247890,0
1,4,1020701,162,162,1,53,1018377,0
1,112,23344,165,165,1,125,21104,0
1,44,57748,50,50,1,63,55331,1
1,125,7904,96,96,1,107,5580,1
0,94,2011553,3,3,0,51,2010699,0
0,57,45867,21,21,0,44,45670,1
1,54,2033316,140,140,1,51,2030554,0
1,6,821170,98,98,1,30,818471,0
1,120,805101,142,142,1,27,802591,0
1,71,16756,27,27,1,79,15296,0
1,122,66037,93,93,1,42,63011,1
1,75,7310,233,233,1,140,4494,0
0,69,586872,179,179,0,8,586129,0
1,51,360854,44,44,1,62,358083,1
1,7,182518,41,41,1,25,180932,1
1,79,207218,119,119,1,35,204852,1
1,76,26957,136,136,1,119,26184,0
0,30,870832,51,51,0,32,869711,0
