GeneSubclass,OrthologId,GenomicEndPosition,GeneId,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition,StrandOrientation
0,0,26139,30,30,0,46,25351,1
0,15,1604402,198,198,0,19,1603254,0
0,99,750678,159,159,0,19,750031,1
0,7,277578,84,84,0,15,276769,0
0,34,1564778,75,75,0,20,1564014,1
0,37,365512,38,38,0,4,364310,1
1,16,25842,212,212,1,75,24370,0
0,87,1675,227,227,0,39,854,1
0,7,375903,37,37,0,4,374896,1
0,53,1153229,252,252,0,19,1151997,0
0,7,712890,94,94,0,15,712129,1
0,65,492438,215,215,0,15,491209,0
0,10,297062,81,81,0,15,295851,0
0,21,826530,16,16,0,19,825718,1
0,76,1447013,54,54,0,20,1446237,1
0,65,387281,14,14,0,15,386064,0
1,86,779639,98,98,1,15,778437,0
0,65,822069,220,220,0,15,821287,0
0,97,38006,211,211,0,75,37197,0
1,5,290434,82,82,1,15,289571,0
1,8,497406,36,36,1,4,496306,0
0,48,499594,262,262,0,5,498617,1
1,47,41345,80,80,1,32,40839,0
0,10,285745,83,83,0,15,284939,0
1,33,2521,116,116,1,62,1283,1
0,100,987733,120,120,0,20,987176,1
0,96,301271,153,153,0,16,300510,0
0,55,983808,121,121,0,20,982858,1
0,57,599280,217,217,0,15,598465,1
0,25,8024,102,102,0,56,6789,1
1,13,1131697,178,178,1,20,1130438,1
0,25,18090,103,103,0,57,17131,0
0,103,1221966,188,188,0,18,1220947,0
1,6,2640,180,180,1,37,1327,0
1,82,1247221,189,189,1,18,1246121,0
0,80,3769,3,3,0,22,3023,1
0,26,358168,108,108,0,19,357524,0
0,25,614,51,51,0,50,222,1
0,75,400728,186,186,0,16,399566,0
0,79,510558,263,263,0,5,509581,0
0,25,13082,119,119,0,64,12327,1
0,76,1227756,112,112,0,20,1227118,1
0,53,335,13,13,0,27,3,0
0,7,1022329,226,226,0,15,1021526,1
0,82,1222996,113,113,0,20,1222181,1
1,5,1152958,207,207,1,15,1151783,1
1,77,41773,173,173,1,72,40529,1
0,86,5309,231,231,0,79,4047,1
0,25,1860,168,168,0,70,1114,1
0,26,2187940,194,194,0,19,2187290,1
0,76,1631767,74,74,0,20,1631120,0
0,103,1648331,130,130,0,18,1647294,0
0,76,1694274,72,72,0,20,1693627,0
0,92,531335,182,182,0,1,530982,1
0,10,1070767,208,208,0,15,1069991,0
1,13,269718,154,154,1,20,269074,1
0,25,81801,42,42,0,49,80905,1
0,75,247509,149,149,0,16,246700,0
0,25,13948,33,33,0,47,13148,0
0,25,18040,115,115,0,62,16886,0
0,96,320234,152,152,0,16,319014,0
0,10,402910,141,141,0,15,402068,1
1,31,223492,258,258,1,5,222386,0
1,86,563168,91,91,1,15,561921,1
0,44,1677,78,78,0,53,712,1
0,10,946792,9,9,0,15,945539,1
0,56,2165485,196,196,0,19,2164835,1
0,82,643595,19,19,0,20,642765,1
1,43,477748,125,125,1,16,476525,1
0,78,738,4,4,0,23,1,0
0,93,571633,48,48,0,7,570836,0
0,25,37248,172,172,0,72,35989,1
0,7,251858,25,25,0,15,251211,0
1,54,55904,35,35,1,29,55386,1
0,57,589228,218,218,0,15,588062,0
1,13,663114,20,20,1,20,662260,0
0,25,28969,28,28,0,44,28568,0
0,99,914563,160,160,0,19,913814,0
0,51,195113,158,158,0,4,194031,0
0,22,432927,261,261,0,5,431740,0
0,22,217780,257,257,0,5,216641,0
1,4,1887968,133,133,1,19,1886823,0
0,75,1194158,245,245,0,16,1193721,0
0,20,9906,7,7,0,24,8728,1
0,96,457778,184,184,0,16,456996,0
0,100,1241990,111,111,0,20,1241022,1
0,52,265814,213,213,0,12,265029,1
0,14,749937,96,96,0,15,749176,1
0,59,12102,233,233,0,40,11231,0
0,49,2155792,197,197,0,19,2155145,0
0,75,266241,148,148,0,16,265438,0
0,61,526428,62,62,0,6,525421,0
1,5,667923,95,95,1,15,666610,1
1,41,29439,228,228,1,76,28678,0
0,58,1098330,244,244,0,16,1097515,0
0,51,204825,255,255,0,5,203728,0
0,94,17814,248,248,0,82,16873,1
0,75,1193619,243,243,0,16,1192936,0
0,17,9178,77,77,0,31,8375,1
1,66,7239,193,193,1,0,5971,1
0,25,13009,157,157,0,69,11804,0
1,35,13592,107,107,1,60,12324,1
1,70,3587,169,169,1,71,2544,0
0,10,837722,223,223,0,15,837087,0
0,76,979496,122,122,0,20,978543,1
0,0,1863,109,109,0,61,1015,0
0,62,2097143,200,200,0,20,2096334,1
0,40,1932905,69,69,0,20,1932552,0
0,10,878597,146,146,0,15,877761,0
0,69,1897997,132,132,0,19,1897239,0
1,5,827468,221,221,1,15,826311,1
1,36,489292,89,89,1,5,488510,1
1,64,2901,234,234,1,41,1762,0
1,62,35179,45,45,1,14,34406,1
0,103,1487286,190,190,0,18,1486264,1
1,90,652441,52,52,1,8,651695,1
0,2,15525,117,117,0,33,14710,1
0,44,12388,140,140,0,66,11468,0
0,51,184240,250,250,0,4,182630,0
0,95,12268,249,249,0,83,10958,0
0,62,1422032,56,56,0,20,1421220,0
0,25,13418,156,156,0,68,12669,0
0,83,210588,256,256,0,5,209491,0
0,0,10624,99,99,0,55,9845,0
0,106,5008,12,12,0,27,4142,0
0,102,37518,34,34,0,29,36670,0
1,33,556235,181,181,1,1,555144,0
0,45,255296,147,147,0,16,254511,0
0,39,395123,88,88,0,5,394149,0
0,72,1338,209,209,0,38,835,1
0,18,1034038,251,251,0,19,1032938,1
0,68,7162,237,237,0,42,6368,1
0,25,18784,105,105,0,59,18002,0
0,61,1805,167,167,0,35,1182,0
0,75,1148502,242,242,0,16,1147669,0
0,27,79682,175,175,0,14,78918,0
0,82,1974665,201,201,0,20,1973874,0
0,58,1077230,241,241,0,16,1076451,0
0,59,41608,204,204,0,73,40412,1
0,75,386514,185,185,0,16,385279,0
0,86,15379,232,232,0,79,14528,0
0,49,74539,177,177,0,2,73328,0
0,10,305564,86,86,0,15,304740,0
0,25,23025,138,138,0,65,22318,0
0,7,247162,15,15,0,15,246347,0
0,51,260482,0,0,0,4,260114,0
0,56,663709,110,110,0,19,662936,1
0,79,612409,101,101,0,5,611441,0
1,77,29968,171,171,1,72,28721,0
0,25,1832,65,65,0,51,591,0
0,62,1989097,202,202,0,20,1988282,1
1,12,2102,118,118,1,63,1101,1
1,1,27009,46,46,1,30,25858,1
0,55,1687805,73,73,0,20,1687044,0
1,13,1925877,70,70,1,20,1925107,1
0,0,19059,174,174,0,72,18244,0
0,85,31870,235,235,0,42,31118,0
0,13,1026,238,238,0,80,841,1
1,105,26635,170,170,1,72,25832,0
0,0,18582,63,63,0,51,17713,0
0,100,1428734,55,55,0,20,1428093,0
0,46,1011398,162,162,0,19,1010715,0
0,93,550504,49,49,0,7,549704,0
0,82,2029082,24,24,0,20,2027874,1
0,76,970864,124,124,0,20,969914,1
0,0,30765,31,31,0,46,29968,1
0,65,907521,144,144,0,15,906301,0
1,23,137805,164,164,1,13,136807,0
0,24,486743,60,60,0,1,485586,0
1,79,381597,18,18,1,10,380962,0
1,5,517373,26,26,1,15,516597,1
1,13,1592913,76,76,1,20,1591840,1
0,48,408192,87,87,0,5,407215,0
0,25,10011,40,40,0,48,9199,1
0,10,705599,93,93,0,15,704769,0
0,54,323886,165,165,0,12,323095,1
1,71,76658,41,41,1,49,76494,0
0,89,4632,139,139,0,34,3406,1
0,37,252454,187,187,0,4,251303,0
0,10,658646,92,92,0,15,657867,0
0,0,39296,66,66,0,52,38151,0
0,46,1577124,199,199,0,19,1576114,0
0,28,65754,246,246,0,82,64810,1
1,43,493669,126,126,1,16,492404,1
0,11,17173,230,230,0,78,16040,1
1,2,2556,179,179,1,36,1318,0
1,23,182780,44,44,1,13,181743,1
1,30,613080,214,214,1,11,611866,1
0,46,1968229,131,131,0,19,1967444,1
0,55,749602,57,57,0,20,748862,1
1,42,6002,253,253,1,84,5043,0
0,100,684782,59,59,0,20,683826,0
0,56,1783506,134,134,0,19,1782673,1
1,23,295086,106,106,1,13,293887,1
1,56,745129,166,166,1,9,744176,0
0,63,19523,47,47,0,30,18321,1
0,85,36547,236,236,0,42,35690,0
0,7,422034,21,21,0,4,420934,0
1,4,937169,161,161,1,19,936387,1
1,81,17599,79,79,1,54,16553,0
0,55,975187,123,123,0,20,974237,1
0,25,3650,155,155,0,67,2478,1
0,0,10217,32,32,0,46,9084,1
0,38,23056,205,205,0,74,22262,0
0,103,1471918,192,192,0,18,1470884,0
0,96,416187,127,127,0,16,415021,1
0,103,1522877,191,191,0,18,1521903,1
0,65,832741,222,222,0,15,831566,0
0,7,617253,219,219,0,15,616495,0
0,32,1944141,6,6,0,20,1943758,0
0,96,250812,150,150,0,16,249592,0
1,19,655,1,1,1,85,2,1
0,37,384191,39,39,0,4,383100,0
0,62,731234,58,58,0,20,730422,0
0,10,313431,85,85,0,15,312547,0
0,65,941707,10,10,0,15,940901,1
0,25,23810,64,64,0,51,22572,1
0,10,863354,145,145,0,15,862533,0
