GeneSubclass,GenomicEndPosition,GeneDbId,EncodedProtein,GeneType,ChromosomeId,GenomicStartPosition,StrandOrientation
0,19933346,159,39,0,13,19929547,0
0,578294,57,38,0,13,576495,0
0,21500635,169,38,0,13,21499448,1
0,21207146,166,19,0,13,21206232,0
0,7308392,96,23,0,13,7307190,1
0,24417944,184,38,0,13,24416316,1
0,990467,14,13,0,1,986793,1
0,17430624,148,36,0,13,17429500,1
0,39504,54,20,0,13,38457,0
0,5631591,84,23,0,13,5630353,0
0,1988897,13,20,0,8,1987326,0
1,3668916,72,45,1,13,3665455,0
0,16629275,141,19,0,13,16628019,1
0,5310760,80,19,0,13,5309435,1
