Gene_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Genomic_Start_Position,Strand_Orientation
0,0,763294,177,761027,0
1,0,411395,38,410220,0
1,0,51771,234,49540,1
1,0,469090,35,466913,0
0,0,909502,76,907241,0
0,0,68193,149,66007,1
0,0,315631,215,313523,1
1,0,480279,206,478171,0
1,0,609383,80,607077,0
0,0,377705,99,375522,0
0,0,400277,27,398004,0
0,0,702444,213,701878,0
1,0,369509,62,367296,1
0,0,5540,45,3963,1
0,0,526037,40,525222,0
0,0,57522,127,55348,1
1,0,28472,221,26358,1
1,0,3258,210,754,1
0,0,66424,233,64094,1
1,0,16197,179,13717,1
0,0,1669,48,2,1
1,0,399311,93,397290,0
0,0,646569,184,644707,0
1,0,27218,69,24993,1
0,0,2152465,192,2150273,0
1,0,5726,0,3723,0
1,0,1909430,131,1907460,1
0,0,1835184,68,1832923,0
0,0,27070,142,24536,1
0,0,311650,214,309482,1
0,0,6765,194,4204,1
0,2,1518,59,1,1
1,0,477984,152,475453,0
1,0,19107,106,16912,1
1,0,2336,150,3,1
1,0,468765,85,466540,0
0,0,4334,97,1968,1
0,0,71096,140,68619,1
1,0,224206,203,222371,1
1,0,1116077,154,1113876,0
1,0,731499,33,729406,0
0,0,7491,128,5182,1
0,0,1333,16,3,0
0,0,14203,58,11819,1
0,0,1475,2,3,0
0,0,471716,220,470270,0
0,0,2123600,88,2121408,0
1,0,669243,189,667156,0
0,0,18709,36,16532,1
0,0,6479,137,5838,1
0,0,668634,158,666520,0
