Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Type,Genomic_Start_Position,Strand_Orientation
1,0,690828,275,1,688522,0
1,0,3258,39,1,436,0
1,0,6116,58,1,4224,1
0,0,606712,238,0,603989,0
1,0,21218,242,1,18921,1
1,0,9121,288,1,6152,1
1,0,33240,55,1,30436,1
0,0,490870,46,0,489493,0
1,0,4777,19,1,2027,1
0,0,26225,206,0,24447,1
1,0,783456,82,1,780772,0
1,0,15107,263,1,12237,1
0,0,169188,307,0,166855,1
0,0,663320,259,0,660522,0
0,0,58458,116,0,55432,1
0,0,1185502,70,0,1183688,0
1,0,644271,100,1,641242,1
1,0,16574,222,1,14088,1
0,0,3713,284,0,2106,0
1,0,59561,141,1,57681,1
0,0,3597,235,0,1834,0
1,0,5794,137,1,3014,0
0,1,655728,168,0,653962,0
1,0,41742,308,1,39727,1
1,0,829858,121,1,827087,0
0,0,794113,243,0,793295,0
0,0,169312,67,0,166550,0
1,0,130785,106,1,128263,0
1,0,122539,191,1,120197,1
0,0,594892,227,0,591674,0
0,0,571445,199,0,567813,0
0,0,702008,180,0,700188,0
1,0,9553,115,1,7784,0
1,0,582823,22,1,581135,0
0,0,1917064,173,0,1914173,1
1,0,25743,231,1,24748,1
1,0,71114,196,1,69705,1
0,0,103187,322,0,101616,0
1,0,411506,59,1,408474,0
1,0,585311,228,1,582390,0
1,0,2350211,167,1,2347587,0
1,0,912033,74,1,909235,0
1,0,12191,232,1,9909,1
1,0,1182,94,1,1,1
0,0,4231,136,0,1391,1
0,0,14595,66,0,12280,1
1,0,9360,256,1,6577,0
1,0,14953,302,1,12005,1
1,0,29749,162,1,26915,1
1,0,760085,244,1,757590,0
1,0,14455,92,1,11690,0
0,0,30562,279,0,28739,1
0,0,4524,241,0,2574,0
1,0,486237,25,1,483109,0
0,0,19758,185,0,17038,0
0,0,47207,83,0,45534,1
0,0,36437,104,0,35517,1
1,0,5595,69,1,2761,1
1,0,931453,225,1,928565,0
1,0,2693,281,1,396,0
0,0,4036,64,0,1289,1
1,0,93761,73,1,90201,1
1,0,11733,75,1,9154,0
1,0,706189,15,1,704129,0
0,0,120500,321,0,118605,0
1,0,26060,260,1,23298,1
1,0,351197,217,1,348939,0
1,0,33122,282,1,30594,1
1,0,1425113,14,1,1422420,0
1,0,688837,90,1,685982,0
0,0,56433,249,0,54619,1
0,0,1739,12,0,3,1
0,0,201879,299,0,200095,0
1,0,1320804,152,1,1318300,0
1,0,628364,102,1,625434,0
0,0,3779,183,0,1517,0
0,0,64637,151,0,62859,1
1,0,4799,272,1,2103,0
1,0,7313,236,1,4734,0
0,0,19476,160,0,17815,1
1,0,7957,143,1,5381,0
0,0,840765,123,0,837994,0
1,0,2120212,107,1,2117660,0
0,0,739713,326,0,736933,0
0,0,2442,157,0,1297,1
1,0,29971,145,1,27197,1
1,0,1032018,50,1,1029001,0
1,0,16396,294,1,13598,0
1,0,492103,131,1,489575,0
0,0,3892,44,0,599,1
1,0,439193,287,1,435576,0
1,0,570499,252,1,567725,0
1,0,3857,105,1,1095,1
1,0,924785,237,1,922281,1
1,0,245943,62,1,244298,0
1,0,556405,240,1,554000,1
0,0,9141,220,0,8410,0
1,0,981807,278,1,979324,1
1,0,14712,221,1,11650,0
1,0,2360044,13,1,2358530,0
1,0,11256,254,1,8914,1
1,0,7825,93,1,5795,0
0,0,9869,54,0,8244,1
1,0,96498,208,1,94816,1
1,0,83774,188,1,82602,1
0,0,1981,297,0,2,0
1,0,483389,319,1,481422,0
0,0,85945,309,0,83153,1
0,0,21702,60,0,18811,0
0,0,22871,4,0,21810,1
1,0,5339,52,1,2904,1
0,0,748745,35,0,745776,0
1,0,3210,23,1,616,1
0,0,258722,218,0,256827,0
0,0,10587,182,0,8119,1
1,0,145152,314,1,142906,1
1,0,572075,300,1,569139,0
1,0,58311,298,1,56848,1
1,0,905988,99,1,903148,0
1,0,710712,200,1,708220,0
0,0,45706,261,0,43370,1
1,0,588116,3,1,586977,0
0,0,4613,119,0,1626,1
0,0,3158,6,0,342,1
1,0,690966,179,1,687994,0
1,0,15683,257,1,12888,0
1,0,378832,37,1,376718,0
1,0,39618,85,1,36688,1
0,0,563158,320,0,560651,0
0,0,467624,171,0,464685,0
1,0,2020967,177,1,2018517,0
0,0,4567,56,0,1604,0
1,0,24449,114,1,21516,0
0,0,54516,96,0,53479,1
1,0,197559,194,1,195199,1
0,0,955,156,0,2,1
1,0,1130391,198,1,1127446,0
0,0,61849,47,0,60071,1
1,0,1824669,165,1,1821786,0
1,0,21022,63,1,18272,1
1,0,517997,133,1,514713,0
1,0,2028531,267,1,2025571,0
1,0,4543,139,1,1706,1
1,0,16034,127,1,13233,0
0,0,1337382,270,0,1335682,0
0,0,1973,1,0,3,1
1,0,9934,89,1,6965,1
1,0,16389,181,1,14728,1
1,0,648458,161,1,645735,0
0,0,31215,301,0,30121,1
1,0,1175229,147,1,1172704,0
0,0,2772,317,0,301,1
1,0,265804,202,1,263906,0
0,0,496864,169,0,494066,0
1,0,1709527,109,1,1707056,1
1,0,905310,38,1,902803,0
1,0,5025,158,1,2677,1
1,0,474181,193,1,471830,0
0,0,20670,140,0,18052,1
0,0,1434052,155,0,1432280,0
1,0,2327020,264,1,2324351,0
1,0,30617,150,1,28410,1
0,0,791878,122,0,790079,0
1,0,10460,78,1,8049,1
0,0,764760,203,0,762982,0
1,0,6217,318,1,3602,1
1,0,411543,245,1,408877,0
1,0,128705,207,1,127131,1
1,0,496021,27,1,493463,0
1,0,56619,315,1,53854,1
0,0,4421,32,0,3684,1
0,0,117865,211,0,115973,1
1,0,19013,45,1,16263,1
1,0,174847,195,1,172793,1
1,0,8963,175,1,6399,1
0,0,6840,285,0,3826,0
0,0,34372,2,0,33320,1
1,0,110366,250,1,107442,1
1,0,7278,98,1,4399,0
0,0,67475,296,0,65139,1
0,0,1140600,197,0,1138639,0
1,0,1174681,77,1,1172813,0
1,0,1443,20,1,1,1
0,0,7112,283,0,4374,1
1,0,1113039,295,1,1110685,1
1,0,7245,290,1,4687,1
1,0,12451,174,1,9695,1
0,0,2274,51,0,1,0
1,0,2194888,108,1,2192474,1
1,0,16715,187,1,14439,1
0,0,750304,209,0,747923,0
1,0,214887,306,1,212992,0
1,0,44770,26,1,42977,1
1,0,56555,323,1,54387,1
1,0,18751,111,1,16475,1
1,0,2149200,266,1,2146741,0
1,0,3783,87,1,1453,1
1,0,596370,277,1,593812,0
1,0,19819,124,1,16985,1
0,0,392186,224,0,389424,0
0,0,36463,118,0,33455,1
0,0,447897,286,0,446350,0
0,0,598524,95,0,596251,0
1,0,342240,154,1,339421,1
1,0,107280,49,1,104554,0
1,0,2892,68,1,97,0
0,0,478312,10,0,477440,0
1,0,46833,76,1,44356,0
1,0,670094,36,1,667467,0
0,0,2028848,178,0,2027736,0
1,0,68416,262,1,66416,1
1,0,4460,129,1,2295,0
0,0,553364,251,0,550602,0
1,0,201254,159,1,198909,0
1,0,4289,170,1,3018,1
1,0,3538,292,1,857,1
1,0,12394,304,1,9605,0
1,0,396132,246,1,393928,0
1,0,14564,61,1,12819,1
0,0,39476,269,0,36720,1
1,0,13956,215,1,10954,0
1,0,68621,192,1,67503,1
0,0,645301,276,0,642806,0
1,0,5678,130,1,4257,1
1,0,458839,17,1,457553,0
1,0,825842,310,1,823350,0
0,0,38223,31,0,36197,1
0,0,968,8,0,3,0
1,2,11541,325,1,8509,1
0,0,12865,289,0,9965,1
1,0,582104,239,1,579438,0
1,0,79885,230,1,77750,1
1,0,2982,72,1,445,1
1,0,22938,88,1,21226,1
1,0,1573917,166,1,1571158,0
0,0,531490,33,0,528650,0
0,0,4734,125,0,2191,0
0,0,729858,201,0,727477,0
0,0,367390,216,0,364778,0
0,0,966472,30,0,963723,0
0,0,18183,234,0,15433,0
1,0,4073,5,1,1218,0
1,0,15577,71,1,12521,1
1,0,2071578,164,1,2068987,0
1,0,27589,110,1,25172,0
1,0,22430,43,1,19944,1
1,0,27235,149,1,24623,1
1,0,801320,81,1,798915,0
0,0,11142,113,0,8839,1
1,0,242630,120,1,239769,1
1,0,10610,172,1,8169,1
1,0,106204,280,1,104012,1
1,0,16963,48,1,14936,0
0,0,1171911,148,0,1168945,0
1,0,577397,7,1,576201,0
1,0,1820,9,1,189,0
1,0,485801,34,1,483723,0
1,0,26744,324,1,24147,1
1,0,619021,153,1,617285,0
0,0,13820,29,0,12766,1
1,0,2325261,41,1,2323705,0
1,0,10910,91,1,8910,0
1,0,639965,258,1,637563,0
