GeneType,OrthologId,GenomicEndPosition,GeneDbId,ChromosomeId,GenomicStartPosition,EncodedProteinDescription,StrandOrientation
0,98,76316,29,50,74154,1,1
1,124,496899,100,1,495853,0,0
0,60,15153,205,30,12949,1,1
0,96,1027491,76,37,1024990,1,0
1,90,170211,121,48,168412,0,1
1,65,799420,225,31,796943,0,0
0,117,377705,95,57,375522,1,0
0,78,3932,160,117,1401,1,0
0,13,914046,63,33,913312,3,0
0,123,244454,156,19,243822,2,0
0,131,394758,20,9,393970,2,0
0,35,574603,168,21,572120,1,0
1,99,5117,217,81,2943,0,0
1,119,252998,129,28,250869,0,0
1,101,1108,159,75,1,0,0
1,109,92964,91,41,90784,0,1
0,121,3133,51,89,824,1,1
1,68,470842,187,51,468923,0,0
1,4,4059,30,70,1852,0,0
0,45,4593,1,17,2230,1,1
1,10,689616,82,52,687517,0,0
1,9,598394,167,21,596190,0,0
1,84,185005,117,58,182789,0,0
0,31,507624,191,3,505363,1,0
1,69,459000,172,10,456733,0,0
1,57,123424,232,8,121439,0,0
0,118,53099,223,38,50910,1,1
1,11,4883,42,82,2628,0,1
0,121,4516,53,90,3179,3,1
0,121,11573,107,102,9210,1,0
0,59,81116,3,13,80040,2,1
0,21,703891,72,23,701787,2,0
0,86,79561,116,55,77369,1,1
0,134,3704,22,66,1446,1,1
1,79,299939,227,11,297915,0,1
0,113,115059,158,22,112891,1,1
0,114,827,13,61,3,2,0
0,131,28523,81,37,26538,1,1
1,20,547726,132,7,545198,0,0
0,114,19404,198,121,17227,1,0
0,131,1039862,77,37,1037046,1,0
1,19,1937904,25,52,1935421,0,0
1,27,52834,182,0,50840,0,0
1,7,13918,120,104,11750,0,1
1,33,18062,131,107,16122,0,1
1,102,62927,147,24,60651,0,1
1,132,16106,73,96,14127,0,0
0,121,7548,54,91,5362,1,0
0,52,828692,193,47,827244,1,1
0,21,711734,32,23,710958,2,0
0,30,482055,110,10,479794,1,0
1,92,89110,206,16,86993,0,1
0,45,71096,136,40,68619,1,1
0,91,798,164,77,1,3,1
0,109,2326647,17,52,2325364,3,0
0,122,9859,208,80,7598,1,1
0,80,120751,185,3,119534,3,1
0,17,9642,211,123,7252,1,0
0,121,28514,108,103,26043,1,0
0,58,1699,85,8,101,3,1
0,114,1333,16,63,3,2,0
1,131,468090,40,2,465892,0,0
1,76,811009,210,32,808763,0,0
1,41,619207,202,9,617003,0,0
0,40,194620,123,53,192110,1,0
0,36,52112,102,43,49749,1,1
0,61,14957,64,74,12933,1,0
1,85,1621,65,94,2,0,1
1,110,813661,180,37,811541,0,0
0,84,560608,179,16,558551,1,0
1,18,961848,151,36,959689,0,0
0,69,915393,62,33,914149,2,0
0,111,6868,183,119,4559,1,1
0,133,50074,189,3,47909,1,1
0,119,487691,31,18,485538,1,0
1,127,17178,105,101,14941,0,1
0,13,669010,130,16,666635,1,0
0,15,2335,169,12,101,3,1
0,75,2976,162,76,781,1,0
0,132,1159648,141,41,1157084,1,0
0,66,140815,228,11,140096,2,1
0,60,3637,161,33,1680,2,1
0,121,5471,135,110,3207,1,1
1,17,3774,18,64,1570,0,0
1,31,8253,101,41,6340,0,1
0,42,477141,197,7,476586,2,0
0,121,5583,96,98,3223,1,0
1,12,20192,201,29,18165,0,1
1,48,636865,79,20,634829,0,0
0,2,391932,8,57,389746,1,1
0,8,1152,14,60,1,3,0
1,92,122003,229,11,119982,0,1
0,108,6765,192,79,4204,1,1
1,24,35613,194,120,33460,0,1
0,121,3468,70,95,1171,1,0
0,27,2352753,128,52,2351474,2,0
0,43,85349,66,4,84366,2,1
0,137,303473,216,12,301437,3,1
0,14,49973,26,23,48072,2,1
0,121,7225,104,100,4853,1,0
1,43,9061,55,72,6806,0,1
0,121,17152,134,109,14774,1,1
0,34,369971,60,54,367785,1,0
1,72,19107,103,43,16912,0,1
0,62,316113,226,11,313945,1,1
0,49,5333,21,65,3093,1,1
0,129,4679,112,39,2307,1,1
0,16,2152465,190,51,2150273,1,0
0,32,1347,23,67,4,3,0
0,121,3770,50,88,732,2,1
0,82,23314,236,2,21104,1,0
0,6,763294,174,26,761027,1,0
1,81,411395,37,13,410220,0,0
1,130,51771,234,35,49540,0,1
1,124,469090,34,1,466913,0,0
0,126,909502,74,34,907241,1,0
0,83,68193,145,25,66007,1,1
0,103,315631,215,12,313523,1,1
1,64,10067,28,44,8418,0,1
1,42,609383,78,20,607077,0,0
0,3,351915,199,56,350539,2,1
0,105,400277,27,10,398004,1,0
0,26,702444,212,22,701878,3,0
1,28,369509,61,13,367296,0,1
0,77,3147,43,83,535,1,1
0,42,526037,39,3,525222,3,0
0,26,57522,124,22,55348,1,1
1,16,1375691,118,44,1373202,0,0
1,20,3258,207,122,754,0,1
0,120,66424,233,35,64094,1,1
1,65,16197,176,118,13717,0,1
0,121,4947,46,85,2638,1,0
1,0,399311,89,14,397290,0,0
0,46,646569,181,12,644707,2,0
0,49,20107,68,49,17801,1,1
0,70,2123600,86,51,2121408,1,0
1,37,5726,0,124,3723,0,0
1,29,654471,75,51,652312,0,1
1,22,828777,106,46,827212,0,1
0,84,27070,138,16,24536,1,1
0,103,311650,214,12,309482,1,1
0,107,16283,184,78,15441,2,1
0,121,5683,56,92,3845,3,0
1,25,477984,148,5,475453,0,0
0,39,1178466,114,42,1176085,1,0
1,135,2336,146,113,3,0,1
1,101,60946,144,52,58898,0,1
0,121,4334,93,97,1968,1,1
1,37,1028709,166,39,1026565,0,0
1,39,224206,200,34,222371,0,1
0,27,92121,137,40,90979,1,1
1,20,731499,33,23,729406,0,0
0,121,7491,125,22,5182,1,1
0,54,1036,15,62,2,3,1
0,47,14203,57,32,11819,1,1
0,79,1475,2,125,3,3,0
0,73,471716,220,5,470270,2,0
1,29,1909430,127,51,1907460,0,1
1,63,669243,186,18,667156,0,0
0,131,18709,35,27,16532,1,1
0,121,6479,133,108,5838,2,1
0,97,668634,154,24,666520,1,0
