StrandOrientation,GeneType,GenomicStartPosition,ChromosomeId,GeneLabel,EncodedProtein,GeneDbId,OrthologousGene,GenomicEndPosition
1,0,597786,10,75,0,75,44,598434
0,0,1171051,22,108,12,108,15,1172370
1,0,558766,5,91,25,91,0,559992
1,0,230514,10,83,8,83,70,231983
0,0,382214,22,23,19,23,15,383794
1,1,7716,42,46,2,46,3,9275
1,1,2073437,22,18,2,18,26,2074708
0,0,471425,5,51,9,51,66,472615
0,0,411703,5,50,25,50,60,412929
1,0,1897875,22,43,19,43,15,1898756
0,0,1750310,22,125,5,125,21,1751668
0,0,1092211,18,134,18,134,77,1093548
0,0,1682645,21,13,17,13,36,1683736
0,0,436320,18,64,1,64,16,437003
1,0,154689,19,113,22,113,37,155993
1,0,145715,10,93,6,93,44,146779
0,1,379126,15,79,2,79,11,379854
1,0,741516,22,37,17,37,53,742418
0,0,1275858,20,65,24,65,36,1277102
0,0,307640,18,81,15,81,51,308539
1,1,51379,48,135,2,135,29,52782
0,1,1,30,47,2,47,42,852
1,0,233434,11,3,0,3,80,233697
1,0,1571525,20,69,17,69,7,1572694
0,0,1950669,22,123,16,123,19,1951553
1,1,596868,10,128,2,128,64,597683
0,1,22417,37,25,2,25,24,23787
0,0,493452,1,39,23,39,61,494627
1,0,1586445,21,120,10,120,36,1587887
1,1,168840,13,31,2,31,9,169772
0,0,1403372,22,106,12,106,15,1404649
0,0,53844,38,27,0,27,4,54854
1,0,2089121,22,20,5,20,18,2090497
1,0,4900,43,58,17,58,4,6378
0,0,437786,12,102,17,102,41,439354
0,1,1071504,18,132,27,132,22,1072628
1,0,209856,8,151,19,151,47,211328
0,0,58461,3,100,19,100,74,59441
1,1,1787623,21,71,2,71,20,1789020
1,0,1505442,20,118,24,118,45,1506761
0,1,1142492,18,133,2,133,22,1143832
0,1,6122,36,24,2,24,65,6733
0,0,11150,39,28,17,28,4,12244
0,0,1419405,20,68,25,68,81,1420721
0,0,66767,3,99,19,99,49,67849
0,0,340480,4,8,0,8,50,340851
0,0,296987,15,78,17,78,12,298468
0,0,2,32,0,1,0,6,586
0,1,1384861,22,104,2,104,44,1386264
1,0,457881,4,16,0,16,28,458510
0,0,898190,17,76,3,76,55,899374
0,0,11954,35,22,0,22,4,13267
0,0,1412150,22,11,25,11,53,1413484
1,0,6742,29,32,22,32,40,7956
0,1,161326,48,139,27,139,29,162444
0,0,482659,15,80,17,80,12,484137
0,1,261617,13,59,2,59,63,262696
0,0,1671053,21,14,5,14,36,1672453
0,0,496600,12,155,0,155,23,497535
0,1,112967,48,137,2,137,30,114367
0,0,799199,14,140,0,140,39,799780
0,1,415855,12,103,2,103,54,417432
1,0,1369569,20,67,19,67,81,1370954
1,0,317777,5,147,17,147,14,318880
0,0,798498,14,54,1,54,38,799094
1,0,7366,27,17,19,17,24,8841
0,0,35940,47,129,26,129,79,37052
1,0,1286318,22,60,10,60,53,1287718
1,0,173582,9,131,12,131,24,174865
1,0,6112,24,1,0,1,43,6483
1,0,26910,45,84,6,84,4,27971
0,0,402012,1,98,23,98,69,403184
1,0,83866,13,89,14,89,48,85134
0,0,1944244,22,122,0,122,15,1944921
1,0,1361035,22,105,17,105,15,1361937
1,1,2051877,22,19,27,19,44,2053277
1,0,1064159,21,142,13,142,82,1065367
1,1,923378,21,86,2,86,20,924253
1,0,332233,22,63,1,63,15,332931
0,1,1364481,20,66,27,66,18,1365596
0,0,935551,17,77,0,77,67,936561
0,1,1014583,22,62,2,62,26,1015761
1,0,23234,49,144,17,144,17,24760
1,0,303281,5,146,19,146,46,304330
1,0,16457,47,130,17,130,16,17944
0,1,812281,17,53,2,53,40,813285
1,0,1622125,21,121,0,121,36,1622991
0,0,348280,4,9,23,9,28,349644
1,0,1546002,20,119,21,119,33,1547471
0,0,4708,41,41,11,41,4,6048
1,0,1046660,21,141,19,141,52,1047742
