StrandOrientation,GeneType,GenomicStartPosition,ChromosomeId,GeneLabel,EncodedProtein,GeneDbId,OrthologousGene,GenomicEndPosition
0,0,12438,64,87,2,87,46,15062
0,0,1059124,23,112,4,112,72,1061168
1,0,5269,47,171,3,171,45,8115
1,0,376740,32,169,2,169,52,379418
1,0,2044399,29,184,2,184,81,2047179
0,0,582301,23,204,3,204,22,585177
0,0,472298,7,141,2,141,113,475012
0,0,1322082,30,90,2,90,62,1324430
0,0,1154469,29,236,2,236,30,1156973
1,1,6749,77,196,1,196,38,9580
1,0,48174,20,151,2,151,52,50888
1,0,1093946,29,235,2,235,101,1096585
0,0,756089,21,46,2,46,21,758419
0,0,9967,74,150,2,150,46,12594
1,0,6579,83,217,2,217,23,9089
0,1,42286,70,124,1,124,25,45075
1,1,1575672,28,100,1,100,109,1578209
0,0,1825916,29,107,2,107,85,1828534
0,0,463714,24,176,2,176,65,466038
0,0,1862957,29,105,2,105,74,1865809
0,0,138117,1,253,2,253,90,139709
0,1,288478,21,117,1,117,17,290907
1,0,1169280,27,40,2,40,7,1171520
1,0,2057611,29,183,2,183,101,2060220
0,0,798375,22,164,2,164,3,800723
1,0,9363,41,12,2,12,55,12158
0,0,19363,62,85,2,85,46,21771
0,0,485541,23,203,3,203,22,488327
0,0,451748,15,157,2,157,106,454333
0,0,259847,6,243,2,243,83,262330
0,0,566233,15,259,2,259,105,568854
1,0,13513,72,144,2,144,46,16377
1,0,177754,19,36,2,36,42,180486
0,1,1630521,29,186,1,186,28,1633076
0,0,299487,29,242,2,242,89,301826
0,0,733583,23,80,3,80,72,736453
1,0,1126764,30,168,2,168,62,1129346
0,0,18310,44,58,2,58,8,20976
0,0,2932,73,149,2,149,98,5331
1,0,627020,13,113,3,113,5,629809
0,0,1822929,30,187,2,187,62,1825289
0,1,588504,15,258,1,258,62,590672
1,0,4166,66,120,2,120,63,6553
0,0,1149583,24,222,2,222,115,1152306
1,0,10931,3,155,2,155,15,13678
0,0,465485,6,69,3,69,80,468388
0,1,473501,5,148,1,148,103,476059
1,1,1149578,28,179,1,179,109,1152001
1,0,1005114,23,206,2,206,72,1007699
1,0,1144757,30,167,2,167,62,1147282
0,0,694046,23,74,2,74,22,696919
0,1,1579936,29,185,1,185,96,1582479
1,0,218443,9,140,2,140,85,221070
0,0,460986,16,81,2,81,35,463778
0,0,8450,37,5,2,5,36,11062
1,0,1550629,28,181,2,181,41,1553361
0,0,278046,23,65,2,65,127,280853
0,0,543824,8,47,2,47,95,546370
0,0,396772,16,238,2,238,54,399549
0,0,54284,44,57,3,57,91,57145
0,0,814468,23,79,2,79,72,817323
0,1,405750,5,18,1,18,23,408107
1,0,57859,85,227,2,227,12,60414
1,0,985546,23,207,2,207,34,988200
1,0,5274,40,11,2,11,64,7898
0,0,242583,0,49,2,49,2,245264
0,0,2051,69,123,2,123,98,4732
0,0,18858,60,60,2,60,98,21506
1,0,20358,71,126,3,126,98,23129
0,0,425663,18,70,2,70,76,428401
0,1,1011738,29,134,1,134,28,1014233
0,0,31414,60,61,2,61,98,34218
1,0,2099463,29,102,2,102,101,2102129
0,0,12226,19,156,3,156,128,15093
0,0,1248512,28,180,2,180,120,1251196
1,0,350182,18,249,2,249,110,352788
1,0,563344,6,139,2,139,116,565683
1,0,7772,38,7,3,7,1,10603
1,0,211077,13,0,5,0,24,212927
0,0,1197396,23,193,2,193,34,1200167
0,0,649424,8,96,2,96,11,652210
1,0,8359,31,92,2,92,60,10893
1,0,2067,55,32,2,32,51,4709
0,0,116878,2,255,2,255,13,119436
1,0,11776,86,230,2,230,24,14331
1,0,1648582,29,13,2,13,125,1650945
0,0,4541,68,122,2,122,51,7054
1,0,453903,5,17,2,17,37,456596
1,0,942,80,211,2,211,29,3590
0,0,1814429,30,189,2,189,111,1816759
1,0,2008033,30,109,2,109,112,2010450
1,0,526820,1,175,2,175,66,529696
0,0,269451,23,66,2,66,72,272153
1,0,421607,6,67,2,67,116,423886
1,1,406415,33,138,1,138,31,408724
0,0,1187140,24,225,2,225,108,1189938
0,0,22858,39,10,3,10,58,25731
0,0,32438,59,52,2,52,98,35248
1,0,3,35,3,5,3,124,2099
0,0,864531,23,115,2,115,72,867065
1,0,457457,13,147,2,147,24,460231
1,0,2169063,29,182,2,182,101,2171498
0,0,780839,23,78,2,78,34,783613
1,0,32611,75,191,2,191,63,35322
0,0,504105,23,20,3,20,72,506933
1,0,38613,84,219,3,219,107,41459
0,0,581721,1,174,0,174,21,584285
0,0,402317,15,160,2,160,87,404953
0,0,13142,65,111,3,111,51,16042
1,1,571897,13,146,1,146,92,574686
1,0,594229,8,95,2,95,118,596823
0,1,69066,3,153,1,153,77,71558
0,0,1099539,24,226,2,226,78,1102343
0,0,553878,7,252,2,252,97,556640
0,0,20457,72,145,2,145,98,22835
0,0,62846,52,26,2,26,46,65602
0,0,318503,30,170,2,170,96,321121
1,0,313,63,86,2,86,51,3099
1,0,2198634,30,55,2,55,111,2201057
0,1,1879670,29,104,1,104,117,1882048
0,1,2062416,29,101,1,101,28,2065088
1,0,5538,72,143,2,143,51,8030
1,0,51787,42,29,3,29,56,54570
1,0,9926,85,229,2,229,102,12466
0,0,1743231,29,14,2,14,74,1745786
0,0,1179322,24,224,2,224,78,1181628
1,0,578836,8,94,5,94,84,580806
1,0,563163,30,84,2,84,111,565358
1,0,932427,29,131,2,131,85,935144
1,0,4482,46,93,3,93,61,7331
1,0,153649,19,35,3,35,85,156435
1,0,246272,9,73,2,73,3,249052
1,0,341906,0,15,2,15,99,344245
1,0,191840,9,248,3,248,85,194602
0,0,533287,15,256,2,256,87,536061
0,0,1848668,29,106,2,106,81,1851640
1,0,448496,6,68,2,68,116,450835
0,0,12235,50,22,2,22,46,14547
0,0,415123,16,136,2,136,53,417885
1,0,234584,9,72,2,72,20,237391
0,0,4884,51,24,2,24,98,7271
0,0,1541,34,2,2,2,70,3982
1,0,18763,3,154,2,154,43,21057
0,0,385492,16,239,2,239,115,388287
0,0,9187,57,42,2,42,51,11601
0,0,182502,26,25,2,25,128,185153
0,0,107374,85,228,3,228,100,110238
0,0,765323,23,77,2,77,72,768058
1,0,6039,82,215,2,215,65,8573
1,0,4757,36,4,2,4,123,7513
1,0,188965,10,114,2,114,59,191757
1,0,202903,9,246,2,246,19,205713
1,0,1406588,28,99,3,99,34,1409461
1,0,877992,29,133,2,133,40,880730
1,0,10087,87,240,2,240,108,12861
0,0,761305,29,129,2,129,74,763632
0,0,1728183,27,190,3,190,7,1731005
0,0,169443,12,231,4,231,11,171302
1,0,185057,9,247,2,247,14,187696
1,0,2178147,30,54,2,54,57,2180588
1,0,14579,43,39,2,39,104,17047
0,0,219359,5,177,2,177,67,222070
0,0,1166769,24,223,3,223,107,1169591
1,1,113,59,50,1,50,10,2776
1,0,948302,29,132,2,132,40,950785
0,0,5819,70,125,2,125,51,8596
0,0,22032,45,63,2,63,18,24923
0,1,39222,79,199,1,199,49,42017
1,1,1147775,23,192,1,192,88,1150558
1,0,662586,23,75,3,75,22,665447
0,1,274223,24,210,1,210,96,276688
1,1,394090,18,250,1,250,9,396615
0,0,378301,16,237,2,237,16,381075
0,1,2111357,29,53,1,53,28,2113696
0,1,253126,23,19,1,19,39,255561
1,0,19278,88,241,2,241,7,22052
0,0,196225,5,127,2,127,79,198843
1,0,773208,29,130,2,130,81,775880
0,0,418704,15,159,2,159,126,421319
1,0,164778,19,38,3,38,27,167573
1,0,9554,56,34,2,34,51,11536
1,1,595705,18,1,1,1,9,597333
