Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Genomic_Start_Position
0,571633,48,48,11,570836
0,684782,58,58,29,683826
0,914563,157,157,26,913814
0,31139,62,62,22,29922
0,1247221,180,180,2,1246121
1,1222996,107,107,16,1222181
0,297062,81,81,22,295851
0,1049347,134,134,15,1048619
1,36628,46,46,23,35402
1,1131697,171,171,2,1130438
0,31870,222,222,11,31118
1,295086,101,101,2,293887
1,946792,6,6,22,945539
0,2901,221,221,2,1762
0,1639752,124,124,19,1638709
0,644758,118,118,25,643769
1,17814,236,236,28,16873
1,826530,12,12,18,825718
0,335,10,10,0,3
1,7239,184,184,2,5971
0,41030,153,153,2,39978
0,19059,168,168,11,18244
0,1188618,194,194,30,1187623
0,1745136,192,192,16,1744339
1,2521,109,109,2,1283
0,250812,146,146,22,249592
0,731234,57,57,11,730422
1,1075329,3,3,1,1075195
0,137805,160,160,2,136807
0,492438,202,202,22,491209
0,1604402,189,189,17,1603254
1,11189,50,50,23,10047
1,13960,13,13,2,13361
0,39296,63,63,22,38151
1,375903,35,35,20,374896
0,12268,237,237,22,10958
1,2097143,191,191,11,2096334
0,13009,154,154,23,11804
0,550504,49,49,11,549704
1,11743,224,224,11,10985
0,556235,173,173,2,555144
0,1165493,230,230,11,1164663
0,381597,14,14,2,380962
1,9178,76,76,11,8375
1,2165485,186,186,24,2164835
0,41345,80,80,32,40839
0,29968,166,166,2,28721
0,358168,103,103,24,357524
1,517373,21,21,2,516597
0,37518,31,31,11,36670
0,1588977,123,123,30,1588012
1,1147481,177,177,7,1146423
0,15379,219,219,11,14528
0,77977,41,41,11,77144
0,658646,91,91,11,657867
1,3650,150,150,6,2478
1,551759,89,89,2,550737
1,35179,44,44,2,34406
1,614,51,51,0,222
1,1921338,127,127,2,1920505
1,287088,100,100,2,285889
0,1173402,231,231,18,1172566
1,37248,167,167,23,35989
1,55904,32,32,2,55386
0,1887968,129,129,2,1886823
0,432927,247,247,14,431740
1,13082,113,113,0,12327
0,386514,175,175,22,385279
0,832741,210,210,22,831566
0,28969,25,25,1,28568
0,738,2,2,0,1
0,5008,9,9,11,4142
1,227094,18,18,1,226831
0,14090,64,64,22,12945
1,1026,225,225,0,841
0,1863,104,104,18,1015
1,2029082,19,19,22,2027874
0,445921,17,17,2,445157
0,251858,20,20,0,251211
1,1022329,213,213,18,1021526
0,23025,136,136,0,22318
1,1675,215,215,11,854
0,26635,165,165,33,25832
1,2151652,67,67,9,2150759
0,2155792,187,187,24,2155145
0,392050,88,88,0,391007
1,19523,47,47,23,18321
0,1687805,71,71,4,1687044
0,10624,96,96,31,9845
0,266241,144,144,11,265438
0,313431,85,85,11,312547
0,486743,59,59,14,485586
0,285745,83,83,11,284939
1,827468,209,209,2,826311
0,1047,1,1,25,259
1,265814,200,200,25,265029
0,18784,99,99,18,18002
1,997273,212,212,11,996476
0,305564,86,86,8,304740
1,13592,102,102,2,12324
1,30765,28,28,11,29968
0,422034,16,16,14,420934
1,941707,7,7,11,940901
0,12388,138,138,0,11468
1,269718,149,149,2,269074
1,65754,234,234,28,64810
1,1522877,182,182,25,1521903
1,17173,217,217,23,16040
0,13948,30,30,10,13148
0,387281,11,11,23,386064
0,290434,82,82,2,289571
1,975187,117,117,29,974237
0,1679298,73,73,25,1678525
0,6002,241,241,2,5043
1,1592913,75,75,33,1591840
0,663114,15,15,2,662260
1,432941,203,203,0,432381
0,277578,84,84,11,276769
1,4723,24,24,2,4340
1,23810,60,60,22,22572
0,231201,246,246,27,230431
0,2142542,188,188,25,2141583
0,13418,152,152,16,12669
0,1694274,70,70,24,1693627
0,25842,199,199,2,24370
0,9998,78,78,2,9753
0,1577124,190,190,12,1576114
0,1229889,179,179,20,1228786
0,1778534,131,131,13,1777443
1,1152958,195,195,2,1151783
0,907521,142,142,22,906301
0,23852,33,33,33,23046
0,1148502,229,229,11,1147669
1,655,0,0,2,2
0,223492,245,245,33,222386
0,1631767,72,72,24,1631120
1,667923,94,94,2,666610
0,272963,214,214,16,272211
0,11872,132,132,2,11348
0,247509,145,145,11,246700
