Gene_Classification,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,0,301818,283,283,4,0,31,301183,1
0,0,6125,11,11,4,0,73,5631,1
0,0,578960,78,78,4,0,116,578253,0
0,0,1665163,30,30,4,0,152,1664528,0
0,0,538452,148,148,4,0,119,537880,1
0,0,278450,248,248,4,0,46,277617,0
0,0,473006,258,258,4,0,135,472107,0
0,0,16573,168,168,4,0,128,15977,0
0,0,1236,126,126,4,0,0,691,0
0,0,2152710,107,107,4,0,162,2152117,1
0,0,750998,203,203,4,0,133,750414,0
0,0,497850,298,298,4,0,42,497083,1
0,0,653543,85,85,4,0,55,652923,1
0,0,698962,98,98,4,0,97,698387,1
0,0,350824,414,414,2,0,99,350453,1
0,0,584282,135,135,4,0,6,583626,1
0,0,425782,144,144,2,0,47,425384,0
0,0,1183104,327,327,4,0,39,1182499,0
0,0,160801,403,403,4,0,50,160181,0
1,0,10872,105,105,3,1,103,10210,0
0,0,412598,285,285,4,0,45,411981,1
0,0,514088,297,297,4,0,42,513441,1
0,0,667099,4,4,4,0,6,666332,1
0,0,244449,292,292,4,0,121,243556,0
0,0,223254,293,293,4,0,23,222562,0
0,0,260483,179,179,4,0,100,259935,0
0,0,1069989,196,196,4,0,58,1069351,0
0,0,198335,43,43,4,0,6,197730,1
0,0,1243238,190,190,4,0,162,1242540,1
0,0,1109266,398,398,4,0,140,1108595,0
0,0,6197,387,387,4,0,156,5628,0
0,0,38888,80,80,4,0,57,38181,1
0,0,2159962,328,328,4,0,70,2159390,0
0,0,1420673,92,92,4,0,162,1420101,0
0,0,388432,197,197,2,0,74,388043,1
0,0,70633,60,60,4,0,128,70109,0
0,0,11230,374,374,4,0,127,10535,0
0,0,673589,188,188,4,0,12,672981,1
0,0,1677970,119,119,4,0,138,1677395,0
0,0,5761,375,375,4,0,22,5141,0
0,0,1875155,223,223,4,0,49,1874526,0
0,0,311313,422,422,4,0,137,310645,1
0,0,274287,175,175,4,0,99,273715,1
0,0,433446,208,208,4,0,5,432955,0
0,0,36542,385,385,4,0,151,35961,1
0,0,541203,104,104,4,0,65,540331,0
0,0,375081,123,123,4,0,25,374536,1
0,0,1134002,408,408,4,0,49,1133424,1
0,0,1481322,94,94,4,0,76,1480762,1
1,0,1261581,326,326,3,1,131,1260970,0
0,0,1739,6,6,4,0,34,1236,1
0,0,405277,143,143,4,0,31,404699,0
0,0,1581481,218,218,4,0,85,1580900,1
0,0,2442,289,289,4,0,29,1612,1
0,1,327963,424,424,4,0,98,327337,1
0,0,1411596,22,22,4,0,17,1410949,0
0,0,253089,180,180,4,0,21,252442,0
0,0,897457,277,277,4,0,61,896894,0
0,0,358436,282,282,2,0,57,358038,1
0,0,11470,48,48,2,0,128,11081,1
0,0,371048,281,281,4,0,99,370350,1
0,0,1943209,9,9,4,0,58,1942577,0
0,0,7470,273,273,4,0,128,6853,1
0,0,76266,284,284,4,0,47,75574,1
0,0,21243,14,14,4,0,16,20602,1
0,0,605996,243,243,4,0,6,605367,1
0,0,332148,411,411,4,0,99,331510,0
1,0,844685,368,368,3,1,114,844098,0
0,0,1790185,224,224,4,0,34,1789544,1
0,0,617680,238,238,4,0,15,617066,1
0,0,59685,50,50,4,0,77,58891,0
0,0,1591262,332,332,4,0,70,1590720,0
0,0,31626,357,357,4,0,22,31012,0
0,0,67780,415,415,4,0,31,67067,0
0,0,425359,253,253,4,0,23,424565,0
0,0,281837,181,181,4,0,100,281250,0
0,0,1169771,348,348,4,0,75,1169145,0
0,0,1192370,317,317,4,0,162,1191744,1
0,0,18926,390,390,4,0,153,18276,0
0,0,2115566,26,26,4,0,97,2114982,1
0,0,1094415,320,320,4,0,58,1093786,1
0,0,1559,52,52,4,0,42,987,1
0,0,395098,42,42,4,0,162,394403,1
0,0,128464,416,416,2,0,7,128075,0
0,0,1132814,319,319,4,0,58,1132212,1
1,0,385637,21,21,3,1,56,384969,0
0,0,1348,170,170,4,0,42,512,1
0,0,567879,381,381,2,0,89,567310,0
0,0,190891,67,67,4,0,99,190256,1
0,0,3660,198,198,4,0,42,3085,1
0,0,756041,100,100,4,0,97,755460,1
1,0,1671935,120,120,3,1,122,1671336,0
0,0,3008,166,166,4,0,145,2760,1
0,0,17644,349,349,4,0,157,17072,0
0,0,393310,286,286,4,0,10,392783,0
0,0,1001979,96,96,4,0,167,1001410,0
0,0,1611491,331,331,4,0,124,1610868,0
0,0,11006,13,13,4,0,141,10434,1
0,0,1840810,111,111,4,0,58,1840178,0
0,0,1150552,316,316,4,0,17,1149983,1
0,0,377041,363,363,4,0,25,376496,1
0,0,389569,254,254,4,0,111,388676,0
0,0,1212108,313,313,4,0,17,1211533,0
0,0,1806636,338,338,4,0,148,1806064,0
0,0,7249,54,54,4,0,42,6641,0
0,0,421453,417,417,4,0,162,420860,0
0,0,410649,145,145,2,0,31,410251,0
0,0,1121,2,2,4,0,164,531,0
1,0,690105,151,151,3,1,56,689434,0
0,0,7534,344,344,2,0,150,7151,0
0,0,14571,377,377,4,0,102,14272,0
0,0,237931,290,290,4,0,23,237338,0
0,0,615493,17,17,4,0,48,614912,0
0,0,253619,173,173,4,0,31,252897,0
0,0,244194,183,183,4,0,21,243160,0
0,0,1176204,399,399,4,0,5,1175530,0
0,0,668902,152,152,4,0,78,668282,1
0,0,22995,307,307,2,0,57,22609,1
0,0,47042,81,81,4,0,31,46335,1
0,0,6670,232,232,4,0,42,6140,1
0,0,462219,364,364,4,0,117,461563,1
0,0,1079,129,129,2,0,77,750,0
0,1,1784731,334,334,4,0,148,1784156,1
0,0,1392058,310,310,4,0,167,1391459,0
0,0,170789,69,69,4,0,31,170208,1
1,0,44727,395,395,3,1,66,44119,1
0,0,917604,278,278,4,0,102,916954,0
0,0,7294,266,266,4,0,42,6638,0
0,0,9111,133,133,2,0,77,8734,0
0,0,633393,83,83,4,0,60,632488,1
0,0,2852,16,16,4,0,36,2211,0
0,0,1610144,116,116,4,0,76,1609563,0
0,0,219644,72,72,4,0,54,218985,1
0,0,873,5,5,4,0,32,262,1
0,0,462632,142,142,4,0,98,462006,0
0,0,1707,378,378,4,0,88,1054,0
0,0,555039,79,79,4,0,79,554104,0
1,0,891600,276,276,1,1,41,891058,1
0,0,522983,296,296,4,0,6,522417,1
0,0,897652,245,245,4,0,165,897068,0
0,0,445439,136,136,4,0,111,444747,0
0,0,8892,376,376,4,0,4,8245,0
0,0,407298,186,186,4,0,86,406639,0
0,0,95645,65,65,4,0,113,95094,1
0,0,296809,421,421,4,0,98,296102,1
0,0,438791,33,33,4,0,145,438168,1
0,0,296422,249,249,4,0,135,295724,0
0,0,311595,412,412,2,0,99,311224,1
0,0,22912,59,59,2,0,132,22523,0
0,0,20624,75,75,4,0,67,19953,1
0,0,262228,38,38,4,0,170,261515,0
0,0,603114,242,242,4,0,15,602248,1
0,0,610905,159,159,4,0,137,610333,0
1,0,862102,246,246,3,1,1,861431,0
0,0,9993,34,34,4,0,129,9376,1
0,0,1448091,90,90,4,0,17,1447573,1
0,0,12594,200,200,4,0,95,11959,1
0,0,367683,157,157,4,0,26,367096,0
0,0,28027,45,45,4,0,128,27344,0
0,0,406686,141,141,4,0,98,406078,0
0,0,32545,267,267,4,0,128,31979,0
1,0,11424,41,41,3,1,109,10828,0
0,0,465000,354,354,4,0,2,464038,0
1,0,874302,279,279,3,1,119,873739,1
0,0,1570983,122,122,4,0,97,1570405,1
0,0,456160,323,323,4,0,120,455483,0
1,0,28680,131,131,3,1,166,27985,0
0,0,478938,103,103,4,0,3,478315,0
0,0,494817,205,205,4,0,14,494134,1
0,0,21792,346,346,4,0,40,21193,0
0,0,649380,241,241,4,0,6,648745,1
1,0,499409,366,366,3,1,56,498789,0
0,0,21840,235,235,4,0,132,21079,0
0,0,551183,231,231,2,0,163,550740,0
0,0,53116,397,397,5,0,37,52718,0
0,0,302673,250,250,4,0,46,302005,0
0,0,633183,239,239,2,0,96,632827,1
0,0,1148872,410,410,4,0,34,1148204,0
0,0,548259,146,146,2,0,72,547909,0
0,0,627298,101,101,4,0,84,626603,1
0,0,555039,429,429,4,0,98,554545,1
0,0,269583,420,420,4,0,137,268954,0
0,0,1587490,215,215,4,0,92,1586741,0
0,0,1038285,193,193,4,0,97,1037734,1
0,0,266589,178,178,4,0,21,265723,0
0,0,21892,340,340,4,0,53,21179,0
0,0,400683,57,57,4,0,159,400036,1
0,0,11825,46,46,4,0,128,11139,0
0,0,564291,150,150,4,0,117,563632,1
0,0,1722444,339,339,4,0,21,1721857,1
0,0,1871216,110,110,4,0,17,1870641,0
0,0,1081012,406,406,4,0,171,1080440,1
0,0,217404,23,23,4,0,23,216745,0
0,0,2130876,106,106,4,0,97,2130250,1
0,0,5418,236,236,4,0,77,4696,1
0,0,266951,176,176,4,0,99,266226,0
0,0,643220,202,202,4,0,65,642618,0
0,0,238595,174,174,4,0,31,237978,1
0,0,174019,66,66,4,0,47,173294,1
0,0,33533,391,391,4,0,149,32910,1
0,0,66227,304,304,4,0,122,65685,0
0,0,1032696,194,194,4,0,58,1032121,1
0,0,1299223,189,189,4,0,97,1298663,0
0,0,549268,76,76,4,0,161,548651,0
1,0,1738968,28,28,3,1,41,1738420,0
0,0,110877,158,158,5,0,163,110344,1
1,0,44362,303,303,3,1,123,43754,1
0,0,375323,426,426,4,0,130,374682,1
0,1,1894275,112,112,4,0,28,1893637,1
0,0,48963,358,358,4,0,105,48349,0
0,0,63431,64,64,4,0,128,62859,0
0,0,559332,147,147,2,0,81,558976,0
1,0,1947,15,15,3,1,142,1330,1
1,0,807869,25,25,3,1,119,807330,1
0,0,17246,271,271,4,0,42,16593,0
0,0,11667,264,264,4,0,42,10975,1
0,0,1182146,315,315,4,0,58,1181541,1
0,0,777907,153,153,4,0,118,777242,0
0,0,474095,355,355,4,0,115,473496,0
0,0,548591,230,230,2,0,41,548190,0
0,0,1654543,31,31,4,0,152,1654004,1
0,0,15815,361,361,4,0,51,15231,0
0,0,417430,207,207,4,0,14,416753,1
0,0,50225,396,396,4,0,102,49587,0
0,0,23909,362,362,4,0,143,23259,0
0,0,1886263,222,222,4,0,102,1885670,0
0,0,1439745,91,91,4,0,58,1439215,1
0,0,1628056,216,216,4,0,107,1627475,0
0,0,5356,351,351,4,0,136,4736,1
0,0,272757,182,182,4,0,21,271798,0
0,0,422988,185,185,4,0,63,422386,0
0,0,431207,427,427,4,0,146,430704,0
0,0,563485,95,95,2,0,18,563114,0
0,0,4939,7,7,4,0,1,4241,1
0,0,488252,256,256,4,0,133,487683,0
0,0,2141017,329,329,4,0,49,2140400,0
0,0,305429,372,372,4,0,9,304515,0
1,0,210445,138,138,3,1,43,209840,1
0,0,636879,162,162,4,0,130,636250,1
0,0,2103139,225,225,4,0,58,2102468,1
0,0,211634,419,419,5,0,8,211245,0
0,0,34921,272,272,4,0,128,34262,1
0,0,1578872,121,121,4,0,17,1578312,0
0,0,596495,163,163,4,0,137,595866,0
0,0,9539,199,199,4,0,95,8904,1
0,0,491431,299,299,4,0,6,490859,1
0,0,458814,353,353,4,0,100,458125,0
0,0,283286,425,425,4,0,137,282588,0
0,0,1863,44,44,4,0,132,1279,0
0,0,1306828,212,212,4,0,92,1306226,1
0,0,10499,39,39,2,0,94,10110,1
0,0,6256,132,132,2,0,132,5888,0
0,0,77237,61,61,4,0,132,76545,0
0,0,1685667,118,118,0,0,162,1685527,0
0,0,566496,300,300,4,0,134,565864,1
0,0,1200244,314,314,4,0,58,1199621,0
0,0,8071,393,393,4,0,87,7124,1
0,0,631273,161,161,4,0,98,630704,1
0,0,1357417,312,312,4,0,148,1356881,1
1,0,1337715,214,214,3,1,30,1337152,0
1,0,893116,244,244,3,1,11,892445,1
0,0,102031,0,0,4,0,104,101630,1
0,0,452612,287,287,4,0,97,451995,0
0,0,542828,294,294,4,0,6,542232,1
0,0,2082607,36,36,4,0,58,2081918,1
0,0,632235,87,87,4,0,34,631654,1
0,0,253563,291,291,4,0,133,252895,0
0,0,1060193,192,192,4,0,58,1059636,1
0,0,54130,400,400,4,0,52,53294,1
1,0,225709,70,70,3,1,33,225092,1
0,0,2016292,330,330,4,0,62,2015537,0
0,0,55031,270,270,4,0,132,54300,0
0,0,42738,392,392,4,0,87,42403,1
0,0,683253,99,99,4,0,58,682675,0
0,0,930600,247,247,4,0,170,929947,1
0,0,510533,431,431,4,0,44,509916,0
0,0,1653046,114,114,4,0,58,1652444,1
0,0,602022,164,164,4,0,146,601444,0
0,0,9693,360,360,4,0,143,9067,0
0,0,325661,371,371,4,0,135,325122,0
0,0,57983,63,63,4,0,132,57381,1
0,0,482096,259,259,4,0,111,481446,0
0,0,152203,402,402,4,0,92,151562,0
0,0,7816,171,171,4,0,128,6941,1
0,0,459742,255,255,4,0,26,459083,0
0,0,8984,261,261,4,0,77,8412,1
0,0,285006,251,251,4,0,135,284026,0
0,0,786,373,373,4,0,35,88,0
0,0,521226,211,211,4,0,114,520573,0
0,0,1896,260,260,4,0,77,1198,1
0,0,423275,206,206,4,0,5,422700,0
0,0,297265,228,228,4,0,159,296609,0
0,0,413954,418,418,4,0,17,413337,0
0,0,10738,167,167,4,0,132,10142,1
0,0,410431,184,184,4,0,63,409799,0
0,0,717564,274,274,4,0,124,716974,1
0,0,497547,257,257,4,0,23,496699,0
0,0,2021354,37,37,4,0,17,2020752,1
1,0,22510,55,55,3,1,159,21845,0
0,0,12963,342,342,4,0,53,12349,0
0,0,1279824,191,191,4,0,17,1279111,1
1,0,2090413,219,219,3,1,41,2089832,1
0,0,203566,71,71,2,0,57,203195,1
0,0,641268,240,240,4,0,134,640657,1
1,0,1773473,335,335,3,1,122,1772775,1
0,0,537100,295,295,4,0,6,536468,1
0,0,3185,165,165,4,0,128,2544,1
0,0,1078119,195,195,4,0,162,1077559,0
0,0,567898,125,125,2,0,62,567485,0
0,0,4704,233,233,4,0,128,4066,0
0,0,55203,82,82,4,0,31,54550,0
0,0,288418,227,227,4,0,112,287768,0
0,0,165971,19,19,4,0,1,165327,0
0,0,627125,86,86,4,0,172,626559,1
0,0,1646736,217,217,4,0,19,1646206,0
0,0,11303,51,51,4,0,77,10641,1
0,0,661517,1,1,4,0,6,660867,1
