Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position
0,0,772874,150,150,6,0,80,28,769737
0,0,638513,75,75,2,1,40,7,636579
0,0,220362,117,117,5,0,11,18,217744
1,0,40751,44,44,2,1,64,68,38379
1,0,5438,139,139,7,0,70,90,3198
1,0,8449,123,123,6,0,74,45,5315
1,0,37772,136,136,6,0,59,11,34755
0,0,11809,41,41,2,1,76,66,9641
0,0,8362,134,134,2,1,88,87,5834
1,0,96112,114,114,6,0,14,1,92984
1,0,6579,70,70,2,1,9,16,5257
1,0,16287,37,37,2,1,13,60,13156
1,0,371763,4,4,9,1,38,45,371065
1,0,3141,92,92,7,0,32,61,982
1,0,5564,42,42,2,1,34,36,2433
0,0,567659,27,27,1,0,19,33,567123
0,0,634208,32,32,8,0,2,39,633441
1,0,34862,90,90,1,0,8,28,34431
0,0,742903,102,102,2,1,75,23,741965
1,0,11203,46,46,2,1,55,41,8075
0,0,12199,145,145,2,1,35,96,10430
0,0,631461,76,76,2,1,40,7,630235
1,0,2165,137,137,7,0,22,88,1
0,0,676357,31,31,2,1,93,23,675068
1,0,46094,78,78,5,0,59,37,43491
1,0,301337,23,23,2,1,5,5,298548
1,0,48145,3,3,4,0,21,30,47690
1,0,11508,109,109,5,0,45,81,8902
0,0,1015710,36,36,6,0,46,35,1014604
