GeneInstanceType,OrthologId,GenomicEndPosition,GeneLabel,GeneDbId,ChromosomeId,GenomicStartPosition,StrandOrientation
0,9,3289,221,221,9,2476,1
0,8,2834062,85,85,0,2833074,1
0,8,1330950,35,35,0,1330142,0
0,8,2292995,55,55,0,2292070,1
0,8,3871709,128,128,0,3870942,0
0,2,1535834,197,197,5,1534863,1
0,2,1623017,205,205,5,1622000,1
0,2,1599674,201,201,5,1598787,1
0,8,867371,10,10,0,866391,1
1,12,1610485,203,203,5,1609781,1
0,0,3162441,233,233,10,3161514,0
0,8,1209985,28,28,0,1208980,1
0,10,33815,190,190,4,32835,1
0,8,750322,5,5,0,749314,1
0,8,3253701,104,104,0,3252689,1
0,8,1238650,32,32,0,1237682,1
0,5,41331,168,168,1,40400,1
0,8,3963135,141,141,0,3962225,0
0,1,817549,173,173,2,817059,0
0,4,2228516,216,216,7,2227599,0
0,8,3601569,119,119,0,3600815,0
0,8,2309588,56,56,0,2308875,1
0,8,3487893,116,116,0,3486897,1
0,8,3341774,108,108,0,3340903,0
1,3,4392476,155,155,0,4391482,1
0,8,817233,8,8,0,816237,1
0,8,2368035,63,63,0,2367171,1
0,0,3126460,231,231,10,3125490,0
0,8,2321136,57,57,0,2320393,1
0,8,1535963,42,42,0,1534977,0
0,2,1531659,196,196,5,1530673,1
0,8,3928035,134,134,0,3927312,1
0,8,1474816,39,39,0,1474233,0
0,8,3262281,105,105,0,3261420,1
0,0,3089002,223,223,10,3088123,0
0,8,3906646,132,132,0,3905933,1
0,8,1135405,23,23,0,1134492,1
0,0,3116397,228,228,10,3115586,0
1,3,2127533,51,51,0,2126698,0
0,8,2553401,72,72,0,2552386,0
0,11,50281,182,182,3,49319,1
0,11,125238,186,186,3,124273,1
0,8,1470924,38,38,0,1470038,0
0,2,1566639,199,199,5,1565667,1
1,16,1009605,170,170,1,1008886,0
0,13,1525569,217,217,8,1524684,0
0,1,826843,175,175,2,825971,0
0,8,967539,15,15,0,966566,0
0,8,1609685,43,43,0,1608659,1
0,8,2819209,81,81,0,2818421,1
0,0,3121885,230,230,10,3121014,0
1,3,1040606,18,18,0,1039800,0
0,1,838943,177,177,2,837978,0
0,8,3958817,140,140,0,3957831,0
0,8,1487516,41,41,0,1486532,0
0,10,63777,193,193,4,62796,1
0,8,3712714,125,125,0,3711781,0
0,8,4769513,166,166,0,4768631,0
0,10,1515860,194,194,4,1514896,0
0,3,1718127,210,210,6,1717211,0
0,8,745630,4,4,0,744707,0
0,8,2930278,92,92,0,2929420,1
0,8,2121499,49,49,0,2120598,0
0,8,3475811,113,113,0,3474883,0
0,8,710413,2,2,0,709282,0
0,8,3392268,111,111,0,3391673,0
0,8,2879567,90,90,0,2878703,1
0,8,1649617,45,45,0,1648674,1
0,8,3975591,142,142,0,3974574,0
0,8,2517420,71,71,0,2516791,0
0,11,41910,181,181,3,40986,1
0,8,1251779,33,33,0,1250937,1
1,3,963298,14,14,0,962347,0
0,8,813072,7,7,0,812093,1
0,8,4058883,149,149,0,4058242,1
0,1,822698,174,174,2,821677,0
1,3,1164370,24,24,0,1163401,1
0,8,2975921,95,95,0,2975048,0
0,8,2795416,79,79,0,2794433,1
0,8,2560429,73,73,0,2559575,0
0,8,3344923,109,109,0,3344054,0
0,8,1860672,48,48,0,1859648,1
0,4,1564,214,214,7,573,1
0,8,874894,12,12,0,873910,1
0,8,2723923,77,77,0,2723008,0
0,8,3986597,144,144,0,3986148,0
1,6,4163,189,189,4,3357,1
0,8,3484725,115,115,0,3483913,1
1,3,3883348,131,131,0,3882399,0
0,4,16470,215,215,7,15481,1
0,8,2124567,50,50,0,2123632,0
0,8,1799441,46,46,0,1798627,1
0,8,4266476,151,151,0,4265571,1
0,8,4739055,165,165,0,4738454,1
0,8,4685863,163,163,0,4685216,1
0,8,4049767,147,147,0,4048793,1
0,8,2270503,54,54,0,2269514,1
0,8,1612962,44,44,0,1612027,1
0,2,1643801,208,208,5,1642894,1
0,0,3092504,224,224,10,3091527,0
0,8,1084006,22,22,0,1083168,0
0,8,3954615,139,139,0,3953625,0
1,3,2510002,70,70,0,2509226,0
0,5,38255,167,167,1,37374,1
0,0,3120182,229,229,10,3119289,0
0,8,3856099,127,127,0,3855436,1
0,8,3391129,110,110,0,3390208,0
0,8,3875858,129,129,0,3874863,0
0,8,2837856,86,86,0,2836889,1
0,8,2719470,76,76,0,2718746,0
0,10,1066,188,188,4,97,1
0,8,3202332,103,103,0,3201416,1
1,15,1531532,219,219,8,1530570,0
0,8,1080374,21,21,0,1079384,0
0,8,4698031,164,164,0,4697363,1
0,8,2371632,64,64,0,2371039,1
0,8,2949277,93,93,0,2948707,1
1,3,1195244,25,25,0,1194248,1
0,8,2876969,89,89,0,2875871,1
