GeneInstanceType,OrthologId,GenomicEndPosition,GeneLabel,GeneDbId,ChromosomeId,GenomicStartPosition,StrandOrientation
0,2,1623017,206,206,5,1622000,1
0,8,3487893,117,117,0,3486897,1
0,8,1198292,26,26,0,1197318,1
1,14,886301,179,179,2,885423,0
0,8,3605579,121,121,0,3604775,0
1,6,37246,192,192,4,36216,1
0,8,706356,1,1,0,705402,0
0,0,3166097,234,234,10,3165117,0
0,8,2837856,87,87,0,2836889,1
0,13,1527077,218,218,8,1526144,0
1,3,3289870,106,106,0,3288906,1
0,9,3289,221,221,9,2476,1
0,8,2831118,85,85,0,2830191,1
0,8,1289899,35,35,0,1288988,0
0,8,2277459,55,55,0,2276564,1
0,8,3856099,128,128,0,3855436,1
0,2,1531659,197,197,5,1530673,1
0,2,1618754,205,205,5,1617789,1
0,2,1569787,201,201,5,1568882,1
0,8,867371,10,10,0,866391,1
1,12,1610485,203,203,5,1609781,1
0,0,3162441,233,233,10,3161514,0
0,8,1209985,28,28,0,1208980,1
0,10,1066,189,189,4,97,1
0,8,750322,5,5,0,749314,1
0,8,3202332,104,104,0,3201416,1
0,8,1238650,32,32,0,1237682,1
0,5,38255,168,168,1,37374,1
0,8,3958817,141,141,0,3957831,0
0,1,813663,173,173,2,812738,0
0,4,2228516,216,216,7,2227599,0
0,8,3598785,119,119,0,3598376,0
0,8,2292995,56,56,0,2292070,1
0,8,3484725,116,116,0,3483913,1
0,8,3337829,108,108,0,3336940,0
1,3,4392476,156,156,0,4391482,1
0,8,817233,8,8,0,816237,1
0,8,2363229,63,63,0,2362303,1
0,0,3126460,231,231,10,3125490,0
0,8,2318302,57,57,0,2317439,1
0,8,1487516,42,42,0,1486532,0
0,10,1520249,196,196,4,1519281,0
0,8,3925106,134,134,0,3924162,1
0,8,1470924,39,39,0,1470038,0
0,8,3253701,105,105,0,3252689,1
0,0,3089002,223,223,10,3088123,0
0,8,3879177,131,131,0,3878232,0
0,8,1135405,23,23,0,1134492,1
0,0,3116397,228,228,10,3115586,0
1,3,2127533,52,52,0,2126698,0
0,8,2517420,72,72,0,2516791,0
0,11,46423,182,182,3,45432,1
0,11,121633,186,186,3,120728,1
0,8,1382865,38,38,0,1381870,0
0,2,1544825,199,199,5,1543914,1
1,16,1009605,171,171,1,1008886,0
0,13,1525569,217,217,8,1524684,0
0,1,822698,175,175,2,821677,0
0,8,967539,15,15,0,966566,0
0,8,1605990,43,43,0,1605094,1
0,8,2815583,81,81,0,2814647,1
0,0,3121885,230,230,10,3121014,0
1,3,1040606,18,18,0,1039800,0
0,1,835336,177,177,2,834360,0
0,8,3954615,140,140,0,3953625,0
0,8,1483126,41,41,0,1482386,0
0,10,59994,193,193,4,59019,1
0,8,3658680,125,125,0,3657775,0
0,8,4739055,166,166,0,4738454,1
0,10,1512439,194,194,4,1511545,0
0,3,1713820,210,210,6,1712806,0
0,8,745630,4,4,0,744707,0
0,8,2883682,92,92,0,2882695,1
0,8,1860672,49,49,0,1859648,1
0,8,3471297,113,113,0,3470331,0
0,8,710413,2,2,0,709282,0
0,8,3391129,111,111,0,3390208,0
0,8,2876969,90,90,0,2875871,1
0,8,1612962,45,45,0,1612027,1
0,8,3963135,142,142,0,3962225,0
0,8,2503866,70,70,0,2502987,0
0,11,38718,181,181,3,37728,1
0,8,1247370,33,33,0,1246604,1
1,3,963298,14,14,0,962347,0
0,8,813072,7,7,0,812093,1
0,8,4054409,149,149,0,4053370,1
0,1,817549,174,174,2,817059,0
1,3,1164370,24,24,0,1163401,1
0,8,2971478,95,95,0,2970900,0
0,8,2732709,79,79,0,2731745,0
0,8,2557700,73,73,0,2556763,0
0,8,3341774,109,109,0,3340903,0
0,8,1856079,48,48,0,1855124,1
0,3,1730683,214,214,6,1729945,0
0,8,874894,12,12,0,873910,1
0,8,2719470,77,77,0,2718746,0
0,8,3983006,144,144,0,3982127,0
1,6,4163,190,190,4,3357,1
0,8,3475811,114,114,0,3474883,0
1,3,3883348,132,132,0,3882399,0
0,4,16470,215,215,7,15481,1
0,8,2121499,50,50,0,2120598,0
0,8,1649617,46,46,0,1648674,1
0,8,4092305,151,151,0,4092003,1
0,8,4698031,165,165,0,4697363,1
0,8,4674500,163,163,0,4674023,1
0,8,4045564,147,147,0,4044548,1
0,8,2241711,54,54,0,2240825,1
0,8,1609685,44,44,0,1608659,1
0,2,1639490,208,208,5,1638522,1
0,0,3092504,224,224,10,3091527,0
0,8,1084006,22,22,0,1083168,0
0,8,3949671,139,139,0,3948636,0
1,3,2510002,71,71,0,2509226,0
0,8,4769513,167,167,0,4768631,0
0,0,3120182,229,229,10,3119289,0
0,8,3851936,127,127,0,3851292,1
0,8,3344923,110,110,0,3344054,0
0,8,3871709,129,129,0,3870942,0
0,8,2834062,86,86,0,2833074,1
0,8,2604167,76,76,0,2603329,0
0,11,128626,188,188,3,127746,1
0,8,3193314,103,103,0,3192405,1
1,15,1531532,219,219,8,1530570,0
0,8,1080374,21,21,0,1079384,0
0,8,4685863,164,164,0,4685216,1
0,8,2368035,64,64,0,2367171,1
0,8,2930278,93,93,0,2929420,1
1,3,1195244,25,25,0,1194248,1
0,8,2844528,89,89,0,2843538,1
