GENE_SUBCLASS,GENE_TYPE,GENOMIC_START_POSITION,ORTHOLOG_ID,CHROMOSOME_ID,STRAND_ORIENTATION,ENCODED_PROTEIN,GENE_DB_ID,GENE_ID,GENOMIC_END_POSITION
0,0,2662569,3,7,0,0,207,207,2663503
0,0,2810056,23,0,1,0,94,94,2811023
0,0,2885569,23,0,0,0,95,95,2886495
0,0,2884260,17,12,0,0,252,252,2885211
0,0,1961243,23,0,1,0,73,73,1962233
0,0,704423,23,0,0,0,26,26,705383
0,0,1036017,23,0,1,0,41,41,1036988
0,0,2949454,17,12,0,0,255,255,2950391
0,0,1950744,23,0,1,0,72,72,1951701
1,1,620361,2,0,0,1,22,22,621314
0,0,1316438,20,1,0,0,139,139,1317363
0,0,3590238,23,0,1,0,119,119,3591099
0,0,41246,12,6,1,0,171,171,42295
0,0,2579676,23,0,1,0,85,85,2580660
1,1,2686888,2,0,1,1,91,91,2687685
0,0,1275562,5,2,0,0,147,147,1276401
1,1,2922814,2,0,1,1,97,97,2923780
1,1,2217492,22,9,0,1,230,230,2218428
0,0,131407,1,13,1,0,263,263,132449
0,0,278392,11,4,1,0,158,158,278997
0,0,2092884,24,9,0,0,225,225,2093905
0,0,142743,4,3,1,0,151,151,143681
0,0,95832,24,9,0,0,221,221,96817
0,0,3698199,23,0,1,0,123,123,3699200
0,0,1043027,23,0,1,0,42,42,1043987
0,0,2630098,17,12,0,0,245,245,2631052
0,0,2641489,3,7,0,0,206,206,2642245
1,1,1788675,21,4,0,1,165,165,1789660
0,0,3184809,23,0,0,0,108,108,3185796
0,0,2362256,3,7,0,0,200,200,2363219
0,0,161859,3,7,1,0,192,192,162872
0,0,3349469,23,0,0,0,111,111,3350446
1,1,319707,14,7,0,1,199,199,320709
1,1,249557,13,10,1,1,237,237,250517
1,1,1894237,8,6,0,1,177,177,1894910
0,0,1724254,11,4,0,0,161,161,1725242
1,1,7042,21,4,1,1,152,152,8035
1,1,310667,21,4,1,1,160,160,311627
0,0,1286397,5,2,0,0,148,148,1287410
1,1,612696,2,0,1,1,21,21,613465
0,0,62038,23,0,0,0,3,3,63052
0,0,3231450,23,0,0,0,110,110,3232387
0,0,2082312,24,9,0,0,224,224,2083278
0,0,2921940,17,12,0,0,253,253,2922898
0,0,3421396,23,0,0,0,114,114,3422379
0,0,314638,1,13,1,0,267,267,315605
1,1,1301798,0,1,0,1,138,138,1302731
0,0,3625683,23,0,1,0,121,121,3626724
0,0,2136116,23,0,0,0,79,79,2137083
0,0,828981,23,0,0,0,31,31,829945
0,0,2309816,23,0,0,0,83,83,2310802
1,1,1660898,2,0,1,1,61,61,1661637
0,0,3086711,23,0,0,0,106,106,3087645
0,0,89650,3,7,1,0,189,189,90623
1,1,1974370,22,9,0,1,222,222,1975350
0,0,3820752,23,0,1,0,126,126,3821699
0,0,1999413,12,6,0,0,180,180,2000482
0,0,2409980,17,12,0,0,239,239,2410931
0,0,1226153,23,0,0,0,48,48,1227129
1,1,2191163,22,9,0,1,228,228,2191993
0,0,1895961,23,0,1,0,70,70,1896974
1,1,195815,8,6,1,1,176,176,196537
0,0,2568416,23,0,1,0,84,84,2569200
0,0,2036855,12,6,0,0,181,181,2037842
0,0,2011537,23,0,1,0,76,76,2012514
0,0,35076,11,4,1,0,153,153,36053
0,0,349232,23,0,0,0,10,10,350270
0,0,960057,23,0,0,0,37,37,961008
0,0,817520,23,0,0,0,30,30,818515
0,0,1818421,11,4,0,0,167,167,1819402
0,0,84520,20,1,1,0,136,136,85503
1,1,2499858,14,7,0,1,202,202,2500826
0,0,3770581,23,0,1,0,125,125,3771594
0,0,2051981,24,9,0,0,223,223,2052986
0,0,1492608,23,0,0,0,54,54,1493581
0,0,2789740,23,0,0,0,93,93,2790671
0,0,191876,1,13,1,0,265,265,192905
0,0,124229,12,6,1,0,174,174,125184
0,0,2401983,3,7,0,0,201,201,2402964
0,0,3537279,23,0,1,0,117,117,3538333
0,0,1168314,23,0,1,0,46,46,1169323
0,0,2608581,23,0,1,0,88,88,2609560
1,1,174773,2,0,0,1,5,5,175684
0,0,2610116,3,7,0,0,204,204,2611171
0,0,3942518,23,0,1,0,131,131,3943402
0,0,755452,23,0,0,0,28,28,756430
1,1,2619563,10,12,0,1,244,244,2620539
0,0,73103,20,1,1,0,135,135,74070
1,1,1718592,2,0,1,1,63,63,1719528
0,0,2928926,17,12,0,0,254,254,2929889
0,0,28779,23,0,0,0,1,1,29762
1,1,146054,8,6,1,1,175,175,146994
1,1,3831499,2,0,1,1,127,127,3832545
1,1,1943137,8,6,0,1,178,178,1944091
0,0,2942390,23,0,1,0,99,99,2943363
0,0,79583,3,7,1,0,188,188,80570
1,1,3863936,2,0,1,1,128,128,3864794
0,0,28341,24,9,1,0,219,219,29305
0,0,2786407,3,7,0,0,212,212,2787380
0,0,2986294,23,0,1,0,102,102,2987289
0,0,1857026,11,4,0,0,168,168,1858012
0,0,2900680,23,0,1,0,96,96,2901620
0,0,1028849,23,0,1,2,40,40,1029803
0,0,46712,6,8,1,0,215,215,47733
0,0,1830638,23,0,1,0,67,67,1831592
0,0,1241593,5,2,0,0,144,144,1242580
0,0,1322970,23,0,0,0,50,50,1323924
0,0,2990543,17,12,0,0,257,257,2991514
1,1,1608554,2,0,0,1,58,58,1609442
0,0,324116,23,0,0,0,9,9,325126
1,1,2865319,10,12,0,1,251,251,2866118
0,0,256958,3,7,1,0,196,196,257930
1,1,824320,18,5,0,1,169,169,825304
0,0,796557,23,0,0,0,29,29,797603
1,1,61062,0,1,1,1,134,134,62075
0,0,82100,9,10,1,0,232,232,83058
0,0,242828,9,10,1,0,236,236,243795
0,0,100271,23,0,0,0,4,4,101259
0,0,3500926,23,0,1,0,116,116,3501883
0,0,853408,23,0,0,0,34,34,854400
1,1,529877,2,0,1,1,17,17,530848
0,0,193107,11,4,1,0,157,157,194080
1,1,2163912,22,9,0,1,226,226,2164937
1,1,3564858,2,0,1,1,118,118,3565904
0,0,2728442,17,12,0,0,249,249,2729418
0,0,3996772,23,0,1,0,133,133,3997753
0,0,1841258,23,0,1,0,68,68,1842055
0,0,3906026,23,0,1,0,130,130,3907034
0,0,3674736,23,0,1,0,122,122,3675676
0,0,263742,23,0,0,0,7,7,264759
0,0,1862233,23,0,1,0,69,69,1863193
0,0,417494,23,0,0,0,13,13,418380
0,0,15686,4,3,1,0,150,150,16637
0,0,1157129,23,0,1,0,45,45,1158170
1,1,187156,14,7,1,1,193,193,188127
1,1,1103973,2,0,1,0,43,43,1104725
0,0,58996,6,8,1,0,216,216,59985
1,1,2111,19,2,1,1,141,141,3129
0,0,2570141,17,12,0,0,241,241,2571118
0,0,2629838,3,7,0,0,205,205,2630816
0,0,2767187,3,7,0,0,211,211,2768159
1,1,2074416,8,6,0,1,182,182,2075234
0,0,76246,1,13,1,0,261,261,77248
1,1,18641,16,11,1,1,238,238,19593
1,1,115392,14,7,1,1,190,190,116363
1,1,992231,2,0,1,1,38,38,992940
0,0,267636,3,7,1,0,197,197,268646
0,0,93026,11,4,1,0,155,155,93901
0,0,1205634,23,0,0,0,47,47,1206640
0,0,9119,24,9,1,0,218,218,10066
0,0,46316,3,7,1,0,186,186,47279
1,1,6614,2,0,0,1,0,0,7609
0,0,3034472,23,0,1,0,104,104,3035493
0,0,1631515,23,0,0,0,59,59,1632520
0,0,51200,23,0,0,0,2,2,52191
0,0,1434369,23,0,0,0,52,52,1435342
0,0,2246622,23,0,0,0,81,81,2247622
0,0,2598686,3,7,0,0,203,203,2599688
0,0,936183,23,0,0,0,36,36,937139
1,1,461872,2,0,0,1,15,15,462656
0,0,2647001,23,0,1,0,89,89,2647975
0,0,1549070,23,0,1,0,56,56,1550036
1,1,473342,2,0,1,1,16,16,474134
0,0,2717006,17,12,0,0,248,248,2718036
0,0,360375,23,0,0,0,11,11,361388
0,0,2597760,23,0,1,0,87,87,2598728
1,1,1304292,2,0,0,1,49,49,1305031
0,0,1763508,11,4,0,0,162,162,1764239
1,1,2693159,10,12,0,1,247,247,2694134
0,0,3895570,23,0,1,0,129,129,3896577
1,1,206941,13,10,1,1,235,235,207934
0,0,2805961,17,12,0,0,250,250,2806993
0,0,1646762,23,0,0,0,60,60,1647699
0,0,1455519,23,0,0,0,53,53,1456456
0,0,21118,12,6,1,0,170,170,22128
0,0,34737,3,7,1,0,185,185,35674
1,1,1796,7,13,1,1,258,258,2821
0,0,3665,3,7,1,0,183,183,4464
0,0,1797042,11,4,0,0,166,166,1798060
0,0,1757779,23,0,1,0,64,64,1758744
0,0,1409631,23,0,0,0,51,51,1410592
0,0,2490060,17,12,0,0,240,240,2491047
0,0,97104,1,13,1,0,262,262,98100
0,0,668377,23,0,0,0,24,24,669332
1,1,6770,15,8,1,1,214,214,7509
0,0,81176,11,4,1,0,154,154,82197
1,1,1570786,2,0,1,1,57,57,1571655
0,0,55870,3,7,1,0,187,187,56587
1,1,168018,21,4,1,1,156,156,168621
0,0,203989,1,13,1,0,266,266,204979
1,1,299433,14,7,1,1,198,198,300350
0,0,1201265,5,2,0,0,143,143,1202243
0,0,3746758,23,0,1,0,124,124,3747742
0,0,1253021,5,2,0,0,145,145,1253998
0,0,2930282,23,0,1,0,98,98,2931247
0,0,2594197,23,0,1,0,86,86,2595178
0,0,2798511,3,7,0,0,213,213,2799553
0,0,3484511,23,0,1,0,115,115,3485524
1,1,48083,7,13,1,1,259,259,49077
0,0,631997,23,0,0,0,23,23,632947
0,0,22545,3,7,1,0,184,184,23469
0,0,2022911,23,0,1,0,77,77,2023898
0,0,3069280,23,0,0,0,105,105,3070241
1,1,1003339,2,0,1,1,39,39,1004126
0,0,2969987,23,0,1,0,101,101,2970973
