Gene_Type,Genomic_End_Position,Gene_Db_Id,Gene_Label,Genomic_Start_Position,Strand_Orientation
1,88412,90,90,86619,1
1,101201,25,25,100433,1
1,5632,13,13,4214,0
1,1161359,88,88,1159086,0
1,929,16,16,492,0
1,10351,173,173,7736,1
1,1338938,189,189,1337487,0
1,699100,69,69,696140,0
1,16367,31,31,13620,1
1,1153652,143,143,1152030,0
1,32383,198,198,29822,0
1,69602,79,79,68706,1
1,71222,124,124,69540,1
1,18217,114,114,15659,0
1,57820,33,33,56951,0
1,73875,207,207,71692,1
1,5666,165,165,3972,0
1,33980,160,160,31590,1
1,578251,159,159,576644,0
1,475584,91,91,473026,0
1,583,155,155,2,0
1,3829,29,29,839,1
1,56560,220,220,55610,1
1,453362,127,127,452610,0
1,11981,99,99,9216,0
1,915785,187,187,913926,0
1,772241,47,47,769332,0
0,1231,12,12,899,1
1,1575,18,18,712,1
1,74451,228,228,72187,1
1,3080,51,51,735,1
1,45115,199,199,42281,0
1,2190,93,93,1,1
1,147,10,10,1,0
1,521339,130,130,518895,0
1,612431,128,128,611934,0
1,750468,64,64,747616,0
1,24991,110,110,22313,0
0,1238,209,209,288,1
1,4197,144,144,3526,1
1,6226,11,11,4295,0
1,1020701,158,158,1018377,0
1,63967,206,206,63425,1
1,2783,38,38,909,1
1,1852084,65,65,1850486,0
1,382722,96,96,380155,0
1,2706,84,84,1,1
1,17064,74,74,15238,0
1,521580,39,39,519241,0
1,814312,217,217,811961,0
1,34273,7,7,33176,1
1,58454,108,108,55821,1
1,504842,70,70,502038,0
1,26773,106,106,26201,1
1,856711,126,126,855554,0
1,112160,81,81,109194,0
1,752571,46,46,750136,0
1,6087,15,15,4936,1
1,630925,167,167,630173,0
0,795045,186,186,794215,0
0,587282,67,67,586959,0
1,617,52,52,1,0
1,478396,131,131,477242,0
1,822273,208,208,821002,0
1,2334536,193,193,2334039,0
1,4194,214,214,3232,0
1,957,164,164,103,1
1,13228,190,190,10472,1
1,1874,54,54,3,1
1,640440,111,111,637990,0
1,963,72,72,103,1
1,216862,121,121,214952,0
1,360854,45,45,358083,1
1,9773,226,226,7086,0
0,346850,200,200,346512,1
1,56420,153,153,55923,1
1,23155,181,181,22973,1
1,663276,129,129,662509,0
1,563,43,43,3,1
1,8610,75,75,7165,0
1,250640,169,169,247890,0
1,944659,157,157,941918,1
1,23344,161,161,21104,0
1,40883,49,49,38052,1
1,7904,92,92,5580,1
1,1132750,112,112,1130948,0
0,45867,21,21,45670,1
0,2029693,136,136,2028950,0
1,821170,94,94,818471,0
1,805101,138,138,802591,0
1,15156,24,24,14362,1
1,66037,89,89,63011,1
1,7310,233,233,4494,0
0,586872,175,175,586129,0
1,10829,77,77,8487,1
1,182518,42,42,180932,1
1,207218,116,116,204852,1
1,26957,133,133,26184,0
0,870832,50,50,869711,0
