Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Genomic_Start_Position
1,0,464804,166,166,462621
1,0,1036,14,15,2
0,0,763015,83,84,760970
0,0,547726,136,136,545198
0,0,19404,200,200,17227
1,0,53099,223,223,50910
1,0,2191081,88,89,2188577
0,0,52834,184,184,50840
1,0,13918,123,123,11750
1,0,18062,135,135,16122
0,0,436942,177,177,434816
1,0,34512,91,92,32440
0,0,5683,57,58,3845
0,0,1835456,208,208,1833030
0,0,731499,31,32,729406
0,0,482055,113,113,479794
0,0,560608,181,181,558551
1,0,92121,141,141,90979
1,0,7735,186,186,5258
0,0,2352753,132,132,2351474
0,0,5117,217,217,2943
1,0,120751,187,187,119534
0,0,9642,214,214,7252
0,0,28514,111,0,26043
1,0,1699,86,87,101
0,0,3774,18,19,1570
0,0,468090,39,40,465892
1,0,3637,163,163,1680
0,0,619207,206,206,617003
0,0,369971,61,62,367785
1,0,10067,27,28,8418
0,0,1108,161,161,1
0,0,3468,71,72,1171
0,0,1009265,78,79,1006986
0,0,609450,134,134,607396
1,0,28523,81,82,26538
1,0,2650,25,26,386
1,0,6868,185,185,4559
1,0,50074,190,190,47909
0,0,669243,188,188,667156
1,0,17178,108,109,14941
1,0,4593,1,2,2230
1,0,2335,170,170,101
1,0,798,167,167,1
0,0,1167843,146,146,1165567
1,0,140815,228,228,140096
1,0,18493,46,47,16673
1,0,5471,139,139,3207
1,0,5333,21,22,3093
1,0,59387,94,95,57738
0,0,477141,199,199,476586
0,0,5583,99,100,3223
1,0,40877,204,204,40377
0,0,175988,212,212,173664
0,0,180595,120,120,178343
0,0,827,13,14,3
1,0,122003,229,229,119982
1,0,16433,194,194,14709
1,0,35613,196,196,33460
0,0,16106,74,75,14127
0,0,194620,126,126,192110
1,0,85349,66,67,84366
1,0,303473,216,216,301437
0,0,703891,73,74,701787
0,0,7225,106,107,4853
1,0,3201,60,61,2560
1,0,17152,138,138,14774
1,0,43304,158,158,40902
1,0,52112,104,105,49749
1,0,316113,226,226,313945
1,0,3704,22,23,1446
1,0,12933,114,114,10912
1,0,60946,148,148,58898
0,0,1287,19,20,1
1,0,3133,52,53,824
0,0,23314,236,236,21104
1,0,18709,34,35,16532
0,0,399311,92,93,397290
1,0,66424,233,233,64094
0,0,469090,33,34,466913
1,0,4184,235,235,1923
0,0,754574,175,175,752403
0,0,646569,183,183,644707
0,0,480279,207,207,478171
0,0,636865,80,81,634829
0,0,377705,98,99,375522
0,0,400277,26,27,398004
0,0,703107,150,150,702547
0,0,411395,36,37,410220
1,0,5540,43,44,3963
0,0,526037,38,39,525222
1,0,115059,160,160,112891
1,0,28472,221,221,26358
1,0,3258,211,211,754
0,0,961848,156,156,959689
1,0,16197,179,179,13717
1,0,1669,47,48,2
1,0,113111,168,168,111105
1,0,81116,4,5,80040
1,0,27218,68,69,24993
0,0,2152465,191,191,2150273
0,0,5726,0,1,3723
1,0,1909430,131,131,1907460
0,0,1835184,67,68,1832923
1,0,67187,210,210,64983
1,0,315631,215,215,313523
1,0,6765,193,193,4204
1,1,1518,59,60,1
0,0,477984,153,153,475453
1,0,19107,105,106,16912
1,0,2336,151,151,3
0,0,468765,84,85,466540
1,0,4334,96,97,1968
1,0,71096,140,140,68619
0,0,909502,75,76,907241
0,0,1116077,155,155,1113876
1,0,62927,152,152,60651
1,0,57522,127,127,55348
0,0,1333,15,16,3
0,0,811009,213,213,808763
0,0,1475,2,3,3
0,0,471716,220,220,470270
0,0,2123600,87,88,2121408
1,0,4215,72,73,1969
0,0,252998,133,133,250869
1,0,6479,137,137,5838
1,0,68193,149,149,66007
