Gender,Profile_Image,Cycle_Base_Cyclist_Id,Cq_Ranking_Male_Cyclist_Id,Instagram_Username,Commons_Category,Social_Media_Followers,Pro_Cycling_Stats_Cyclist_Id,Cyclist_Name,Twitter_Username,Sport_Type,Birth_Place,Uci_Rider_Id,Profession,Weight_Kg,Birth_Date,Sports_Team,Olympedia_People_Id,Last_Name,First_Name,Cycling_Archives_Cyclist_Id,Languages_Spoken,First_Cycling_Rider_Id,Height_Cm,Freebase_Id,Sport_Country
1,24,69190.0,25740.0,18,20,,196424.0,22,21,3,14,112082.0,1,,43,25,,43,22,115868.0,1,38195.0,175.0,38,5
1,27,58428.0,21992.0,26,23,23650.0,168776.0,25,10,3,41,86895.0,1,,41,23,,29,25,77835.0,7,16793.0,179.0,10,5
1,34,15752.0,,0,34,,115135.0,19,15,5,31,26355.0,1,,6,20,,28,19,10851.0,8,,,38,12
1,35,56345.0,20861.0,28,37,2247.0,155558.0,38,16,3,4,86624.0,1,71.0,37,5,,2,37,80972.0,5,16816.0,184.0,9,7
1,40,83295.0,28377.0,30,39,84000.0,212377.0,40,4,3,0,587366.0,1,62.0,49,24,141007.0,10,39,141854.0,7,84019.0,171.0,38,2
1,47,15225.0,2437.0,0,43,,140630.0,44,15,3,39,30369.0,1,68.0,15,32,111612.0,49,43,13510.0,10,147.0,176.0,16,14
1,14,41890.0,17794.0,13,12,16190.0,139904.0,13,2,5,44,68844.0,1,64.0,29,9,145561.0,47,13,52412.0,7,7724.0,187.0,34,11
1,43,7362.0,871.0,0,41,91041.0,140868.0,42,36,2,43,20884.0,1,71.0,4,15,108005.0,19,41,9918.0,7,52.0,190.0,30,12
1,19,19255.0,3891.0,0,15,508772.0,140196.0,16,6,5,10,32532.0,2,71.0,14,12,113194.0,38,16,11292.0,3,716.0,183.0,11,17
1,44,56666.0,18975.0,2,0,32176.0,133024.0,0,0,5,6,70590.0,1,58.0,31,28,133999.0,44,0,65132.0,3,20147.0,172.0,35,17
1,29,48143.0,21971.0,20,26,205449.0,168754.0,28,32,1,18,79462.0,0,,39,1,145562.0,48,28,64280.0,7,16672.0,184.0,37,11
1,23,,26392.0,17,19,,193131.0,21,15,3,28,148275.0,1,69.0,46,3,,30,21,89152.0,7,45363.0,176.0,38,2
1,20,46958.0,13863.0,0,16,,140739.0,17,15,3,27,58761.0,2,72.0,17,15,,27,17,38022.0,6,2982.0,184.0,29,8
1,2,3262.0,387.0,1,1,1397142.0,137456.0,1,24,3,25,518429.0,1,62.0,7,31,111578.0,6,1,1567.0,11,3.0,176.0,26,16
1,19,19255.0,3891.0,0,15,508772.0,140196.0,16,6,5,10,32532.0,2,71.0,14,12,113194.0,38,16,11292.0,3,716.0,183.0,11,17
1,28,43345.0,15281.0,22,24,3825.0,140722.0,26,33,3,38,64941.0,1,72.0,24,13,,17,26,32784.0,7,6246.0,178.0,33,1
1,0,28095.0,12823.0,31,40,,137337.0,41,17,5,1,58891.0,2,71.0,20,6,123794.0,8,40,34412.0,3,2322.0,182.0,20,0
1,9,92428.0,32221.0,12,4,,238711.0,5,1,3,22,490235.0,1,,51,18,,45,5,130986.0,7,113439.0,182.0,38,12
1,8,55192.0,19941.0,38,49,31137.0,135398.0,50,40,3,15,86228.0,1,75.0,25,27,,21,49,59790.0,7,10971.0,180.0,4,2
1,36,38259.0,13066.0,0,28,26443.0,140384.0,30,26,3,9,62919.0,1,72.0,21,30,,24,30,39964.0,3,2211.0,178.0,25,0
1,48,11585.0,1994.0,36,47,569371.0,140778.0,48,39,3,26,28378.0,1,65.0,8,2,111576.0,26,47,13069.0,6,133.0,181.0,28,8
1,30,15997.0,67.0,0,27,,140418.0,29,15,3,11,12711.0,1,74.0,0,31,,39,29,7526.0,6,184.0,181.0,27,8
1,6,69634.0,26526.0,34,44,5000.0,194619.0,45,20,3,19,149727.0,1,66.0,47,17,146565.0,31,44,115790.0,10,45992.0,176.0,38,14
