Profession,ProfileImage,BirthDate,CycleBaseCyclistId,CqRankingMaleCyclistId,LastName,FirstName,FirstCyclingRiderId,HeightCm,CommonsCategory,ProCyclingStatsCyclistId,BirthPlace,CyclistName,UciRiderId,CyclistDescription,CyclingArchivesCyclistId
1,16,44,65688.0,24926.0,4,14,58275.0,175.0,13,198937.0,48,14,95844.0,7,100412.0
1,34,5,,,28,4,,,34,115140.0,31,4,26245.0,25,10521.0
1,26,1,7153.0,544.0,18,27,547.0,190.0,25,140516.0,8,27,12974.0,1,7364.0
1,15,23,44733.0,16677.0,9,46,2324.0,185.0,46,140118.0,24,47,73892.0,14,64982.0
1,42,32,41892.0,19165.0,37,33,11313.0,184.0,32,137797.0,47,34,66315.0,14,43238.0
1,6,47,69634.0,26526.0,31,44,45992.0,176.0,44,194619.0,19,45,149727.0,28,115790.0
1,1,9,7764.0,1237.0,20,12,706.0,183.0,11,140800.0,17,12,29164.0,30,10911.0
1,39,18,56041.0,20719.0,32,38,18655.0,177.0,38,174582.0,40,39,88889.0,29,72449.0
1,37,28,39004.0,,11,35,89540.0,,35,138497.0,35,36,66298.0,16,60878.0
1,24,43,69190.0,25740.0,43,22,38195.0,175.0,20,196424.0,14,22,112082.0,9,115868.0
1,27,41,58428.0,21992.0,29,25,16793.0,179.0,23,168776.0,41,25,86895.0,11,77835.0
1,34,6,15752.0,,28,19,,,34,115135.0,31,19,26355.0,26,10851.0
1,35,37,56345.0,20861.0,2,37,16816.0,184.0,37,155558.0,4,38,86624.0,19,80972.0
1,40,49,83295.0,28377.0,10,39,84019.0,171.0,39,212377.0,0,40,587366.0,3,141854.0
1,47,15,15225.0,2437.0,49,43,147.0,176.0,43,140630.0,39,44,30369.0,35,13510.0
1,14,29,41890.0,17794.0,47,13,7724.0,187.0,12,139904.0,44,13,68844.0,14,52412.0
1,43,4,7362.0,871.0,19,41,52.0,190.0,41,140868.0,43,42,20884.0,34,9918.0
2,19,14,19255.0,3891.0,38,16,716.0,183.0,15,140196.0,10,16,32532.0,33,11292.0
1,44,31,56666.0,18975.0,44,0,20147.0,172.0,0,133024.0,6,0,70590.0,6,65132.0
0,29,39,48143.0,21971.0,48,28,16672.0,184.0,26,168754.0,18,28,79462.0,13,64280.0
1,23,46,,26392.0,30,21,45363.0,176.0,19,193131.0,28,21,148275.0,3,89152.0
2,20,17,46958.0,13863.0,27,17,2982.0,184.0,16,140739.0,27,17,58761.0,22,38022.0
1,2,7,3262.0,387.0,6,1,3.0,176.0,1,137456.0,25,1,518429.0,32,1567.0
2,19,14,19255.0,3891.0,38,16,716.0,183.0,15,140196.0,10,16,32532.0,33,11292.0
1,28,24,43345.0,15281.0,17,26,6246.0,178.0,24,140722.0,38,26,64941.0,2,32784.0
2,0,20,28095.0,12823.0,8,40,2322.0,182.0,40,137337.0,1,41,58891.0,0,34412.0
1,9,51,92428.0,32221.0,45,5,113439.0,182.0,4,238711.0,22,5,490235.0,3,130986.0
1,8,25,55192.0,19941.0,21,49,10971.0,180.0,49,135398.0,15,50,86228.0,3,59790.0
1,36,21,38259.0,13066.0,24,30,2211.0,178.0,28,140384.0,9,30,62919.0,0,39964.0
1,48,8,11585.0,1994.0,26,47,133.0,181.0,47,140778.0,26,48,28378.0,24,13069.0
1,30,0,15997.0,67.0,39,29,184.0,181.0,27,140418.0,11,29,12711.0,35,7526.0
1,6,47,69634.0,26526.0,31,44,45992.0,176.0,44,194619.0,19,45,149727.0,28,115790.0
