Entity_Type,Genomic_End_Position,Gene_Id,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
0,8377941,64,64,1,8377093,1
0,21033305,146,146,0,21032577,1
0,21840929,150,150,0,21839502,1
1,8706530,69,69,2,8704372,0
0,448516,3,3,15,445739,0
0,1005104,7,7,1,1003707,1
0,5764705,46,46,1,5763288,1
0,20567359,142,142,0,20566544,1
0,13953853,104,104,0,13952477,0
0,1044324,9,9,4,1043726,0
0,18150907,130,130,4,18149782,1
0,7207112,57,57,0,7205454,1
0,20915947,145,145,0,20914958,1
0,14201412,107,107,20,14200354,1
0,19133424,138,138,0,19132048,1
0,22586503,152,152,7,22583996,1
0,6170322,49,49,1,6168823,1
0,5212347,42,42,0,5211163,1
0,10790484,83,83,0,10789222,0
0,4756236,38,38,4,4754812,0
0,19032389,136,136,0,19030515,1
0,24324304,161,161,1,24323249,0
0,18449802,132,132,1,18448896,0
0,5646569,45,45,0,5645517,0
0,4431456,36,36,25,4430512,1
0,8662629,68,68,0,8661322,0
0,1565906,12,12,4,1564519,1
0,5596435,44,44,1,5595701,0
0,17542792,125,125,1,17541345,0
0,24075061,159,159,1,24073248,1
0,13813861,102,102,0,13812362,0
0,3098509,26,26,0,3097631,0
0,17214370,122,122,15,17212826,1
0,23718778,156,156,1,23717642,0
0,9294,164,164,13,6891,1
0,4910787,40,40,4,4909550,1
0,15742919,116,116,0,15740403,1
0,13816694,103,103,15,13815414,0
0,16024976,117,117,7,16024497,0
0,10514318,80,80,0,10512900,0
0,9311660,77,77,0,9310200,0
0,11655236,90,90,0,11654436,1
0,8661219,67,67,0,8660182,0
0,7303713,58,58,4,7302490,1
0,12567288,95,95,1,12566661,1
0,24717108,162,162,1,24715475,1
0,1471242,11,11,1,1469688,1
0,21107478,147,147,1,21106076,0
0,7009171,56,56,1,7008393,1
0,10634319,82,82,0,10632709,1
0,1005618,8,8,1,1005001,1
1,8987276,72,72,3,8985246,0
0,20286216,140,140,4,20285100,1
0,10429864,79,79,4,10428729,1
