Gene_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Genomic_Start_Position,Strand_Orientation
0,0,1337382,270,270,1335682,0
0,0,1973,1,1,3,1
1,0,9934,89,89,6965,1
0,0,3158,6,6,342,1
1,0,648458,161,161,645735,0
0,0,31215,302,302,30121,1
1,0,1175229,147,147,1172704,0
0,0,2772,318,318,301,1
1,0,265804,201,201,263906,0
0,0,496864,170,170,494066,0
1,0,1709527,109,109,1707056,1
1,0,905310,39,39,902803,0
1,0,5025,158,158,2677,1
1,0,474181,192,192,471830,0
0,0,20670,140,140,18052,1
0,0,1434052,155,155,1432280,0
1,0,2327020,264,264,2324351,0
1,0,30617,150,150,28410,1
0,0,750304,209,209,747923,0
1,0,10460,78,78,8049,1
1,0,754760,205,205,752910,0
1,0,6217,319,319,3602,1
1,0,396132,246,246,393928,0
1,0,128705,207,207,127131,1
1,0,496021,27,27,493463,0
1,0,56619,316,316,53854,1
0,0,4421,32,32,3684,1
0,0,117865,211,211,115973,1
0,0,6529,157,157,4547,1
1,0,174847,194,194,172793,1
1,0,8963,175,175,6399,1
0,0,6840,286,286,3826,0
0,0,34372,2,2,33320,1
1,0,110366,250,250,107442,1
1,0,7278,98,98,4399,0
0,0,67475,297,297,65139,1
0,0,1140600,196,196,1138639,0
1,0,1174681,77,77,1172813,0
1,0,1443,20,20,1,1
0,0,7112,284,284,4374,1
1,0,1113039,296,296,1110685,1
1,0,7245,291,291,4687,1
1,0,12451,174,174,9695,1
0,0,2274,51,51,1,0
1,0,2194888,108,108,2192474,1
1,0,16715,186,186,14439,1
0,0,729858,200,200,727477,0
1,0,214887,307,307,212992,0
1,0,44770,26,26,42977,1
1,0,56555,324,324,54387,1
1,0,18751,111,111,16475,1
1,0,2149200,266,266,2146741,0
1,0,3783,87,87,1453,1
1,0,596370,278,278,593812,0
1,0,19819,124,124,16985,1
0,0,392186,224,224,389424,0
0,0,36463,118,118,33455,1
0,0,447897,287,287,446350,0
0,0,598524,95,95,596251,0
1,0,342240,154,154,339421,1
1,0,107280,49,49,104554,0
1,0,2892,68,68,97,0
0,0,478312,10,10,477440,0
1,0,46833,76,76,44356,0
1,0,670094,37,37,667467,0
0,0,2028848,178,178,2027736,0
1,0,68416,262,262,66416,1
1,0,4460,129,129,2295,0
0,0,553364,251,251,550602,0
1,0,201254,159,159,198909,0
0,0,851849,122,122,849015,0
1,0,3538,293,293,857,1
1,0,12394,305,305,9605,0
0,0,748745,35,35,745776,0
1,0,14564,61,61,12819,1
0,0,39476,269,269,36720,1
1,0,13956,215,215,10954,0
1,0,68621,191,191,67503,1
0,0,645301,277,277,642806,0
1,0,5678,130,130,4257,1
1,0,458839,17,17,457553,0
0,0,811998,312,312,810235,0
0,0,38223,31,31,36197,1
0,0,968,8,8,3,0
1,3,11541,326,326,8509,1
1,0,9121,289,289,6152,1
1,0,582104,239,239,579438,0
1,0,79885,230,230,77750,1
1,0,2982,72,72,445,1
1,0,22938,88,88,21226,1
1,0,1573917,167,167,1571158,0
0,0,531490,33,33,528650,0
0,0,4734,125,125,2191,0
1,0,710712,199,199,708220,0
0,0,367390,216,216,364778,0
0,0,966472,30,30,963723,0
0,0,18183,234,234,15433,0
1,0,4073,5,5,1218,0
1,0,15577,71,71,12521,1
1,0,2071578,165,165,2068987,0
1,0,27589,110,110,25172,0
0,0,4119,43,43,967,1
1,0,27235,149,149,24623,1
1,0,783456,81,81,780772,0
0,0,11142,113,113,8839,1
1,0,242630,120,120,239769,1
1,0,10610,172,172,8169,1
1,0,106204,281,281,104012,1
1,0,16963,48,48,14936,0
0,0,1171911,148,148,1168945,0
1,0,577397,7,7,576201,0
1,0,1820,9,9,189,0
1,0,485801,34,34,483723,0
1,0,26744,325,325,24147,1
1,0,619021,153,153,617285,0
0,0,13820,29,29,12766,1
1,0,2325261,42,42,2323705,0
1,0,10910,91,91,8910,0
1,0,639965,258,258,637563,0
