script_type,name_distinction,alternative_name,name_type,name_description,caverphone_code,language,commons_category,nederlandse_voornamenbank_id,nominis_given_name_id,native_name,soundex_code
1,85,83,1,3,70,11,88,57,46,88,60
1,47,49,1,3,85,17,50,49,62,50,52
1,7,6,1,3,11,6,7,3,62,6,6
1,63,71,0,0,50,5,68,45,62,67,42
1,9,7,1,3,10,6,9,5,55,8,5
1,61,58,1,3,50,11,65,42,35,64,42
1,89,87,1,3,73,11,93,60,51,93,66
1,84,84,1,3,70,13,87,56,2,87,60
1,68,71,1,2,53,12,74,49,62,73,51
1,20,14,0,0,30,2,21,14,32,20,12
1,52,57,1,3,39,8,56,35,10,56,37
1,72,72,1,3,3,18,75,50,28,75,53
1,54,39,1,3,45,17,58,36,27,57,44
1,82,71,1,3,67,12,85,49,62,85,61
1,2,2,1,3,13,11,2,1,43,2,2
1,30,25,1,3,23,8,30,19,17,30,22
1,90,97,1,3,74,10,94,61,62,94,70
1,38,47,1,3,0,15,41,27,62,41,30
1,19,15,1,3,36,5,20,13,8,19,14
1,92,90,2,8,78,0,96,63,34,96,69
1,44,44,1,3,87,6,47,30,15,47,34
1,50,54,1,3,40,11,53,49,62,53,39
1,81,80,1,3,66,13,84,49,62,84,52
1,71,36,1,3,7,8,39,25,61,39,29
1,71,52,0,0,42,11,55,49,44,55,38
1,14,95,1,3,56,6,14,9,42,13,10
1,99,33,1,3,81,6,102,65,60,102,74
1,36,46,1,3,8,9,38,24,14,38,28
1,32,30,1,3,34,11,32,21,16,32,25
1,67,64,1,3,44,11,74,49,62,71,41
1,18,12,1,3,31,6,19,12,56,18,15
1,17,13,1,3,31,17,18,11,58,17,15
1,41,42,1,3,87,8,44,49,62,44,34
1,87,88,1,3,72,7,91,58,29,91,67
1,91,89,1,3,76,7,95,62,36,95,69
1,58,68,0,0,49,2,59,49,62,58,48
1,29,26,1,3,24,6,29,18,18,28,22
1,23,18,1,3,79,17,24,15,62,23,17
1,27,22,1,3,15,11,27,49,62,26,19
1,3,3,1,3,6,17,3,49,62,3,3
1,68,71,1,2,53,12,74,49,62,73,51
1,0,0,1,3,16,3,0,0,33,0,1
1,46,48,1,3,89,5,49,32,19,49,32
1,23,18,1,3,79,17,24,15,62,23,17
1,74,76,1,3,57,11,77,49,50,77,57
0,53,56,0,1,55,14,57,49,62,109,52
1,46,48,1,3,89,5,49,32,19,49,32
1,18,12,1,3,31,6,19,12,56,18,15
1,79,77,1,3,60,8,82,54,20,82,59
1,32,30,1,3,34,11,32,21,16,32,25
1,88,86,1,3,71,17,92,59,62,92,68
1,2,2,1,3,13,11,2,1,43,2,2
1,59,62,1,3,50,12,63,40,62,62,42
1,5,4,1,3,4,5,5,2,62,4,3
1,68,71,1,2,53,12,74,49,62,73,51
1,43,45,1,3,83,2,46,49,9,46,33
1,17,13,1,3,31,17,18,11,58,17,15
1,71,35,0,0,38,5,37,23,62,37,26
1,48,16,1,3,27,6,51,33,6,51,36
1,69,71,1,3,54,12,72,49,62,72,50
1,15,83,1,3,59,6,16,10,3,15,8
1,86,85,1,3,69,12,89,49,1,89,65
1,33,28,0,0,29,11,33,49,49,33,27
1,77,78,1,3,62,4,80,53,21,80,55
1,16,50,0,0,32,10,17,49,41,16,13
1,11,9,1,3,2,4,11,7,62,10,0
1,75,75,1,3,64,8,78,51,25,78,56
1,51,55,1,3,40,9,54,49,62,54,39
1,1,1,1,3,12,12,1,49,62,1,2
1,31,27,1,3,25,5,31,20,62,31,21
1,91,89,1,3,76,7,95,62,36,95,69
1,6,3,1,3,5,8,6,49,4,5,3
1,28,23,1,3,21,9,28,17,62,27,20
1,8,5,2,8,9,6,8,4,26,7,4
1,56,69,1,3,43,17,61,38,62,60,46
1,71,81,2,8,55,12,90,49,62,90,64
1,91,89,1,3,76,7,95,62,36,95,69
1,45,29,1,3,88,6,48,31,31,48,35
1,19,15,1,3,36,5,20,13,8,19,14
1,71,31,1,3,28,11,34,49,62,34,23
1,21,51,1,3,33,8,22,49,11,21,52
1,10,8,1,3,9,5,10,6,0,9,7
1,37,38,1,3,1,13,40,26,7,40,31
1,80,79,0,0,67,16,83,55,12,83,63
1,88,86,1,3,71,17,92,59,62,92,68
1,72,72,1,3,3,18,75,50,28,75,53
1,78,24,1,3,18,8,81,49,39,81,58
1,33,28,0,0,29,11,33,49,49,33,27
1,35,34,1,3,37,17,36,49,62,36,24
0,37,37,1,7,55,14,40,49,62,108,52
1,3,3,1,3,6,17,3,49,62,3,3
1,71,71,1,3,47,5,67,44,62,66,47
1,63,71,0,0,50,5,68,45,62,67,42
1,60,61,0,0,51,5,64,41,37,63,43
1,37,38,1,3,1,13,40,26,7,40,31
1,71,36,1,3,7,8,39,25,61,39,29
1,8,5,2,8,9,6,8,4,26,7,4
1,57,59,0,0,46,6,62,39,23,61,45
