StrandOrientation,GenomicEndPosition,GeneDbId,EncodedProtein,GenomicStartPosition
0,42175,386,4,41594
0,1079,130,2,750
0,382637,59,4,382086
1,35038,306,4,34388
0,410050,253,4,409331
1,13194,351,3,12661
1,641578,83,4,640880
1,320021,423,4,319437
0,70385,303,4,69732
0,2893,384,4,2228
1,36160,21,4,35462
1,628319,188,3,627354
0,978860,281,1,978390
0,288480,178,4,287506
0,331967,157,4,331098
0,467996,366,4,467418
0,1344856,203,4,1344239
0,340144,413,4,339536
0,218124,170,4,217234
1,11303,52,4,10641
1,12594,202,4,11959
1,789660,155,4,789061
1,855201,25,4,854569
1,873,6,4,262
0,16035,344,4,15472
1,301818,284,4,301183
1,281,11,5,3
0,578960,77,4,578253
0,1665163,31,4,1664528
1,538452,149,4,537880
0,278450,249,4,277617
0,473006,259,4,472107
1,10738,169,4,10142
0,15631,124,1,14972
1,2130876,105,4,2130250
0,750998,205,4,750414
1,497850,299,4,497083
1,653543,84,4,652923
1,698962,98,4,698387
1,350824,414,2,350453
1,584282,136,4,583626
0,425782,145,2,425384
0,1183104,328,4,1182499
0,160801,403,4,160181
1,6106,95,4,5495
0,393310,287,4,392783
1,514088,298,4,513441
1,667099,5,4,666332
0,244449,293,4,243556
0,223254,294,4,222562
0,260483,180,4,259935
0,1069989,198,4,1069351
1,198335,44,4,197730
1,1235855,191,2,1235211
0,1109266,398,4,1108595
0,6197,387,4,5628
1,38888,79,4,38181
0,2159962,329,4,2159390
0,1411596,23,4,1410949
1,2152710,106,4,2152117
0,22912,60,2,22523
1,2442,290,4,1612
1,673589,189,4,672981
0,1671935,119,3,1671336
0,11230,375,4,10535
0,1875155,225,4,1874526
1,311313,422,4,310645
1,274287,176,4,273715
0,433446,210,4,432955
1,36542,385,4,35961
0,541203,104,4,540331
1,375081,122,4,374536
1,1134002,408,4,1133424
0,1473130,88,4,1472456
0,1261581,327,3,1260970
0,1121,3,4,531
0,405277,144,4,404699
1,1581481,220,4,1580900
1,1049,289,4,204
1,327963,424,4,327337
0,1392058,311,4,1391459
0,253089,181,4,252442
0,897457,278,4,896894
1,358436,283,2,358038
1,782,48,4,129
1,371048,282,4,370350
0,1932015,107,4,1931470
1,7470,274,4,6853
1,76266,285,4,75574
1,16265,14,4,15666
1,605996,244,4,605367
0,332148,411,4,331510
0,844685,369,3,844098
1,1790185,226,4,1789544
1,617680,239,4,617066
0,17055,50,4,16375
0,1591262,333,4,1590720
0,31626,358,4,31012
0,67780,415,4,67067
0,425359,254,4,424565
0,281837,182,4,281250
0,1169771,349,4,1169145
1,1192370,318,4,1191744
0,18926,390,4,18276
1,2103139,227,4,2102468
1,1094415,321,4,1093786
0,59685,51,4,58891
1,395098,43,4,394403
0,128464,416,2,128075
1,1132814,320,4,1132212
0,385637,22,3,384969
0,26079,168,4,25390
0,567879,382,2,567310
1,190891,67,4,190256
1,7816,172,4,6941
1,756041,100,4,755460
1,1653046,113,4,1652444
0,7200,138,4,6637
0,17644,350,4,17072
1,388432,199,2,388043
0,1001979,96,4,1001410
0,1611491,332,4,1610868
1,6125,12,4,5631
0,1806636,339,4,1806064
1,1150552,317,4,1149983
1,377041,364,4,376496
0,389569,255,4,388676
0,1212108,314,4,1211533
1,1793869,335,4,1793264
1,1559,53,4,987
0,421453,417,4,420860
0,410649,146,2,410251
1,2936,1,3,2637
0,690105,152,3,689434
0,7534,345,2,7151
0,8892,377,4,8245
0,237931,291,4,237338
0,615493,18,4,614912
0,253619,174,4,252897
0,244194,184,4,243160
0,1176204,399,4,1175530
1,668902,153,4,668282
1,22995,308,2,22609
1,47042,80,4,46335
1,3660,200,4,3085
1,462219,365,4,461563
0,10321,129,4,9749
1,1773473,336,3,1772775
1,1368555,312,4,1367977
1,170789,69,4,170208
1,44727,395,3,44119
0,917604,279,4,916954
0,7294,267,4,6638
0,6256,133,2,5888
1,633393,82,4,632488
1,1947,16,3,1330
0,1604078,116,4,1603452
1,219644,72,4,218985
1,1579,4,4,1004
0,462632,143,4,462006
0,1707,379,4,1054
0,555039,78,4,554104
1,891600,277,1,891058
1,522983,297,4,522417
0,897652,246,4,897068
0,445439,137,4,444747
0,5761,376,4,5141
0,407298,187,4,406639
1,95645,65,4,95094
1,296809,421,4,296102
1,438791,34,4,438168
0,296422,250,4,295724
1,311595,412,2,311224
1,39701,54,4,39237
0,22510,56,3,21845
0,262228,39,4,261515
1,603114,243,4,602248
0,610905,160,4,610333
0,862102,247,3,861431
0,8700,17,4,8095
1,1439745,91,4,1439215
1,9539,201,4,8904
0,367683,158,4,367096
0,11825,47,4,11139
0,406686,142,4,406078
0,32545,268,4,31979
0,2027,41,4,1341
0,465000,355,4,464038
1,874302,280,3,873739
0,1522297,87,4,1521722
0,456160,324,4,455483
0,9111,134,2,8734
0,478938,103,4,478315
1,494817,207,4,494134
0,21792,347,4,21193
1,649380,242,4,648745
0,499409,367,3,498789
1,13606,237,4,12851
0,551183,233,2,550740
0,53116,397,5,52718
0,302673,251,4,302005
1,633183,240,2,632827
0,1148872,410,4,1148204
0,548259,147,2,547909
1,627298,101,4,626603
1,555039,429,4,554545
0,269583,420,4,268954
0,1587490,217,4,1586741
1,1038285,195,4,1037734
0,266589,179,4,265723
0,21892,341,4,21179
1,400683,58,4,400036
0,1863,45,4,1279
1,564291,151,4,563632
1,1722444,340,4,1721857
1,1850809,110,4,1850192
1,1081012,406,4,1080440
0,217404,24,4,216745
1,2115566,27,4,2114982
0,10783,236,4,10139
0,266951,177,4,266226
0,643220,204,4,642618
1,238595,175,4,237978
1,174019,66,4,173294
1,33533,391,4,32910
0,66227,305,4,65685
1,1032696,196,4,1032121
1,1279824,192,4,1279111
0,549268,75,4,548651
0,1738968,29,3,1738420
1,110877,159,5,110344
1,44362,304,3,43754
1,375323,426,4,374682
0,1871216,109,4,1870641
0,48963,359,4,48349
1,57983,64,4,57381
0,559332,148,2,558976
1,21243,15,4,20602
1,807869,26,3,807330
0,17246,272,4,16593
1,11667,265,4,10975
1,1182146,316,4,1181541
0,777907,154,4,777242
0,474095,356,4,473496
0,548591,232,2,548190
1,1654543,32,4,1654004
0,15815,362,4,15231
1,417430,209,4,416753
0,50225,396,4,49587
0,23909,363,4,23259
0,1886263,224,4,1885670
0,1420673,92,4,1420101
0,1628056,218,4,1627475
1,5356,352,4,4736
0,272757,183,4,271798
0,422988,186,4,422386
0,431207,427,4,430704
0,563485,94,2,563114
1,1739,7,4,1236
0,488252,257,4,487683
0,2141017,330,4,2140400
0,305429,373,4,304515
1,210445,139,3,209840
1,636879,163,4,636250
1,2091750,38,4,2091055
0,211634,419,5,211245
1,34921,273,4,34262
1,1570983,121,4,1570405
0,596495,164,4,595866
1,3008,167,4,2760
1,491431,300,4,490859
0,458814,354,4,458125
0,283286,425,4,282588
0,11424,42,3,10828
1,1306828,214,4,1306226
0,14571,378,4,14272
0,9261,131,4,8539
0,70633,61,4,70109
0,1677970,118,4,1677395
1,566496,301,4,565864
0,1200244,315,4,1199621
1,8071,393,4,7124
1,631273,162,4,630704
0,1299223,190,4,1298663
0,1337715,216,3,1337152
1,893116,245,3,892445
1,102031,0,4,101630
0,452612,288,4,451995
1,542828,295,4,542232
0,2067976,37,4,2067425
1,632235,86,4,631654
0,253563,292,4,252895
1,1060193,194,4,1059636
1,54130,400,4,53294
1,225709,70,3,225092
0,2016292,331,4,2015537
0,55031,271,4,54300
1,42738,392,4,42403
0,683253,99,4,682675
1,930600,248,4,929947
0,510533,431,4,509916
1,1637787,114,4,1637185
0,602022,165,4,601444
0,9693,361,4,9067
0,325661,372,4,325122
0,85370,63,4,84681
0,482096,260,4,481446
0,152203,402,4,151562
1,1348,171,4,512
0,459742,256,4,459083
1,8984,262,4,8412
0,285006,252,4,284026
0,786,374,4,88
0,521226,213,4,520573
1,1896,261,4,1198
0,423275,208,4,422700
0,297265,230,4,296609
0,413954,418,4,413337
1,3185,166,4,2544
0,410431,185,4,409799
1,717564,275,4,716974
0,497547,258,4,496699
0,1973331,334,4,1972666
1,9993,35,4,9376
0,12963,343,4,12349
1,1274037,193,4,1273459
1,2090413,221,3,2089832
1,203566,71,2,203195
1,641268,241,4,640657
0,1749740,337,4,1749048
1,537100,296,4,536468
0,4555,135,4,3962
0,1078119,197,4,1077559
0,567898,125,2,567485
1,6670,234,4,6140
0,55203,81,4,54550
0,288418,229,4,287768
0,165971,20,4,165327
1,627125,85,4,626559
0,1646736,219,4,1646206
1,11470,49,2,11081
1,661517,2,4,660867
