GeneInstanceType,GenomicEndPosition,GeneLabel,ChromosomeLocation,GeneDbId,GeneSubclass,EncodedProtein,OrthologousGene,GenomicStartPosition,StrandOrientation
0,13667314,184,2,184,0,4,1,13666319,0
1,14830154,197,2,197,1,4,2,14829021,1
1,11923602,157,2,157,1,4,8,11922572,0
0,9900372,121,2,121,0,4,3,9899356,1
0,2822219,31,2,31,0,4,1,2821179,1
0,8790106,111,2,111,0,4,1,8789078,1
1,11297800,147,2,147,1,4,2,11296739,1
0,15489415,213,2,213,0,4,3,15488432,0
0,59537,0,2,0,0,4,1,58254,1
0,5883590,78,2,78,0,4,1,5882568,0
0,3176182,39,2,39,0,4,3,3175151,0
0,7897630,101,2,101,0,4,1,7896578,0
0,1472,222,1,222,0,2,4,486,0
0,13936712,187,2,187,0,4,3,13935648,0
0,5847896,76,2,76,0,4,1,5846877,0
0,2920896,35,2,35,0,4,3,2919856,1
0,9964559,123,2,123,0,4,1,9963528,1
0,4463050,58,2,58,0,4,1,4462001,0
0,12243235,160,2,160,0,4,3,12242201,0
0,2610070,23,2,23,0,0,1,2609618,1
0,15158519,198,2,198,0,4,1,15157458,1
1,417139,3,2,3,1,9,2,416217,1
1,10514997,130,2,130,1,4,8,10513960,1
1,11866115,154,2,154,1,4,8,11865042,1
0,15394076,208,2,208,0,4,1,15393006,1
0,6172949,83,2,83,0,4,1,6171900,0
0,5424403,66,2,66,0,4,1,5423372,1
0,4722229,61,2,61,0,7,1,4721465,1
0,7603987,98,2,98,0,4,1,7602974,1
0,3162199,38,2,38,0,4,1,3161144,0
0,5267560,65,2,65,0,4,1,5266538,1
0,484416,4,2,4,0,4,3,483379,0
0,1004471,8,2,8,0,4,1,1003449,0
0,3423184,44,2,44,0,4,3,3422180,1
0,5100506,64,2,64,0,4,3,5099562,0
0,7716955,100,2,100,0,3,1,7716260,0
0,1077793,12,2,12,0,4,1,1076726,1
1,10142961,126,2,126,1,4,2,10142038,1
0,4111482,54,2,54,0,4,3,4110442,1
0,15673392,216,2,216,0,4,3,15672376,0
0,7984382,102,2,102,0,4,1,7983354,0
0,15267586,205,2,205,0,4,1,15266558,0
1,13411218,177,2,177,1,4,8,13409911,0
0,15414841,209,2,209,0,4,3,15413789,1
0,3700998,47,2,47,0,4,1,3699940,0
0,14064855,189,2,189,0,3,1,14064382,1
0,3178687,40,2,40,0,4,1,3177749,0
0,5934829,80,2,80,0,3,3,5934188,0
0,3084352,36,2,36,0,4,3,3083339,1
1,15162378,199,2,199,1,4,2,15161341,1
0,10674708,133,2,133,0,4,1,10673665,0
1,15165420,200,2,200,1,4,8,15164305,1
0,11282491,146,2,146,0,1,1,11281705,1
0,11083412,144,2,144,0,0,3,11082702,0
0,10443593,129,2,129,0,4,1,10442556,0
0,3399964,43,2,43,0,4,1,3398924,0
1,2862055,34,2,34,1,4,2,2861071,1
0,13661537,183,2,183,0,4,1,13660515,1
1,14825310,196,2,196,1,4,2,14824249,1
0,1234497,15,2,15,0,4,1,1233469,0
0,9718183,120,2,120,0,4,1,9717146,0
1,11415026,148,2,148,1,4,2,11413865,1
0,15238298,201,2,201,0,1,1,15237602,1
0,8971478,112,2,112,0,4,1,8970528,0
1,7622452,99,2,99,1,8,8,7621428,0
0,9056363,114,2,114,0,4,1,9055323,0
0,5645777,73,2,73,0,4,1,5644764,1
0,5095622,63,2,63,0,4,1,5094597,0
1,12934241,168,2,168,1,4,8,12933154,1
0,6972343,91,2,91,0,4,1,6971264,0
0,16053176,220,2,220,0,4,1,16052157,0
0,1105831,14,2,14,0,4,1,1104776,1
0,11087969,145,2,145,0,4,3,11086974,0
0,4105134,53,2,53,0,4,1,4104049,1
0,5887238,79,2,79,0,4,1,5886189,0
0,15475077,211,2,211,0,0,3,15474151,1
0,5801210,75,2,75,0,4,1,5800161,1
