Strand_Orientation,Genomic_End_Position,Gene_Id,Gene_Db_Id,Encoded_Protein,Gene_Type,Genomic_Start_Position
1,12488986,94,94,2,0,12486822
1,6016720,47,47,2,0,6015477
1,1662089,13,13,5,0,1659698
0,14766244,110,110,20,0,14765282
1,11473094,87,87,1,0,11472201
1,2912105,22,22,1,0,2911437
0,938369,5,5,2,0,937674
0,24218799,160,160,1,0,24217882
0,18449802,131,131,2,0,18448896
0,421354,1,1,11,0,418907
1,2597044,17,17,14,0,2596686
1,22586503,151,151,8,0,22583996
1,23902858,158,158,2,0,23901544
1,15431493,114,114,10,0,15429022
1,42748,167,167,14,0,41047
1,2862968,21,21,5,0,2861630
0,11737964,91,91,2,0,11736173
1,16835079,119,119,22,0,16833925
1,23866829,157,157,2,0,23865703
1,16416071,118,118,21,0,16413631
1,11600931,89,89,2,0,11599714
0,563875,4,4,6,1,561461
0,6088421,48,48,1,0,6085950
0,13013122,98,98,1,0,13011857
1,16920482,120,120,18,0,16919435
1,19133424,137,137,1,0,19132048
1,6835,163,163,14,0,4667
0,21703774,148,148,2,0,21701900
1,17627223,126,126,2,0,17625592
0,6956172,55,55,2,0,6955569
1,18038313,128,128,2,0,18037247
0,6283351,50,50,2,0,6282458
1,4102721,33,33,12,0,4101290
0,14476110,109,109,3,1,14473687
1,3312359,29,29,1,0,3311109
1,12849258,97,97,2,0,12848426
0,2003214,14,14,5,0,2002366
0,17542792,124,124,2,0,17541345
1,17122877,121,121,5,0,17120601
1,8297673,63,63,2,0,8296462
1,3235158,28,28,2,0,3233849
1,20286216,139,139,5,0,20285100
1,4365383,35,35,23,0,4363173
0,9136441,73,73,13,1,9134295
0,17643761,127,127,2,0,17642746
0,3802426,32,32,13,1,3800009
1,15463044,115,115,0,1,15461240
1,40361,166,166,17,1,37650
1,10601584,81,81,2,0,10600723
1,5210452,41,41,25,0,5209340
1,13980614,106,106,2,0,13979644
1,21840929,149,149,1,0,21839502
1,18150907,129,129,5,0,18149782
0,23311866,153,153,2,0,23310921
1,4622430,37,37,23,0,4620634
0,8068432,62,62,2,0,8066724
0,3049161,23,23,25,0,3048399
0,424362,2,2,22,0,423166
1,10835283,85,85,1,0,10832824
1,8836279,71,71,7,1,8834339
1,8377941,64,64,2,0,8377093
0,21107478,146,146,2,0,21106076
1,22342311,150,150,1,0,22341328
0,8706530,69,69,3,1,8704372
0,448516,3,3,16,0,445739
1,1005104,7,7,2,0,1003707
1,5764705,46,46,2,0,5763288
0,20600592,142,142,1,0,20599396
0,13953853,104,104,1,0,13952477
0,1044324,9,9,5,0,1043726
0,18233087,130,130,1,0,18230676
1,7207112,57,57,1,0,7205454
1,21033305,145,145,1,0,21032577
1,14201412,107,107,22,0,14200354
0,19361160,138,138,2,0,19359904
0,22800650,152,152,1,0,22799643
1,6170322,49,49,2,0,6168823
1,5212347,42,42,1,0,5211163
0,10790484,83,83,1,0,10789222
0,4756236,38,38,5,0,4754812
1,19131431,136,136,11,0,19128978
0,24324304,161,161,2,0,24323249
0,18526135,132,132,1,0,18525296
0,5646569,45,45,1,0,5645517
1,4431456,36,36,27,0,4430512
0,8662629,68,68,1,0,8661322
1,1565906,12,12,5,0,1564519
0,5596435,44,44,2,0,5595701
0,17573162,125,125,1,0,17572161
1,24075061,159,159,2,0,24073248
0,13813861,102,102,1,0,13812362
0,3098509,26,26,1,0,3097631
1,17383110,122,122,5,0,17381675
0,23718778,156,156,2,0,23717642
1,9294,164,164,14,0,6891
1,4910787,40,40,5,0,4909550
1,15945723,116,116,2,0,15943858
0,13816694,103,103,16,0,13815414
0,16025845,117,117,8,0,16025135
0,10514318,80,80,1,0,10512900
0,9311660,77,77,1,0,9310200
1,11655236,90,90,1,0,11654436
0,8661219,67,67,1,0,8660182
1,7303713,58,58,5,0,7302490
1,12567288,95,95,2,0,12566661
1,24717108,162,162,2,0,24715475
1,1471242,11,11,2,0,1469688
1,21368024,147,147,2,0,21366772
1,7009171,56,56,2,0,7008393
1,10634319,82,82,1,0,10632709
1,1005618,8,8,2,0,1005001
0,8987276,72,72,4,1,8985246
0,20333137,140,140,1,0,20331131
1,10429864,79,79,5,0,10428729
