SportType,StageLabel,HostCountry,ProCyclingStatsRaceId,StartLocation,StageType,StageWinner,RaceEvent,NextStage,StageDate,PreviousStage,StageNumber,GeneralClassificationLeader,StageDescription,EndLocation
1,126,7,268457.0,122,21,35,29,115,114,127,16.0,22,24,120
1,114,3,268339.0,38,17,76,24,103,101,114,8.0,30,14,63
1,127,7,268459.0,139,20,55,29,116,115,128,18.0,22,24,94
1,83,7,255373.0,45,13,66,19,105,148,54,,29,15,131
1,59,7,247340.0,130,20,13,16,51,58,61,17.0,20,24,56
1,88,7,256621.0,111,17,44,22,79,82,106,10.0,19,24,103
1,62,7,247326.0,55,19,72,16,55,48,63,5.0,20,24,104
1,48,3,247297.0,87,20,56,14,42,42,50,18.0,20,18,58
1,93,7,256626.0,89,20,54,22,84,87,95,15.0,19,24,38
1,162,8,290157.0,112,20,56,36,150,147,157,4.0,2,14,68
1,10,7,,148,19,31,4,6,2,160,1.0,7,23,142
1,153,7,279340.0,101,20,55,35,142,141,148,18.0,27,24,34
1,50,3,247300.0,76,21,68,14,158,44,52,21.0,30,18,89
1,85,7,255370.0,137,19,19,21,76,60,88,3.0,5,14,43
1,19,7,181856.0,42,21,28,6,14,18,25,18.0,28,25,71
1,54,7,247332.0,29,21,53,16,46,53,68,10.0,20,24,115
1,160,7,279331.0,27,20,33,35,135,134,155,9.0,27,24,25
1,87,7,256634.0,22,16,53,20,110,148,55,,20,15,111
