StrandOrientation,GenomicEndPosition,GeneDbId,EncodedProtein,GenomicStartPosition
0,18090,104,36,17131
0,1221966,188,14,1220947
0,2640,180,2,1327
0,1247221,189,2,1246121
1,3769,3,0,3023
0,358168,109,24,357524
1,614,51,0,222
0,400728,186,0,399566
0,510558,263,31,509581
1,13082,120,0,12327
1,1241990,112,33,1241022
0,335,13,0,3
1,1022329,226,18,1021526
1,1227756,113,26,1227118
1,1152958,207,2,1151783
1,41773,173,2,40529
1,5309,231,22,4047
1,1860,168,0,1114
1,2202884,194,24,2202237
0,1679298,75,25,1678525
0,1648331,131,12,1647294
0,1694274,72,24,1693627
1,531335,182,0,530982
0,1070767,208,11,1069991
0,375897,27,26,375253
1,81801,42,11,80905
0,247509,150,11,246700
0,13948,33,10,13148
0,18040,116,22,16886
0,320234,153,22,319014
1,402910,142,11,402068
0,223492,258,40,222386
1,563168,92,2,561921
1,1677,79,35,712
1,946792,9,21,945539
1,2173429,196,24,2172779
0,663114,20,2,662260
1,477748,126,2,476525
0,738,4,0,1
0,571633,48,11,570836
1,37248,172,22,35989
0,251858,25,0,251211
1,55904,35,2,55386
0,589228,218,22,588062
0,684782,59,36,683826
0,28969,28,1,28568
0,914563,160,26,913814
0,195113,158,0,194031
0,432927,261,14,431740
0,217780,257,12,216641
0,1887968,134,2,1886823
0,1194158,245,0,1193721
1,9906,7,21,8728
0,457778,184,0,456996
0,1422032,56,15,1421220
1,265814,213,25,265029
1,749937,97,16,749176
0,12102,233,0,11231
1,2165485,197,24,2164835
0,266241,149,11,265438
0,526428,62,25,525421
1,667923,96,2,666610
0,29439,228,2,28678
0,1098330,244,9,1097515
0,204825,255,12,203728
1,17814,248,35,16873
0,1193619,243,1,1192936
1,9178,78,11,8375
1,7239,193,2,5971
0,13009,157,22,11804
1,13592,108,2,12324
0,3587,169,2,2544
0,837722,223,0,837087
1,983808,122,36,982858
0,1863,110,18,1015
1,2097143,200,11,2096334
0,1932905,69,1,1932552
0,878597,147,11,877761
0,1897997,133,11,1897239
1,827468,221,2,826311
1,489292,90,2,488510
0,2901,234,2,1762
1,35179,45,2,34406
1,1487286,190,14,1486264
1,652441,52,2,651695
1,15525,118,8,14710
0,12388,141,0,11468
0,184240,250,0,182630
0,12268,249,21,10958
0,1428734,55,26,1428093
0,13418,156,16,12669
0,210588,256,20,209491
0,10624,100,38,9845
0,5008,12,11,4142
0,37518,34,11,36670
0,556235,181,2,555144
0,255296,148,18,254511
0,395123,89,31,394149
1,1338,209,0,835
1,1034038,251,13,1032938
1,7162,237,11,6368
0,18784,106,18,18002
0,1805,167,1,1182
0,1148502,242,11,1147669
0,79682,175,34,78918
0,1974665,201,16,1973874
0,1077230,241,11,1076451
1,41608,204,21,40412
0,386514,185,21,385279
0,15379,232,11,14528
0,74539,177,27,73328
0,305564,87,8,304740
0,23025,139,0,22318
0,247162,15,11,246347
0,260482,0,1,260114
1,663709,111,11,662936
0,612409,102,30,611441
0,29968,171,2,28721
0,1832,65,21,591
1,1989097,202,11,1988282
1,2102,119,2,1101
1,27009,46,2,25858
0,1687805,73,5,1687044
1,1925877,70,2,1925107
0,19059,174,11,18244
0,31870,235,11,31118
1,1026,238,0,841
0,26635,170,40,25832
0,18582,63,11,17713
1,1447013,54,25,1446237
0,1011398,162,1,1010715
0,550504,49,11,549704
1,2029082,24,21,2027874
1,975187,124,36,974237
1,30765,31,11,29968
0,907521,145,21,906301
0,137805,164,2,136807
0,486743,60,14,485586
0,381597,18,2,380962
1,517373,26,2,516597
0,1631767,74,24,1631120
0,408192,88,31,407215
1,10011,40,11,9199
0,705599,94,18,704769
1,323886,165,25,323095
0,76658,41,0,76494
1,4632,140,21,3406
0,252454,187,3,251303
0,658646,93,11,657867
0,39296,66,21,38151
0,1577124,199,12,1576114
1,65754,246,35,64810
1,493669,127,40,492404
1,17173,230,22,16040
0,2556,179,2,1318
1,182780,44,2,181743
1,613080,214,2,611866
1,1968229,132,11,1967444
1,970864,125,36,969914
0,6002,253,2,5043
0,731234,58,11,730422
1,1783506,135,11,1782673
1,295086,107,2,293887
0,745129,166,2,744176
1,19523,47,22,18321
0,36547,236,9,35690
0,422034,21,14,420934
1,937169,161,2,936387
0,17599,80,2,16553
1,979496,123,36,978543
1,3650,155,7,2478
1,10217,32,21,9084
0,23056,205,18,22262
0,1471918,192,6,1470884
1,416187,128,22,415021
1,1522877,191,25,1521903
0,832741,222,21,831566
0,617253,219,11,616495
0,1944141,6,1,1943758
0,250812,151,21,249592
1,655,1,2,2
0,384191,39,14,383100
1,749602,57,16,748862
0,313431,86,11,312547
1,941707,10,11,940901
1,23810,64,21,22572
0,863354,146,9,862533
