Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,0,249052,73,73,2,0,4,246272,1
0,0,7271,21,21,2,0,95,4884,0
0,0,3982,1,1,2,0,68,1541,0
0,0,21057,155,155,2,0,43,18763,1
0,0,399549,238,238,2,0,52,396772,0
0,0,11601,40,40,2,0,50,9187,0
0,0,175571,94,94,2,0,100,172800,1
0,0,110238,228,228,3,0,97,107374,0
0,0,783613,78,78,2,0,34,780839,0
0,0,8573,215,215,2,0,63,6039,1
0,0,7513,3,3,2,0,124,4757,1
0,0,171781,0,0,4,0,42,169685,1
0,0,221070,140,140,2,0,82,218443,1
0,0,1484951,183,183,3,0,44,1482129,1
0,0,880730,132,132,2,0,39,877992,1
0,0,12861,240,240,2,0,106,10087,1
0,0,763632,128,128,2,0,72,761305,0
1,0,1152001,181,181,1,1,107,1149578,1
0,0,184674,5,5,2,0,92,182293,0
0,0,194602,250,250,3,0,82,191840,1
0,0,2180588,55,55,2,0,55,2178147,1
0,0,17047,37,37,2,0,102,14579,1
0,0,256062,180,180,2,0,120,253732,0
0,0,1181628,224,224,2,0,75,1179322,0
1,0,2776,51,51,1,1,12,113,1
0,0,950785,131,131,2,0,39,948302,1
0,0,8596,124,124,2,0,50,5819,0
0,0,24923,63,63,2,0,18,22032,0
1,0,42017,201,201,1,1,49,39222,0
0,0,1200167,195,195,2,0,34,1197396,0
0,0,696919,74,74,2,0,22,694046,0
1,0,316755,118,118,1,1,91,314314,0
0,0,428401,70,70,2,0,74,425663,0
0,0,388287,239,239,2,0,114,385492,0
1,0,2113696,54,54,1,1,28,2111357,0
0,0,272153,66,66,2,0,70,269451,0
0,0,22052,241,241,2,0,9,19278,1
0,0,222070,179,179,2,0,65,219359,0
0,0,775880,129,129,2,0,78,773208,1
1,0,432436,159,159,1,1,60,429818,0
0,0,180486,34,34,2,0,41,177754,1
0,0,11536,32,32,2,0,50,9554,1
0,0,15093,157,157,3,0,129,12226,0
