Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Type,Genomic_Start_Position,Strand_Orientation
0,36235,216,0,25871,1
0,11147,32,0,4143,0
1,1351353,153,1,1340908,0
0,30892,73,0,20468,0
0,745319,39,0,734937,0
0,353296,96,0,348857,1
0,7476,0,0,127,0
0,21015,75,0,14486,1
0,5481,154,0,1,0
0,5231,26,0,1,1
0,78745,63,0,68291,1
1,574518,141,1,565420,0
1,27113,193,1,16665,1
1,647211,115,1,636820,0
0,802151,14,0,791817,1
0,65194,21,0,54806,0
0,6388,122,0,323,1
1,296067,109,1,288610,0
0,62219,38,0,51870,0
0,19188,33,0,11071,1
0,34912,168,0,27714,1
0,239506,160,0,231410,0
1,217558,3,1,208664,0
1,52443,43,1,42064,1
0,5929,149,0,3,0
1,35770,42,1,25298,1
0,5956,20,0,733,0
0,586972,45,0,576509,0
0,88568,198,0,78117,1
1,13525,107,1,3143,0
0,623676,89,0,613279,0
0,11537,174,0,1098,1
0,505288,12,0,494840,0
0,39653,24,0,33702,1
0,158064,214,0,147781,1
0,54831,125,0,44338,1
0,1392969,104,0,1382515,1
0,2345195,165,0,2334792,0
0,5893,35,0,1,0
0,1174010,188,0,1168695,0
1,595061,48,1,584655,0
0,89016,117,0,78604,1
0,487135,84,0,478468,1
0,3341,189,0,3,0
0,5467,72,0,2,0
0,225073,34,0,217409,1
0,6046,78,0,2,1
0,610602,139,0,600223,0
0,548110,152,0,541838,0
0,8611,116,0,3,0
0,940675,88,0,930293,1
1,566844,202,1,556376,0
0,94486,145,0,84056,1
0,19647,54,0,9304,1
0,1142692,87,0,1136952,1
0,17336,67,0,6891,1
1,6309,69,1,1,1
0,6144,62,0,3,0
0,796416,187,0,789632,0
0,252780,210,0,242332,0
1,6275,17,1,3,0
1,9243,23,1,3028,1
0,230403,209,0,222871,0
0,638425,171,0,628055,0
0,54812,6,0,50482,1
1,5690,77,1,3,0
0,6239,134,0,3,1
1,47046,57,1,36631,0
0,1352921,106,0,1342479,0
0,536745,47,0,531839,0
1,1415129,8,1,1406220,0
0,53597,30,0,43140,1
0,6877,29,0,2,0
0,82139,162,0,71676,1
1,571446,180,1,561022,1
0,97751,79,0,91272,1
1,40882,91,1,30431,1
0,64329,97,0,53935,0
0,19778,82,0,9420,0
0,409474,179,0,399029,1
0,501262,102,0,494255,0
0,1441553,105,0,1431102,0
1,736142,224,1,726108,0
0,18102,16,0,7759,0
0,635740,95,0,625292,0
0,29124,135,0,18715,1
0,510863,220,0,500484,0
0,347622,83,0,337195,0
1,8750,11,1,352,0
1,12299,144,1,2049,1
0,816094,66,0,805796,0
0,424985,124,0,418893,0
1,11317,85,1,5433,1
0,902706,94,0,892584,0
0,656937,155,0,646543,0
0,400877,70,0,396354,0
0,490459,110,0,480062,0
0,188433,128,0,178087,1
0,34480,143,0,24017,1
0,76316,28,0,71757,1
0,571102,15,0,563645,0
0,508446,158,0,497998,0
0,22907,1,0,17262,1
0,72152,147,0,61794,1
0,7036,194,0,1,1
0,1048694,136,0,1038261,0
1,14711,133,1,4479,1
0,5905,53,0,1,1
1,8139,177,1,1,1
1,15047,121,1,4680,1
0,563694,142,0,556752,1
0,46671,98,0,36289,1
0,138943,49,0,131411,0
0,682115,113,0,675892,0
0,656716,86,0,646334,0
0,56068,175,0,45617,0
0,2370774,163,0,2360422,0
0,107347,18,0,100946,1
1,364951,59,1,356759,1
1,79790,207,1,69342,1
0,698669,81,0,688299,0
0,545365,221,0,535076,0
0,7213,71,0,1,1
1,12287,131,1,1776,1
0,572820,182,0,566630,0
0,1301475,103,0,1291027,1
0,53674,203,0,43286,1
0,7785,138,0,1726,0
0,1049310,58,0,1038856,0
0,22220,223,0,11901,1
1,934030,201,1,926063,1
0,243214,167,0,232769,0
0,685626,118,0,675331,0
0,5029,27,0,2,1
0,780586,126,0,770171,0
0,12152,204,0,4158,1
0,102066,44,0,91621,1
0,19621,51,0,13649,1
0,6015,146,0,103,1
0,600090,181,0,589645,1
1,9497,185,1,3,0
0,364064,56,0,353619,1
