Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position
1,668902,149,149,4,0,76,668282
0,1995197,217,217,4,0,148,1994529
0,216763,322,322,4,0,142,216122
1,588625,157,157,3,1,107,587969
0,416038,383,383,4,0,63,415541
1,463493,101,101,3,1,78,462885
1,14001,394,394,4,0,152,13402
0,385637,21,21,3,1,55,384969
1,602338,320,320,4,0,91,601643
1,1845,389,389,2,0,86,1489
1,375081,122,122,4,0,25,374536
0,1473130,87,87,4,0,27,1472456
1,1134002,408,408,4,0,48,1133424
0,444695,32,32,4,0,109,444042
0,42175,386,386,4,0,148,41594
0,9261,128,128,4,0,42,8539
0,382637,58,58,4,0,156,382086
1,35038,303,303,4,0,119,34388
0,416102,247,247,4,0,23,415509
1,13194,349,349,3,1,104,12661
1,653543,84,84,4,0,54,652923
1,320021,423,423,4,0,96,319437
0,78452,300,300,4,0,84,77844
0,2893,384,384,4,0,146,2228
1,38888,80,80,4,0,56,38181
1,22995,305,305,2,0,56,22609
1,1066542,405,405,4,0,68,1065931
0,438865,351,351,4,0,21,438233
0,345916,154,154,4,0,132,345353
0,499409,366,366,3,1,55,498789
0,262228,38,38,4,0,167,261515
1,350824,414,414,2,0,97,350453
0,224418,167,167,4,0,21,223792
0,17055,49,49,4,0,42,16375
1,1049,284,284,4,0,67,204
1,807166,152,152,4,0,115,806492
1,874302,275,275,3,1,116,873739
1,281,10,10,5,0,72,3
0,16035,342,342,4,0,53,15472
1,311595,412,412,2,0,97,311224
1,6125,11,11,4,0,72,5631
0,578960,78,78,4,0,113,578253
0,1670681,29,29,4,0,121,1670067
0,544317,147,147,1,1,111,543658
0,285006,246,246,4,0,132,284026
0,482096,254,254,4,0,108,481446
0,16573,165,165,4,0,125,15977
0,1236,125,125,4,0,0,691
1,2152710,106,106,4,0,159,2152117
0,218124,166,166,4,0,21,217234
1,497850,295,295,4,0,42,497083
0,314714,123,123,4,0,25,314181
0,729959,96,96,4,0,17,729363
1,358436,278,278,2,0,56,358038
1,584282,133,133,4,0,6,583626
1,22696,74,74,4,0,60,22061
0,1261581,324,324,3,1,128,1260970
0,160801,403,403,4,0,49,160181
0,10872,104,104,3,1,101,10210
1,412598,280,280,4,0,45,411981
1,514088,294,294,4,0,42,513441
1,667099,4,4,4,0,6,666332
0,253563,288,288,4,0,130,252895
0,237931,286,286,4,0,23,237338
0,266589,177,177,4,0,21,265723
0,1078119,193,193,4,0,159,1077559
1,198335,43,43,4,0,6,197730
1,1243238,187,187,4,0,159,1242540
0,1176204,399,399,4,0,5,1175530
0,6197,387,387,4,0,153,5628
1,47042,81,81,4,0,31,46335
0,374682,42,42,4,0,17,374062
0,1420673,91,91,4,0,159,1420101
1,388432,195,195,2,0,73,388043
0,70633,60,60,4,0,125,70109
0,11230,374,374,4,0,124,10535
0,694973,307,307,4,0,69,694383
0,1677970,118,118,4,0,135,1677395
0,5761,375,375,4,0,22,5141
0,1886263,218,218,4,0,100,1885670
1,311313,422,422,4,0,134,310645
1,282372,174,174,4,0,47,281740
0,456160,321,321,4,0,117,455483
1,36542,385,385,4,0,148,35961
0,541203,103,103,4,0,64,540331
1,377041,363,363,4,0,25,376496
1,1142859,409,409,4,0,48,1142287
1,1481322,93,93,4,0,74,1480762
1,1306828,209,209,4,0,90,1306226
1,1739,6,6,4,0,34,1236
0,410649,141,141,2,0,31,410251
0,1587490,212,212,4,0,90,1586741
1,2442,285,285,4,0,29,1612
1,327963,424,424,4,0,96,327337
0,1411596,22,22,4,0,17,1410949
0,260483,178,178,4,0,98,259935
0,917604,274,274,4,0,100,916954
1,371048,277,277,4,0,97,370350
1,11470,48,48,2,0,125,11081
0,377176,142,142,4,0,97,376607
0,1943209,9,9,4,0,57,1942577
1,7470,269,269,4,0,125,6853
0,120884,35,35,2,0,105,120498
1,21243,15,15,4,0,16,20602
1,605996,239,239,4,0,6,605367
0,340144,413,413,4,0,97,339536
0,862102,242,242,3,1,1,861431
0,1875155,219,219,4,0,48,1874526
1,617680,234,234,4,0,15,617066
0,59685,50,50,4,0,75,58891
0,1611491,330,330,4,0,121,1610868
0,31626,357,357,4,0,22,31012
1,76266,279,279,4,0,47,75574
0,430625,13,13,4,0,132,430509
0,288480,176,176,4,0,98,287506
0,1187163,346,346,4,0,167,1186465
0,1200244,312,312,4,0,57,1199621
0,18926,390,390,4,0,150,18276
1,2115566,26,26,4,0,95,2114982
1,1109679,316,316,4,0,95,1109041
1,1559,52,52,4,0,42,987
0,413954,418,418,4,0,17,413337
1,159847,68,68,4,0,97,159101
1,1139142,315,315,4,0,57,1138561
1,462219,364,364,4,0,114,461563
1,1348,168,168,4,0,42,512
0,1344856,199,199,4,0,122,1344239
1,203566,71,71,2,0,56,203195
1,3660,196,196,4,0,42,3085
0,1001979,95,95,4,0,164,1001410
0,1671935,119,119,3,1,119,1671336
1,3008,163,163,4,0,142,2760
0,17644,348,348,4,0,154,17072
0,393310,281,281,4,0,10,392783
0,1025055,192,192,4,0,74,1024453
1,1654543,31,31,4,0,149,1654004
1,11006,14,14,4,0,138,10434
0,1840810,110,110,4,0,57,1840178
1,1182146,313,313,4,0,57,1181541
1,356421,430,430,3,1,136,355831
0,398667,249,249,4,0,23,398035
1,1235855,188,188,2,0,95,1235211
0,1806636,337,337,4,0,145,1806064
0,7249,54,54,4,0,42,6641
0,452612,282,282,4,0,95,451995
0,425782,140,140,2,0,47,425384
0,1121,2,2,4,0,161,531
1,725245,151,151,4,0,115,724664
0,7534,343,343,2,0,147,7151
0,14571,377,377,4,0,100,14272
0,244449,289,289,4,0,118,243556
0,622513,27,27,4,0,95,621803
0,261062,175,175,4,0,31,260553
0,253089,179,179,4,0,21,252442
0,305429,372,372,4,0,9,304515
0,690105,148,148,3,1,55,689434
1,26110,306,306,4,0,31,25487
0,55203,82,82,4,0,31,54550
1,6670,228,228,4,0,42,6140
0,467996,365,365,4,0,162,467418
0,1079,127,127,2,0,75,750
1,1784731,333,333,4,0,145,1784156
0,1392058,308,308,4,0,164,1391459
1,174019,66,66,4,0,47,173294
1,44727,395,395,3,1,65,44119
0,978860,276,276,1,1,116,978390
0,7294,262,262,4,0,42,6638
0,9111,131,131,2,0,75,8734
1,641578,83,83,4,0,54,640880
0,2852,17,17,4,0,36,2211
0,1610144,115,115,4,0,74,1609563
1,225709,70,70,3,1,33,225092
1,873,5,5,4,0,32,262
0,462632,139,139,4,0,96,462006
0,1707,378,378,4,0,86,1054
0,555039,79,79,4,0,77,554104
0,897457,273,273,4,0,59,896894
1,522983,293,293,4,0,6,522417
1,930600,243,243,4,0,167,929947
0,459742,250,250,4,0,26,459083
0,8892,376,376,4,0,4,8245
0,410431,182,182,4,0,62,409799
1,95645,65,65,4,0,110,95094
1,296809,421,421,4,0,96,296102
1,438791,33,33,4,0,142,438168
0,302673,245,245,4,0,46,302005
0,332148,411,411,4,0,97,331510
0,22912,59,59,2,0,129,22523
1,20624,75,75,4,0,66,19953
0,276224,136,136,4,0,80,275592
1,603114,238,238,4,0,15,602248
0,610905,156,156,4,0,134,610333
1,893116,240,240,3,1,11,892445
1,9993,34,34,4,0,126,9376
1,1448091,89,89,4,0,17,1447573
1,12594,198,198,4,0,93,11959
0,389569,248,248,4,0,108,388676
0,28027,45,45,4,0,125,27344
0,406686,138,138,4,0,96,406078
0,32545,263,263,4,0,125,31979
0,11424,41,41,3,1,106,10828
0,474095,354,354,4,0,112,473496
1,891600,272,272,1,1,41,891058
1,1570983,121,121,4,0,95,1570405
1,487260,202,202,4,0,123,486679
0,28680,129,129,3,1,163,27985
0,478938,102,102,4,0,3,478315
0,1109266,398,398,4,0,137,1108595
0,21792,345,345,4,0,40,21193
1,649380,237,237,4,0,6,648745
1,538452,146,146,4,0,116,537880
0,21840,231,231,4,0,129,21079
0,567898,124,124,2,0,61,567485
0,53116,397,397,5,0,37,52718
0,308712,370,370,4,0,26,308044
1,633183,235,235,2,0,94,632827
0,1591262,331,331,4,0,69,1590720
0,559332,144,144,2,0,79,558976
1,627298,100,100,4,0,82,626603
1,555039,429,429,4,0,96,554545
0,269583,420,420,4,0,134,268954
0,1591401,213,213,3,1,128,1590901
1,1060193,190,190,4,0,57,1059636
0,272757,181,181,4,0,21,271798
0,21892,339,339,4,0,53,21179
1,400683,57,57,4,0,156,400036
0,11825,46,46,4,0,125,11139
1,610947,367,367,4,0,167,610288
0,1183104,325,325,4,0,39,1182499
0,1871216,109,109,4,0,17,1870641
1,1100102,407,407,4,0,100,1099440
0,223254,290,290,4,0,23,222562
1,2130876,105,105,4,0,95,2130250
1,5418,232,232,4,0,75,4696
1,274287,173,173,4,0,97,273715
0,643220,200,200,4,0,64,642618
0,253619,171,171,4,0,31,252897
1,190891,67,67,4,0,97,190256
1,33533,391,391,4,0,146,32910
0,66227,302,302,4,0,119,65685
1,1038285,191,191,4,0,95,1037734
0,1299223,186,186,4,0,95,1298663
0,549268,76,76,4,0,158,548651
1,1790185,220,220,4,0,34,1789544
1,110877,155,155,5,0,160,110344
0,70385,299,299,4,0,157,69732
1,375323,426,426,4,0,127,374682
1,1894275,111,111,4,0,28,1893637
0,48963,358,358,4,0,103,48349
0,63431,64,64,4,0,125,62859
0,563485,94,94,2,0,18,563114
1,1947,16,16,3,1,139,1330
1,849658,24,24,4,0,121,849029
0,17246,267,267,4,0,42,16593
1,11667,260,260,4,0,42,10975
1,1192370,314,314,4,0,159,1191744
1,789660,150,150,4,0,58,789061
0,484940,355,355,4,0,51,484143
0,551183,227,227,2,0,160,550740
0,1665163,30,30,4,0,149,1664528
0,15815,361,361,4,0,50,15231
0,423275,204,204,4,0,5,422700
0,50225,396,396,4,0,100,49587
0,23909,362,362,4,0,140,23259
0,1935320,216,216,4,0,121,1934724
1,1439745,90,90,4,0,57,1439215
0,1646736,214,214,4,0,19,1646206
1,5356,350,350,4,0,133,4736
0,281837,180,180,4,0,98,281250
0,217404,23,23,4,0,23,216745
0,431207,427,427,4,0,143,430704
0,565167,382,382,2,0,79,564760
1,4939,7,7,4,0,1,4241
0,497547,252,252,4,0,23,496699
0,2159962,326,326,4,0,69,2159390
1,1722444,338,338,4,0,21,1721857
1,210445,135,135,3,1,43,209840
1,636879,159,159,4,0,127,636250
1,2103139,221,221,4,0,57,2102468
0,211634,419,419,5,0,8,211245
1,34921,268,268,4,0,125,34262
0,1578872,120,120,4,0,17,1578312
0,596495,160,160,4,0,134,595866
1,9539,197,197,4,0,93,8904
1,491431,296,296,4,0,6,490859
0,465000,353,353,4,0,2,464038
0,283286,425,425,4,0,134,282588
0,1863,44,44,4,0,129,1279
0,1337715,211,211,3,1,30,1337152
1,10499,39,39,2,0,92,10110
0,6256,130,130,2,0,129,5888
0,77237,61,61,4,0,129,76545
0,1685667,117,117,0,0,159,1685527
1,566496,297,297,4,0,131,565864
0,1212108,311,311,4,0,17,1211533
1,8071,393,393,4,0,85,7124
1,631273,158,158,4,0,96,630704
1,1357417,310,310,4,0,145,1356881
1,1413348,210,210,4,0,13,1412725
0,897652,241,241,4,0,162,897068
1,102031,0,0,4,0,102,101630
0,460277,283,283,4,0,57,459570
1,542828,291,291,4,0,6,542232
1,2082607,36,36,4,0,57,2081918
1,673589,185,185,4,0,12,672981
0,262590,287,287,4,0,130,261997
0,1069989,194,194,4,0,57,1069351
1,54130,400,400,4,0,52,53294
1,238595,172,172,4,0,31,237978
1,2039757,328,328,4,0,168,2039173
0,55031,266,266,4,0,129,54300
1,42738,392,392,4,0,85,42403
1,698962,97,97,4,0,95,698387
1,1037760,369,369,4,0,167,1037092
0,510533,431,431,4,0,44,509916
1,1653046,113,113,4,0,57,1652444
0,602022,161,161,4,0,143,601444
0,9693,360,360,4,0,140,9067
0,331967,153,153,4,0,132,331098
1,57983,63,63,4,0,129,57381
0,488252,251,251,4,0,130,487683
0,152203,402,402,4,0,90,151562
1,7816,169,169,4,0,125,6941
0,473006,253,253,4,0,132,472107
1,8984,256,256,4,0,75,8412
0,296422,244,244,4,0,132,295724
0,786,373,373,4,0,35,88
0,521226,208,208,4,0,111,520573
1,1896,255,255,4,0,75,1198
0,433446,205,205,4,0,5,432955
0,297265,224,224,4,0,156,296609
0,421453,417,417,4,0,159,420860
1,10738,164,164,4,0,129,10142
0,422988,183,183,4,0,62,422386
0,739582,271,271,4,0,69,738989
0,741926,201,201,4,0,46,741234
1,2021354,37,37,4,0,17,2020752
0,22510,55,55,3,1,156,21845
0,12963,341,341,4,0,53,12349
1,1279824,189,189,4,0,17,1279111
0,2141017,327,327,4,0,48,2140400
1,213605,72,72,4,0,47,212727
1,641268,236,236,4,0,131,640657
1,1773473,334,334,3,1,119,1772775
1,537100,292,292,4,0,6,536468
1,3185,162,162,4,0,125,2544
1,1094415,318,318,4,0,57,1093786
0,548259,143,143,2,0,71,547909
0,4704,229,229,4,0,125,4066
0,67780,415,415,4,0,31,67067
0,288418,223,223,4,0,109,287768
0,165971,19,19,4,0,1,165327
1,627125,85,85,4,0,169,626559
0,606832,86,86,4,0,48,606242
1,11303,51,51,4,0,75,10641
1,661517,1,1,4,0,6,660867
