Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,19432,0,0,8,5,17837,1
1,2797682,149,148,9,43,2796528,0
0,5380636,81,80,7,24,5379008,0
1,9494,53,52,9,16,7965,1
1,29574,17,17,9,47,28997,0
0,8343,28,28,7,41,6676,1
0,4971029,79,78,7,24,4969470,1
1,9188,134,133,9,60,7638,0
0,309925,107,106,8,11,308399,0
0,22070,22,22,7,30,20550,0
1,69439,11,11,9,26,67885,0
1,19005,48,47,9,23,17968,1
1,466780,109,108,12,1,465860,1
0,4542881,69,68,7,24,4541535,0
1,121323,5,5,9,50,119770,1
1,63306,44,43,9,38,61772,0
0,1057855,82,81,8,51,1056242,1
0,4658068,89,88,7,53,4656557,0
1,4871690,96,95,1,39,4870365,1
1,501101,110,109,9,22,499566,1
1,4907622,98,97,3,46,4906250,1
1,2769881,145,144,9,43,2769468,1
1,268059,141,140,9,43,266604,0
1,4067975,84,83,9,38,4066581,0
1,1589097,133,132,9,6,1587573,1
1,1182456,119,118,9,21,1180816,1
1,147206,101,100,9,1,145692,1
1,16687,55,54,9,33,14902,1
0,237565,105,104,7,11,236150,1
1,34585,40,39,9,53,33074,1
1,10341,8,8,9,61,9201,0
1,2794118,148,147,9,43,2793789,0
0,2972153,154,153,7,28,2970543,0
1,70716,138,137,9,51,69197,0
1,16196,26,26,9,14,14732,0
1,2653794,144,143,9,13,2652725,1
