STRAND_ORIENTATION,ORTHOLOG_ID,GENOMIC_END_POSITION,GENE_ID,GENE_DB_ID,ENCODED_PROTEIN,CHROMOSOME_ID,GENOMIC_START_POSITION
0,0,1302731,138,138,1,1,1301798
1,23,3626724,121,121,0,0,3625683
0,23,2137083,79,79,0,0,2136116
0,23,829945,31,31,0,0,828981
0,23,2310802,83,83,0,0,2309816
1,2,1661637,61,61,1,0,1660898
0,23,3087645,106,106,0,0,3086711
1,3,90623,189,189,0,7,89650
0,22,1975350,222,222,1,9,1974370
1,23,3821699,126,126,0,0,3820752
0,12,2000482,180,180,0,6,1999413
0,17,2410931,239,239,0,12,2409980
0,23,1227129,48,48,0,0,1226153
0,22,2191993,228,228,1,9,2191163
1,23,1896974,70,70,0,0,1895961
1,8,196537,176,176,1,6,195815
1,23,2569200,84,84,0,0,2568416
0,12,2037842,181,181,0,6,2036855
1,23,2012514,76,76,0,0,2011537
1,11,36053,153,153,0,4,35076
0,23,350270,10,10,0,0,349232
0,23,961008,37,37,0,0,960057
0,23,818515,30,30,0,0,817520
0,11,1819402,167,167,0,4,1818421
1,20,85503,136,136,0,1,84520
0,14,2500826,202,202,1,7,2499858
1,23,3771594,125,125,0,0,3770581
0,24,2052986,223,223,0,9,2051981
0,23,1493581,54,54,0,0,1492608
1,23,2811023,93,93,0,0,2810056
1,1,192905,265,265,0,13,191876
1,12,125184,174,174,0,6,124229
0,3,2402964,201,201,0,7,2401983
1,23,3538333,117,117,0,0,3537279
1,23,1169323,46,46,0,0,1168314
1,23,2625596,88,88,0,0,2624615
0,2,175684,5,5,1,0,174773
0,3,2611171,204,204,0,7,2610116
1,23,3943402,131,131,0,0,3942518
0,23,756430,28,28,0,0,755452
0,10,2620539,244,244,1,12,2619563
1,20,74070,135,135,0,1,73103
1,2,1719528,63,63,1,0,1718592
0,17,2929889,254,254,0,12,2928926
0,23,29762,1,1,0,0,28779
1,8,146994,175,175,1,6,146054
1,2,3832545,127,127,1,0,3831499
0,8,1944091,178,178,1,6,1943137
1,23,2943363,99,99,0,0,2942390
1,3,80570,188,188,0,7,79583
1,2,3864794,128,128,1,0,3863936
1,24,29305,219,219,0,9,28341
0,3,2787380,212,212,0,7,2786407
1,23,2987289,102,102,0,0,2986294
0,11,1858012,168,168,0,4,1857026
1,23,2901620,96,96,0,0,2900680
1,23,1029803,40,40,2,0,1028849
1,6,47733,215,215,0,8,46712
1,23,1831592,67,67,0,0,1830638
0,5,1242580,144,144,0,2,1241593
0,23,1323924,50,50,0,0,1322970
0,17,2991514,257,257,0,12,2990543
0,2,1609442,58,58,1,0,1608554
0,23,325126,9,9,0,0,324116
0,10,2866118,251,251,1,12,2865319
1,3,257930,196,196,0,7,256958
0,18,825304,169,169,1,5,824320
0,23,797603,29,29,0,0,796557
1,0,62075,134,134,1,1,61062
1,9,83058,232,232,0,10,82100
1,9,243795,236,236,0,10,242828
0,23,101259,4,4,0,0,100271
1,23,3501883,116,116,0,0,3500926
0,23,854400,34,34,0,0,853408
1,2,530848,17,17,1,0,529877
1,11,194080,157,157,0,4,193107
0,22,2164937,226,226,1,9,2163912
1,2,3565904,118,118,1,0,3564858
0,17,2729418,249,249,0,12,2728442
1,23,3997753,133,133,0,0,3996772
1,23,1842055,68,68,0,0,1841258
1,23,3907034,130,130,0,0,3906026
1,23,3675676,122,122,0,0,3674736
0,23,264759,7,7,0,0,263742
1,23,1863193,69,69,0,0,1862233
0,23,418380,13,13,0,0,417494
1,4,16637,150,150,0,3,15686
1,23,1158170,45,45,0,0,1157129
1,14,188127,193,193,1,7,187156
1,2,1104725,43,43,0,0,1103973
1,6,59985,216,216,0,8,58996
1,19,3129,141,141,1,2,2111
0,17,2571118,241,241,0,12,2570141
0,3,2630816,205,205,0,7,2629838
0,3,2768159,211,211,0,7,2767187
0,8,2075234,182,182,1,6,2074416
1,1,77248,261,261,0,13,76246
1,16,19593,238,238,1,11,18641
1,14,116363,190,190,1,7,115392
1,2,992940,38,38,1,0,992231
1,3,268646,197,197,0,7,267636
1,11,93901,155,155,0,4,93026
0,23,1206640,47,47,0,0,1205634
1,24,10066,218,218,0,9,9119
1,3,47279,186,186,0,7,46316
0,2,7609,0,0,1,0,6614
1,23,3035493,104,104,0,0,3034472
0,23,1632520,59,59,0,0,1631515
0,23,52191,2,2,0,0,51200
0,23,1435342,52,52,0,0,1434369
0,23,2247622,81,81,0,0,2246622
0,3,2599688,203,203,0,7,2598686
0,23,937139,36,36,0,0,936183
0,2,462656,15,15,1,0,461872
1,23,2664333,89,89,0,0,2663373
1,23,1550036,56,56,0,0,1549070
1,2,474134,16,16,1,0,473342
0,17,2718036,248,248,0,12,2717006
0,23,361388,11,11,0,0,360375
1,23,2598728,87,87,0,0,2597760
0,2,1305031,49,49,1,0,1304292
0,11,1764239,162,162,0,4,1763508
0,10,2694134,247,247,1,12,2693159
1,23,3896577,129,129,0,0,3895570
1,13,207934,235,235,1,10,206941
0,17,2806993,250,250,0,12,2805961
0,23,1647699,60,60,0,0,1646762
0,23,1456456,53,53,0,0,1455519
1,12,22128,170,170,0,6,21118
1,3,35674,185,185,0,7,34737
1,7,2821,258,258,1,13,1796
1,3,4464,183,183,0,7,3665
0,11,1798060,166,166,0,4,1797042
1,23,1758744,64,64,0,0,1757779
0,23,1410592,51,51,0,0,1409631
0,17,2491047,240,240,0,12,2490060
1,1,98100,262,262,0,13,97104
0,23,669332,24,24,0,0,668377
1,15,7509,214,214,1,8,6770
1,11,82197,154,154,0,4,81176
1,2,1571655,57,57,1,0,1570786
1,3,56587,187,187,0,7,55870
1,21,168621,156,156,1,4,168018
1,1,204979,266,266,0,13,203989
1,14,300350,198,198,1,7,299433
0,5,1202243,143,143,0,2,1201265
1,23,3747742,124,124,0,0,3746758
0,5,1253998,145,145,0,2,1253021
1,23,2931247,98,98,0,0,2930282
1,23,2595178,86,86,0,0,2594197
0,3,2799553,213,213,0,7,2798511
1,23,3485524,115,115,0,0,3484511
1,7,49077,259,259,1,13,48083
0,23,632947,23,23,0,0,631997
1,3,23469,184,184,0,7,22545
1,23,2023898,77,77,0,0,2022911
0,23,3070241,105,105,0,0,3069280
1,2,1004126,39,39,1,0,1003339
1,23,2970973,101,101,0,0,2969987
