STRAND_ORIENTATION,ORTHOLOG_ID,GENOMIC_END_POSITION,GENE_ID,GENE_DB_ID,ENCODED_PROTEIN,CHROMOSOME_ID,GENOMIC_START_POSITION
1,23,1029803,39,39,2,0,1028849
0,3,2799553,213,213,0,7,2798511
1,23,1831592,66,66,0,0,1830638
0,5,1202243,143,143,0,2,1201265
0,23,1323924,49,49,0,0,1322970
0,17,2950391,255,255,0,12,2949454
0,2,1609442,57,57,1,0,1608554
0,23,325126,9,9,0,0,324116
0,10,2866118,251,251,1,12,2865319
1,3,232090,195,195,0,7,231104
0,18,825304,168,168,1,5,824320
0,23,797603,29,29,0,0,796557
1,0,62075,134,134,1,1,61062
1,9,61311,231,231,0,10,60333
1,9,130190,234,234,0,10,129258
0,23,101259,4,4,0,0,100271
1,23,3485524,115,115,0,0,3484511
0,23,854400,34,34,0,0,853408
1,2,474134,16,16,1,0,473342
1,11,93901,155,155,0,4,93026
0,22,2164937,226,226,1,9,2163912
1,2,3565904,118,118,1,0,3564858
0,17,2718036,248,248,0,12,2717006
1,23,3958204,132,132,0,0,3957431
1,23,1842055,67,67,0,0,1841258
1,23,3896577,129,129,0,0,3895570
1,23,3626724,121,121,0,0,3625683
0,23,264759,7,7,0,0,263742
1,23,1863193,68,68,0,0,1862233
0,23,418380,13,13,0,0,417494
0,5,1314686,149,149,0,2,1313668
1,23,1158170,44,44,0,0,1157129
1,14,188127,193,193,1,7,187156
1,2,1104725,42,42,0,0,1103973
1,6,47733,215,215,0,8,46712
1,19,3129,140,140,1,2,2111
0,17,2491047,240,240,0,12,2490060
0,3,2611171,204,204,0,7,2610116
0,3,2751961,210,210,0,7,2751003
0,8,2075234,182,182,1,6,2074416
1,1,65837,260,260,0,13,64781
1,16,19593,238,238,1,11,18641
1,14,116363,190,190,1,7,115392
0,2,914773,35,35,1,0,913902
1,3,257930,196,196,0,7,256958
1,11,82197,154,154,0,4,81176
0,23,1206640,46,46,0,0,1205634
1,6,59985,216,216,0,8,58996
1,3,35674,185,185,0,7,34737
1,1,315605,267,267,0,13,314638
1,23,3008310,103,103,0,0,3007265
0,23,1632520,58,58,0,0,1631515
0,23,52191,2,2,0,0,51200
0,23,1435342,51,51,0,0,1434369
0,23,2247622,80,80,0,0,2246622
0,3,2402964,201,201,0,7,2401983
0,23,937139,36,36,0,0,936183
0,2,407514,12,12,1,0,406664
1,23,2647975,88,88,0,0,2647001
1,23,1550036,55,55,0,0,1549070
0,2,462656,15,15,1,0,461872
0,17,2659219,246,246,0,12,2658195
0,23,361388,11,11,0,0,360375
1,23,2598728,86,86,0,0,2597760
0,2,1305031,48,48,1,0,1304292
0,11,1753616,161,161,0,4,1752621
0,10,2694134,247,247,1,12,2693159
1,23,3821699,126,126,0,0,3820752
1,13,207934,235,235,1,10,206941
0,17,2729418,249,249,0,12,2728442
0,23,1647699,59,59,0,0,1646762
0,23,1456456,52,52,0,0,1455519
1,12,5080,169,169,0,6,4079
1,3,23469,184,184,0,7,22545
1,7,2821,258,258,1,13,1796
0,12,2037842,181,181,0,6,2036855
0,11,1782786,164,164,0,4,1781826
1,23,1758744,63,63,0,0,1757779
0,23,1410592,50,50,0,0,1409631
0,17,2410931,239,239,0,12,2409980
1,1,77248,261,261,0,13,76246
0,23,669332,24,24,0,0,668377
1,15,7509,214,214,1,8,6770
1,11,36053,153,153,0,4,35076
1,2,1571655,56,56,1,0,1570786
1,3,47279,186,186,0,7,46316
1,21,168621,156,156,1,4,168018
1,1,192905,265,265,0,13,191876
1,14,300350,197,197,1,7,299433
0,5,1190403,142,142,0,2,1189413
1,23,3699200,123,123,0,0,3698199
0,5,1242580,144,144,0,2,1241593
1,23,2901620,96,96,0,0,2900680
1,23,2595178,85,85,0,0,2594197
0,3,2787380,212,212,0,7,2786407
0,23,3422379,114,114,0,0,3421396
1,7,49077,259,259,1,13,48083
0,23,632947,23,23,0,0,631997
1,3,4464,183,183,0,7,3665
1,23,2023898,76,76,0,0,2022911
1,23,3035493,104,104,0,0,3034472
1,2,992940,38,38,1,0,992231
1,23,2953405,99,99,0,0,2952535
