Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Type,Genomic_Start_Position
0,0,321121,172,0,318503
1,0,3099,83,0,313
1,0,2201057,52,0,2198634
0,0,1882048,103,1,1879670
0,0,2065088,100,1,2062416
1,0,8030,144,0,5538
1,0,54570,26,0,51787
1,0,12466,230,0,9926
0,0,1745786,11,0,1743231
0,0,1189938,226,0,1187140
1,0,580806,92,0,578836
1,0,565358,81,0,563163
1,0,935144,130,0,932427
1,0,7331,90,0,4482
1,0,167573,35,0,164778
1,0,249052,70,0,246272
1,0,344245,12,0,341906
1,0,194602,250,0,191840
0,0,546874,142,0,544250
0,0,1851640,105,0,1848668
1,0,450835,65,0,448496
0,0,14547,19,0,12235
0,0,425184,136,0,422410
1,0,237391,69,0,234584
0,0,7271,21,0,4884
0,0,3982,0,0,1541
1,0,21057,155,0,18763
0,0,399549,240,0,396772
0,0,11601,38,0,9187
1,0,175571,91,0,172800
0,0,110238,229,0,107374
0,0,783613,75,0,780839
1,0,8573,216,0,6039
1,0,7513,2,0,4757
1,0,191757,113,0,188965
1,0,205713,248,0,202903
1,0,1484951,183,0,1482129
1,0,880730,132,0,877992
1,0,12861,242,0,10087
0,0,763632,128,0,761305
1,0,1152001,181,1,1149578
0,0,171302,232,0,169443
1,0,187696,249,0,185057
1,0,2180588,51,0,2178147
1,0,17047,36,0,14579
0,0,222070,179,0,219359
0,0,1181628,225,0,1179322
1,0,2776,47,1,113
1,0,950785,131,0,948302
0,0,8596,124,0,5819
0,0,24923,59,0,22032
0,0,42017,201,1,39222
0,0,1200167,195,0,1197396
0,0,696919,71,0,694046
0,0,316755,118,1,314314
0,0,428401,67,0,425663
0,0,388287,241,0,385492
0,0,2113696,50,1,2111357
0,0,272153,62,0,269451
1,0,22052,243,0,19278
0,0,198843,126,0,196225
1,0,775880,129,0,773208
0,0,432436,159,1,429818
1,0,180486,33,0,177754
1,0,11536,31,0,9554
0,0,15093,157,0,12226
