Entity_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
0,0,873,5,5,4,262,1
0,0,462632,141,141,4,462006,0
0,0,1707,378,378,4,1054,0
0,0,555039,78,78,4,554104,0
0,0,897457,275,275,4,896894,0
0,0,522983,295,295,4,522417,1
0,0,930600,244,244,4,929947,1
0,0,445439,135,135,4,444747,0
0,0,8892,376,376,4,8245,0
0,0,407298,184,184,4,406639,0
0,0,95645,64,64,4,95094,1
0,0,296809,421,421,4,296102,1
0,0,438791,32,32,4,438168,1
0,0,296422,246,246,4,295724,0
0,0,311595,412,412,2,311224,1
0,0,22912,58,58,2,22523,0
0,0,20624,74,74,4,19953,1
0,0,262228,37,37,4,261515,0
0,0,603114,239,239,4,602248,1
0,0,610905,157,157,4,610333,0
1,0,893116,241,241,3,892445,1
0,0,9993,33,33,4,9376,1
0,0,1448091,89,89,4,1447573,1
0,0,12594,199,199,4,11959,1
0,0,367683,155,155,4,367096,0
0,0,28027,44,44,4,27344,0
0,0,406686,140,140,4,406078,0
0,0,32545,265,265,4,31979,0
1,0,11424,40,40,3,10828,0
0,0,465000,354,354,4,464038,0
1,0,891600,274,274,1,891058,1
0,0,1570983,121,121,4,1570405,1
0,0,487260,203,203,4,486679,1
1,0,28680,130,130,3,27985,0
0,0,478938,102,102,4,478315,0
0,0,1109266,398,398,4,1108595,0
0,0,21792,346,346,4,21193,0
0,0,649380,238,238,4,648745,1
1,0,499409,366,366,3,498789,0
0,0,21840,232,232,4,21079,0
0,0,551183,228,228,2,550740,0
0,0,53116,397,397,5,52718,0
0,0,302673,247,247,4,302005,0
0,0,633183,236,236,2,632827,1
0,0,1591262,332,332,4,1590720,0
0,0,548259,145,145,2,547909,0
0,0,627298,100,100,4,626603,1
0,0,555039,429,429,4,554545,1
0,0,269583,420,420,4,268954,0
1,0,1591401,214,214,3,1590901,0
0,0,1060193,191,191,4,1059636,1
0,0,266589,176,176,4,265723,0
0,0,21892,340,340,4,21179,0
0,0,400683,56,56,4,400036,1
0,0,11825,45,45,4,11139,0
0,0,564291,149,149,4,563632,1
0,0,1183104,326,326,4,1182499,0
0,0,1871216,109,109,4,1870641,0
0,0,1100102,407,407,4,1099440,1
0,0,217404,22,22,4,216745,0
0,0,2130876,105,105,4,2130250,1
0,0,5418,233,233,4,4696,1
0,0,266951,174,174,4,266226,0
0,0,643220,201,201,4,642618,0
0,0,238595,172,172,4,237978,1
0,0,174019,65,65,4,173294,1
0,0,33533,391,391,4,32910,1
0,0,66227,303,303,4,65685,0
0,0,1038285,192,192,4,1037734,1
0,0,1299223,187,187,4,1298663,0
0,0,549268,75,75,4,548651,0
0,0,1790185,221,221,4,1789544,1
0,0,110877,156,156,5,110344,1
1,0,44362,302,302,3,43754,1
0,0,375323,426,426,4,374682,1
0,1,1894275,111,111,4,1893637,1
0,0,48963,358,358,4,48349,0
0,0,63431,63,63,4,62859,0
0,0,559332,146,146,2,558976,0
1,0,1947,15,15,3,1330,1
0,1,849658,23,23,4,849029,1
0,0,17246,269,269,4,16593,0
0,0,11667,262,262,4,10975,1
0,0,1192370,315,315,4,1191744,1
0,0,789660,151,151,4,789061,1
0,0,474095,355,355,4,473496,0
0,0,548591,227,227,2,548190,0
0,0,1665163,29,29,4,1664528,0
0,0,15815,361,361,4,15231,0
0,0,423275,205,205,4,422700,0
0,0,50225,396,396,4,49587,0
0,0,23909,362,362,4,23259,0
0,0,1935320,217,217,4,1934724,0
0,0,1439745,90,90,4,1439215,1
0,0,1646736,215,215,4,1646206,0
0,0,5356,351,351,4,4736,1
0,0,272757,180,180,4,271798,0
0,0,422988,183,183,4,422386,0
0,0,431207,427,427,4,430704,0
0,0,563485,94,94,2,563114,0
0,0,4939,7,7,4,4241,1
0,0,488252,253,253,4,487683,0
0,0,2159962,327,327,4,2159390,0
0,0,1722444,339,339,4,1721857,1
1,0,210445,137,137,3,209840,1
0,0,636879,160,160,4,636250,1
0,0,2103139,222,222,4,2102468,1
0,0,211634,419,419,5,211245,0
0,0,34921,270,270,4,34262,1
0,0,1578872,120,120,4,1578312,0
0,0,596495,161,161,4,595866,0
0,0,9539,198,198,4,8904,1
0,0,491431,298,298,4,490859,1
0,0,458814,353,353,4,458125,0
0,0,283286,425,425,4,282588,0
0,0,1863,43,43,4,1279,0
1,0,1337715,212,212,3,1337152,0
0,0,10499,38,38,2,10110,1
0,0,6256,131,131,2,5888,0
0,0,77237,60,60,4,76545,0
0,0,1685667,117,117,0,1685527,0
0,0,566496,299,299,4,565864,1
0,0,1212108,312,312,4,1211533,0
0,0,8071,393,393,4,7124,1
0,0,631273,159,159,4,630704,1
0,0,1357417,311,311,4,1356881,1
0,0,1413348,211,211,4,1412725,1
0,0,897652,242,242,4,897068,0
0,0,102031,0,0,4,101630,1
0,0,460277,286,286,4,459570,0
0,0,542828,293,293,4,542232,1
0,0,2082607,35,35,4,2081918,1
0,0,673589,186,186,4,672981,1
0,0,253563,290,290,4,252895,0
0,0,1069989,195,195,4,1069351,0
0,0,54130,400,400,4,53294,1
1,0,225709,69,69,3,225092,1
0,0,2039757,329,329,4,2039173,1
0,0,55031,268,268,4,54300,0
0,0,42738,392,392,4,42403,1
0,0,698962,97,97,4,698387,1
0,0,1037760,369,369,4,1037092,1
0,0,510533,431,431,4,509916,0
0,0,1653046,113,113,4,1652444,1
0,0,602022,162,162,4,601444,0
0,0,9693,360,360,4,9067,0
0,0,325661,371,371,4,325122,0
0,0,57983,62,62,4,57381,1
0,0,482096,256,256,4,481446,0
0,0,152203,402,402,4,151562,0
0,0,7816,169,169,4,6941,1
0,0,459742,252,252,4,459083,0
0,0,8984,258,258,4,8412,1
0,0,285006,248,248,4,284026,0
0,0,786,373,373,4,88,0
0,0,521226,209,209,4,520573,0
0,0,1896,257,257,4,1198,1
0,0,433446,206,206,4,432955,0
0,0,297265,225,225,4,296609,0
0,0,421453,417,417,4,420860,0
0,0,10738,165,165,4,10142,1
0,0,410431,182,182,4,409799,0
0,0,739582,273,273,4,738989,0
0,0,497547,254,254,4,496699,0
0,0,2021354,36,36,4,2020752,1
1,0,22510,54,54,3,21845,0
0,0,12963,342,342,4,12349,0
0,0,1279824,190,190,4,1279111,1
0,0,2141017,328,328,4,2140400,0
0,0,203566,70,70,2,203195,1
0,0,641268,237,237,4,640657,1
1,0,1773473,335,335,3,1772775,1
0,0,537100,294,294,4,536468,1
0,0,3185,163,163,4,2544,1
0,0,1094415,319,319,4,1093786,1
0,0,567898,124,124,2,567485,0
0,0,4704,230,230,4,4066,0
0,0,55203,81,81,4,54550,0
0,0,288418,224,224,4,287768,0
0,0,165971,18,18,4,165327,0
0,0,627125,85,85,4,626559,1
0,0,606832,86,86,4,606242,0
0,0,11303,50,50,4,10641,1
0,0,661517,1,1,4,660867,1
