Gene_Type,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Genomic_Start_Position,Strand_Orientation
0,24,432927,247,431740,0
1,10,2102,112,1101,1
0,92,320234,146,319014,0
1,4,827468,209,826311,1
1,11,4723,24,4340,1
0,77,3769,1,3023,1
0,52,335,10,3,0
0,32,227094,20,226831,1
0,27,23810,60,22572,1
0,13,1026,225,841,1
1,36,13592,101,12324,1
0,60,1989097,189,1988282,1
1,7,445921,19,445157,0
0,5,247162,12,246347,0
0,5,1018268,212,1017216,1
0,27,2879,134,2091,1
0,70,1338,195,835,1
1,101,26635,161,25832,0
0,60,2097143,188,2096334,1
0,28,2142542,184,2141583,0
0,30,392050,86,391007,0
1,53,55904,32,55386,1
0,54,1679298,71,1678525,0
1,79,17599,77,16553,0
0,45,255296,142,254511,0
0,8,305564,84,304740,0
0,26,486743,58,485586,0
0,5,277578,82,276769,0
0,63,822069,208,821287,0
1,38,177073,105,175745,0
0,51,265814,200,265029,1
1,100,5205,97,4201,1
0,8,992655,211,991897,1
0,8,297062,79,295851,0
0,27,18784,98,18002,0
0,0,26139,27,25351,1
0,5,422034,18,420934,0
0,63,907521,139,906301,0
0,27,23025,135,22318,0
0,96,2202884,181,2202237,1
0,31,65754,233,64810,1
0,99,1487286,177,1486264,1
0,9,17173,217,16040,1
0,0,61556,28,60249,0
0,8,313431,83,312547,0
0,8,285745,81,284939,0
0,73,970864,118,969914,1
0,73,1631767,70,1631120,0
1,42,6002,241,5043,0
0,35,1564778,72,1564014,1
0,80,643595,16,642765,1
0,8,407549,137,406749,1
0,5,251858,22,251211,0
1,86,15410,226,14340,1
0,0,18582,59,17713,0
0,76,231201,246,230431,0
0,55,2089274,125,2088630,1
0,27,13418,149,12669,0
0,54,1687805,69,1687044,0
1,16,25842,199,24370,0
0,44,1677,75,712,1
0,52,1153229,240,1151997,0
0,99,1221966,174,1220947,0
0,15,1604402,186,1603254,0
0,5,1075329,3,1075195,1
1,65,884301,138,883339,1
1,71,13960,14,13361,1
0,92,1106541,227,1105297,0
1,21,655,0,2,1
1,33,223492,245,222386,0
1,13,1592913,73,1591840,1
0,8,658646,90,657867,0
0,72,266241,143,265438,0
0,27,13082,113,12327,1
0,14,1207750,192,1206605,0
