Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Type,Genomic_Start_Position
0,353345,138,1,350952
0,9141,220,0,8410
0,2693,280,1,396
1,44770,25,1,42977
0,18183,233,0,15433
1,5678,127,1,4257
0,655728,167,0,653962
1,33262,308,0,31331
0,791878,120,0,790079
0,760085,242,1,757590
0,1852491,173,0,1847980
0,130785,104,1,128263
1,122539,189,1,120197
0,594892,226,0,591674
0,571445,197,0,567813
0,690966,179,1,687994
1,18751,109,1,16475
0,582823,21,1,581135
1,67475,296,0,65139
1,25743,230,1,24748
1,71114,194,1,69705
0,103187,323,0,101616
0,702008,180,0,700188
0,585311,227,1,582390
0,2325261,42,1,2323705
1,491613,133,1,488857
1,12191,231,1,9909
0,7825,90,1,5795
1,59561,140,1,57681
1,4036,63,0,1289
1,3158,254,1,408
0,1434052,153,0,1432280
1,29749,160,1,26915
0,430057,184,1,427406
0,10910,88,1,8910
1,30562,278,0,28739
0,7313,235,1,4734
1,4216,132,0,1460
0,4679,183,1,1893
1,10460,76,1,8049
1,28755,102,1,25951
0,2892,67,1,97
0,912033,72,1,909235
0,15683,256,1,12888
1,30617,148,1,28410
1,75311,149,0,73533
1,14564,60,1,12819
0,706189,14,1,704129
0,120500,322,0,118605
1,26060,259,1,23298
0,201879,299,0,200095
1,8589,29,0,6541
0,1385359,152,0,1383590
0,688837,87,1,685982
1,54516,93,0,53479
1,1443,19,1,1
0,201254,158,1,198909
0,670094,37,1,667467
0,628364,99,1,625434
1,10587,181,0,8119
1,61849,46,0,60071
0,4799,270,1,2103
0,3597,234,0,1834
1,5025,157,1,2677
1,20670,139,0,18052
0,829858,118,1,827087
0,2071578,163,1,2068987
0,411543,243,1,408877
0,848494,161,1,847454
1,8756,144,1,5919
1,169188,306,0,166855
0,16396,294,1,13598
0,492103,128,1,489575
1,14953,302,1,12005
0,427483,287,0,425420
0,570499,251,1,567725
1,36437,101,0,35517
1,68621,190,1,67503
0,245943,61,1,244298
1,556405,239,1,554000
0,8383,219,0,7271
0,873816,170,1,871123
0,20605,215,0,20087
0,2350211,166,1,2347587
0,14712,221,1,11650
0,14455,89,1,11690
0,1137976,136,0,1133828
1,96498,207,1,94816
1,83774,186,1,82602
1,3538,292,1,857
0,483389,320,1,481422
1,85945,309,0,83153
0,6970,58,1,4526
1,22871,4,0,21810
1,2258,47,0,3
0,728090,36,0,725151
1,1739,12,0,3
0,258722,218,0,256827
1,8963,176,1,6399
1,145152,315,1,142906
0,572075,300,1,569139
0,2028848,178,0,2027736
1,33122,281,1,30594
0,690828,274,1,688522
1,45706,260,0,43370
0,588116,3,1,586977
1,4613,116,0,1626
1,12865,289,0,9965
1,4342,81,1,1385
0,9360,255,1,6577
0,367390,216,0,364778
1,25602,134,0,22921
0,563158,321,0,560651
0,467624,169,0,464685
0,2010044,11,0,2009265
1,1225,52,0,1
0,9553,111,1,7784
1,33240,54,1,30436
1,197559,192,1,195199
0,2762,131,1,822
0,447897,285,0,446350
1,36839,205,1,34572
1,1721524,41,1,1718519
0,21702,59,0,18811
0,517997,130,1,514713
0,1984663,164,1,1981777
0,5794,135,1,3014
0,16034,125,1,13233
1,1133115,269,1,1130755
1,1973,1,0,3
0,1174681,75,1,1172813
1,3158,6,0,342
0,648458,159,1,645735
1,28068,64,1,25282
0,1171911,146,0,1168945
1,2772,318,0,301
0,265804,200,1,263906
0,496864,168,0,494066
0,1626838,107,1,1624217
1,29971,143,1,27197
1,9695,154,0,7212
0,474181,191,1,471830
1,4543,137,1,1706
0,1430611,97,0,1429409
0,2149200,265,1,2146741
1,3014,94,1,228
0,750304,208,0,747923
0,46833,74,1,44356
0,754760,204,1,752910
1,6217,319,1,3602
0,396132,244,1,393928
1,128705,206,1,127131
0,496021,26,1,493463
1,56619,316,1,53854
1,1094,23,1,159
1,117865,211,0,115973
1,6529,156,0,4547
1,174847,193,1,172793
1,12451,175,1,9695
0,6840,284,0,3826
0,1175229,145,1,1172704
0,388046,38,1,385203
1,1182,91,1,1
1,22938,85,1,21226
0,1130391,196,1,1127446
1,11829,32,1,8980
1,4777,18,1,2027
1,7112,282,0,4374
0,1008775,188,1,1006142
1,7245,290,1,4687
1,10610,172,1,8169
0,2272,40,1,2
1,1767155,267,1,1764399
0,905310,39,1,902803
0,729858,199,0,727477
0,214887,305,1,212992
1,34372,2,0,33320
1,38223,30,0,36197
0,27589,108,1,25172
0,2120212,105,1,2117660
1,3783,84,1,1453
0,596370,276,1,593812
1,19819,121,1,16985
0,392186,224,0,389424
1,36463,115,0,33455
0,439193,286,1,435576
0,598524,92,0,596251
1,17724,293,0,14986
0,107280,48,1,104554
1,21022,62,1,18272
0,478312,10,0,477440
1,2982,70,1,445
1,342240,151,1,339421
0,2020967,177,1,2018517
1,68416,261,1,66416
0,1204,126,0,2
0,553364,250,0,550602
0,2360044,13,1,2358530
0,851849,119,0,849015
0,3713,283,0,2106
0,12394,303,1,9605
0,748745,35,0,745776
0,4567,55,0,1604
1,20212,246,1,17501
0,3790,209,1,806
1,58311,298,1,56848
0,645301,275,0,642806
0,7188,124,1,4384
0,458839,16,1,457553
0,811998,312,0,810235
1,26744,325,1,24147
0,968,8,0,3
0,905988,95,1,903148
1,9121,288,1,6152
0,582104,238,1,579438
1,79885,229,1,77750
1,15577,69,1,12521
0,169312,66,0,166550
1,1113039,295,1,1110685
0,531490,33,0,528650
0,15172,112,1,12569
0,710712,198,1,708220
0,351197,217,1,348939
1,56555,324,1,54387
0,6673,232,1,3815
1,31215,301,0,30121
1,4394,68,1,1644
0,2028531,266,1,2025571
0,11733,73,1,9154
1,4119,43,0,967
1,27235,147,1,24623
0,783456,79,1,780772
1,29687,110,0,27789
1,242630,117,1,239769
1,3660,171,1,874
1,106204,279,1,104012
0,1981,297,0,2
1,9934,86,1,6965
0,577397,7,1,576201
0,1820,9,1,189
0,485801,34,1,483723
1,11541,326,1,8509
0,619021,150,1,617285
1,13820,28,0,12766
1,2194888,106,1,2192474
1,47207,80,0,45534
0,639965,257,1,637563
