GeneInstanceType,GeneDescription,GenomicEndPosition,GeneLabel,GeneDbId,EncodedProtein,OrthologousGene,GenomicStartPosition,StrandOrientation,HostTaxon
0,0,1124935,95,102,15,52,1121207,1,6
0,0,2332044,77,83,19,10,2328241,0,5
0,0,2065035,119,126,19,21,2061388,0,6
0,0,53721,25,22,19,11,49990,0,5
0,0,652903,126,133,32,29,648881,1,8
0,0,985033,93,100,24,52,981335,1,6
0,0,2307206,73,79,19,9,2303436,0,5
0,0,1908029,140,147,7,24,1905427,0,7
0,0,28839,44,43,14,12,25132,1,5
0,0,11959711,176,183,7,35,11956169,0,7
0,0,319829,62,67,19,10,316098,0,5
0,0,4004773,199,206,20,5,4003152,0,9
0,0,91293,23,15,29,31,86278,1,3
0,0,3620418,146,153,6,35,3616747,1,7
0,0,9779285,170,177,6,24,9775560,0,7
0,0,9382536,204,211,10,5,9381414,1,9
0,0,1145528,100,107,26,14,1144470,1,6
1,0,5331246,41,38,17,51,5328981,0,5
0,0,447807,45,44,20,12,446937,0,5
0,0,2191719,115,122,15,39,2188102,1,6
0,0,2327068,76,82,19,11,2323274,0,5
1,0,159443,59,64,18,45,155850,0,5
0,0,977090,47,47,11,6,973266,0,5
0,0,1181603,5,51,1,8,1177872,1,5
0,0,3942314,42,40,19,9,3938604,0,5
1,0,1176752,49,50,2,26,1173039,1,5
0,0,1957169,117,124,19,55,1953366,0,6
0,0,1200116,5,54,1,8,1196301,1,5
1,0,2449393,142,149,8,43,2446677,1,7
0,0,1966167,36,33,19,11,1963411,1,5
0,0,62145,12,7,29,47,61864,1,1
0,0,2069666,120,127,22,55,2066351,0,6
0,0,2308247,197,204,7,18,2307577,0,9
0,0,765769,133,140,32,41,764270,0,8
0,0,37767,7,1,32,20,34525,1,0
0,0,603897,29,26,19,11,600274,1,5
0,0,2336954,78,84,19,12,2333202,0,5
1,0,1134638,97,104,21,48,1130899,1,6
0,0,2313444,74,80,19,10,2309641,0,5
0,0,5098514,200,207,22,18,5096660,1,9
0,0,4283484,149,156,6,24,4279741,1,7
0,0,7542966,201,208,24,18,7539256,0,9
0,0,7777943,162,169,6,24,7774500,0,7
0,0,1186466,5,52,1,8,1182723,1,5
0,0,12019079,178,185,6,35,12015300,1,7
0,0,7376461,160,167,7,35,7374150,0,7
0,0,15685855,184,191,7,24,15683891,0,7
0,0,3501676,144,151,6,24,3498395,0,7
0,0,3175883,2,39,11,11,3172254,0,5
0,0,15650717,183,190,6,35,15648225,1,7
0,0,2302259,72,78,19,11,2298363,0,5
0,0,4041319,213,220,31,22,4037516,0,9
0,0,10051797,205,212,24,5,10048057,1,9
0,0,284585,53,58,19,9,280740,0,5
0,0,2364879,193,200,6,25,2363188,0,7
0,0,7801604,164,171,6,24,7797783,1,7
0,0,576555,127,134,32,37,575134,0,8
0,0,629638,189,196,6,42,626021,1,7
0,0,2224448,116,123,23,34,2222719,0,6
0,0,3332,137,144,6,10,2571,1,7
1,0,967249,90,97,16,33,963552,1,6
1,0,72858,21,11,29,28,68880,1,3
0,0,14275183,180,187,6,24,14273723,0,7
0,0,123502,108,115,19,53,119669,0,6
0,0,65003,21,10,30,28,62277,1,2
0,0,145983,51,56,3,9,142360,1,5
0,0,7772134,161,168,6,24,7771136,0,7
0,0,1910918,35,32,19,11,1908330,1,5
0,0,1129781,96,103,19,52,1126050,1,6
0,0,59232,11,6,30,7,57178,1,1
0,0,979875,92,99,19,52,976177,1,6
