GeneInstanceType,GeneDescription,GenomicEndPosition,GeneLabel,GeneDbId,EncodedProtein,OrthologousGene,GenomicStartPosition,StrandOrientation,HostTaxon
0,0,95167,128,135,31,10,91325,0,8
0,0,3058427,80,87,18,55,3054798,0,6
0,0,2318413,75,81,18,10,2314616,0,5
0,0,72448,17,18,26,23,68270,1,4
0,0,15575977,182,189,6,24,15572300,0,7
0,0,7376461,159,166,7,35,7374150,0,7
0,0,1643702,69,74,18,6,1639890,1,5
0,0,1066754,209,216,21,40,1065571,1,9
0,0,7007346,156,163,6,24,7005166,1,7
0,0,2216609,122,129,18,54,2212887,0,6
0,0,45538,54,59,18,10,41732,0,5
0,0,62173,22,9,28,0,61124,1,2
0,0,3879497,82,89,6,55,3875733,0,6
0,0,3998549,212,219,8,22,3996303,0,9
0,0,47179,24,21,18,11,43448,0,5
0,0,651422,195,202,18,18,647718,1,9
0,0,970358,91,98,14,51,968556,1,6
0,0,15188591,181,188,7,24,15186471,1,7
0,0,95588,125,132,31,29,91746,0,8
0,0,933349,89,96,18,14,929525,0,6
0,0,329342,64,69,18,10,325611,0,5
0,0,333473,27,24,0,11,329763,1,5
0,0,2401,134,141,6,10,65,1,7
0,0,9582610,168,175,6,35,9579467,1,7
0,0,3501676,143,150,6,24,3498395,0,7
0,0,1021293,48,48,18,6,1017589,1,5
0,0,50499,13,8,31,19,46531,1,2
0,0,660379,132,139,31,28,656534,1,8
0,0,75831,55,60,18,10,72196,1,5
0,0,7124284,158,165,7,24,7121353,0,7
0,0,64291,14,12,31,21,60047,1,3
0,0,128558,110,117,21,23,125670,0,6
0,0,166154,60,65,18,10,162348,0,5
0,0,3620418,145,152,6,35,3616747,1,7
0,0,820521,139,146,6,24,819496,1,7
0,0,4935371,150,157,6,24,4931952,1,7
0,0,36414,10,5,27,7,33385,1,1
0,0,577054,83,90,18,36,573326,1,6
0,0,388457,28,25,18,11,386850,1,5
0,0,2071573,121,128,22,21,2069770,0,6
0,0,1705473,114,121,18,34,1701874,1,6
0,0,53020,22,4,28,27,48803,1,0
1,0,431084,194,201,24,1,427217,1,9
0,0,1849714,34,31,18,11,1845908,1,5
0,0,2296751,211,218,8,48,2295359,0,9
0,0,1309324,30,27,18,11,1307483,0,5
0,0,2151123,1,76,10,6,2147506,1,5
0,0,9578594,167,174,7,24,9577091,1,7
0,0,972317,190,197,6,45,970326,1,7
0,1,1637142,68,73,18,6,1633333,1,5
0,0,132277,111,118,18,52,129494,0,6
0,0,15710916,185,192,6,24,15707113,0,7
0,0,4312155,135,142,6,37,4308352,0,7
0,0,1402028,52,57,18,9,1398297,0,5
0,0,1049774,208,215,21,15,1047327,1,9
0,0,15790203,186,193,6,35,15786472,0,7
0,0,35572,46,45,18,12,31850,1,5
0,0,1630586,67,72,18,6,1626783,1,5
0,0,10008881,171,178,7,24,10006623,0,7
0,0,7732801,202,209,18,5,7728989,0,9
0,0,2191903,71,77,18,11,2188100,0,5
0,0,63847,15,16,31,6,59612,1,4
0,0,2186645,210,217,6,48,2182830,0,9
0,0,2804198,198,205,21,5,2802744,1,9
0,0,726058,138,145,6,24,722345,1,7
0,0,1657273,70,75,18,6,1653761,1,5
0,0,431513,86,93,14,38,427800,0,6
0,0,7801604,163,170,6,24,7797783,1,7
0,0,9357129,203,210,18,18,9353467,0,9
0,0,52090,20,13,26,6,47957,1,3
0,0,1124935,95,102,14,51,1121207,1,6
0,0,2332044,77,83,18,10,2328241,0,5
0,0,2065035,119,126,18,21,2061388,0,6
0,0,53721,25,22,18,11,49990,0,5
0,0,652903,126,133,31,29,648881,1,8
0,0,985033,93,100,23,51,981335,1,6
0,0,2307206,73,79,18,9,2303436,0,5
0,0,2385281,140,147,7,24,2382667,0,7
0,0,28839,44,43,13,12,25132,1,5
0,0,11959711,176,183,7,35,11956169,0,7
0,0,319829,62,67,18,10,316098,0,5
0,0,4004773,199,206,19,5,4003152,0,9
0,0,91293,23,15,28,31,86278,1,3
0,0,4000548,146,153,6,24,3997084,1,7
0,0,10005750,170,177,6,35,10002838,0,7
0,0,9382536,204,211,9,5,9381414,1,9
0,0,1145528,100,107,25,14,1144470,1,6
1,0,5331246,41,38,16,50,5328981,0,5
0,0,447807,45,44,19,12,446937,0,5
0,0,2191719,115,122,14,39,2188102,1,6
0,0,2327068,76,82,18,11,2323274,0,5
1,0,159443,59,64,17,44,155850,0,5
0,0,977090,47,47,10,6,973266,0,5
0,0,1181603,5,51,1,8,1177872,1,5
0,0,3942314,42,40,18,9,3938604,0,5
1,0,1176752,49,50,2,26,1173039,1,5
0,0,1957169,117,124,18,54,1953366,0,6
0,0,1200116,5,54,1,8,1196301,1,5
0,0,2572317,142,149,6,24,2568583,0,7
0,0,1966167,36,33,18,11,1963411,1,5
0,0,62145,12,7,28,46,61864,1,1
0,0,2069666,120,127,21,54,2066351,0,6
0,0,2308247,197,204,7,18,2307577,0,9
0,0,765769,133,140,31,41,764270,0,8
0,0,37767,7,1,31,20,34525,1,0
0,0,603897,29,26,18,11,600274,1,5
0,0,2336954,78,84,18,12,2333202,0,5
1,0,1134638,97,104,20,47,1130899,1,6
0,0,2313444,74,80,18,10,2309641,0,5
0,0,5098514,200,207,21,18,5096660,1,9
0,0,4285337,149,156,6,24,4284348,1,7
0,0,7542966,201,208,23,18,7539256,0,9
0,0,7783560,162,169,7,24,7780308,0,7
0,0,1186466,5,52,1,8,1182723,1,5
0,0,12019079,178,185,6,35,12015300,1,7
0,0,7772134,160,167,6,24,7771136,0,7
0,0,15685855,184,191,7,24,15683891,0,7
0,0,3579565,144,151,7,24,3578197,1,7
0,0,3175883,2,39,10,11,3172254,0,5
0,0,15650717,183,190,6,35,15648225,1,7
0,0,2302259,72,78,18,11,2298363,0,5
0,0,4041319,213,220,30,22,4037516,0,9
0,0,10051797,205,212,23,5,10048057,1,9
0,0,284585,53,58,18,9,280740,0,5
0,0,2364879,193,200,6,25,2363188,0,7
0,0,8313586,164,171,6,24,8309909,0,7
0,0,576555,127,134,31,37,575134,0,8
0,0,629638,189,196,6,42,626021,1,7
0,0,2224448,116,123,22,34,2222719,0,6
0,0,3332,137,144,6,10,2571,1,7
1,0,967249,90,97,15,33,963552,1,6
1,0,72858,21,11,28,28,68880,1,3
0,0,14275183,180,187,6,24,14273723,0,7
0,0,123502,108,115,18,52,119669,0,6
0,0,65003,21,10,29,28,62277,1,2
0,0,145983,51,56,3,9,142360,1,5
0,0,7777943,161,168,6,24,7774500,0,7
0,0,1910918,35,32,18,11,1908330,1,5
0,0,1129781,96,103,18,51,1126050,1,6
0,0,59232,11,6,29,7,57178,1,1
0,0,979875,92,99,18,51,976177,1,6
